ncppb_number	other_references
NCPPB 45	This isolate was isolated by W.J. Dowson
NCPPB 101	This isolate is also in the collections; ICMP 204, LMG 673, DSM 18958
NCPPB 109	
NCPPB 113	
NCPPB 151	
NCPPB 174	
NCPPB 181	
NCPPB 182	This isolate is also in the collections; ATCC 13901, ICMP 305, LMG 896 The source of this isolate was ex M.T. Cook
NCPPB 184	This isolate is also in the collections; ATCC 13902, ICPB XV101
NCPPB 185	
NCPPB 186	
NCPPB 187	
NCPPB 195	
NCPPB 196	
NCPPB 200	
NCPPB 205	
NCPPB 206	This isolate is also in the collections; ICMP 326, LMG 8284, CFBP 7162
NCPPB 208	This isolate was isolated by G. Orian PC5
NCPPB 210	This isolate was isolated by M.K. Patel
NCPPB 211	
NCPPB 212	
NCPPB 220	The source of this isolate was ex C. Elliott
NCPPB 226	
NCPPB 230	
NCPPB 232	
NCPPB 240	This isolate was isolated by W.J. Dowson The source of this isolate was .
NCPPB 241	The source of this isolate was ex W.J. Dowson
NCPPB 243	
NCPPB 273	The source of this isolate was ex A.C. Brown B67
NCPPB 279	This isolate was isolated by P.O. Wiehe
