ncppb_number	query_source	normalized_identifier	prefix	suffix	search_term	ncbi_db	ncbi_uid	ncbi_accession	source_url	title	organism	taxid	identifiers	infraspecies	attributes	metadata_text	id_count_returned	status	error
NCPPB 45	ncppb_number	NCPPB 45	NCPPB	45	NCPPB[All Fields] AND 45[All Fields]	biosample	6159902	SAMEA4072397	https://www.ncbi.nlm.nih.gov/biosample/SAMEA4072397	Draft genome sequence of Xanthomonas translucens pv. graminis NCPPB 3709	Xanthomonas graminis pv. graminis	134874	BioSample: SAMEA4072397; SRA: ERS1243507	isolate: NCPPB 3709	ENA first public: 2016-12-15; ENA last update: 2016-10-21; ENA-CHECKLIST: ERC000020; External Id: SAMEA4072397; INSDC center alias: CEBITEC; INSDC center name: Center for Biotechnology, Bielefeld University; INSDC first public: 2016-12-15T17:01:21Z; INSDC last update: 2016-10-21T09:42:18Z; INSDC status: public; Submitter Id: 3709; collection date: 2011; environment (biome): grass; environment (feature): grass; environment (material): grass; geographic location (country and/or sea): Norway; geographic location (latitude): 59.55; geographic location (longitude): 10.45; investigation type: mimarks-survey; isolate: NCPPB 3709; plant-associated environmental package: plant-associated; project name: 3709; sample name: 3709; sequencing method: Illumina MiSeq; pathovar: graminis	"Draft genome sequence of Xanthomonas translucens pv. graminis NCPPB 3709 Xanthomonas graminis pv. graminis BioSample: SAMEA4072397; SRA: ERS1243507 isolate: NCPPB 3709 <BioSample access=""public"" publication_date=""2016-12-15T00:00:00.000"" last_update=""2024-12-30T21:06:14.062"" submission_date=""2016-12-16T12:05:54.100"" id=""6159902"" accession=""SAMEA4072397""> <Ids> <Id db=""BioSample"" is_primary=""1"">SAMEA4072397</Id> <Id db=""SRA"">ERS1243507</Id> </Ids> <Description> <Title>Draft genome sequence of Xanthomonas translucens pv. graminis NCPPB 3709</Title> <Organism taxonomy_id=""134874"" taxonomy_name=""Xanthomonas graminis pv. graminis""> <OrganismName>Xanthomonas graminis pv. graminis</OrganismName> </Organism> <Comment> <Paragraph>Draft genome sequence of Xanthomonas translucens pv. graminis NCPPB 3709</Paragraph> </Comment> </Description> <Owner> <Name>EBI</Name> </Owner> <Models> <Model>Generic</Model> </Models> <Package display_name=""Generic"">Generic.1.0</Package> <Attributes> <Attribute attribute_name=""ENA first public"">2016-12-15</Attribute> <Attribute attribute_name=""ENA last update"">2016-10-21</Attribute> <Attribute attribute_name=""ENA-CHECKLIST"">ERC000020</Attribute> <Attribute attribute_name=""External Id"">SAMEA4072397</Attribute> <Attribute attribute_name=""INSDC center alias"">CEBITEC</Attribute> <Attribute attribute_name=""INSDC center name"">Center for Biotechnology, Bielefeld University</Attribute> <Attribute attribute_name=""INSDC first public"">2016-12-15T17:01:21Z</Attribute> <Attribute attribute_name=""INSDC last update"">2016-10-21T09:42:18Z</Attribute> <Attribute attribute_name=""INSDC status"">public</Attribute> <Attribute attribute_name=""Submitter Id"">3709</Attribute> <Attribute attribute_name=""collection date"" harmonized_name=""collection_date"" display_name=""collection date"">2011</Attribute> <Attribute attribute_name=""environment (biome)"" harmonized_name=""env_broad_scale"" display_name=""broad-scale environmental context"">grass</Attribute> <Attribute attribute_name=""environment (feature)"" harmonized_name=""env_local_scale"" display_name=""local-scale environmental context"">grass</Attribute> <Attribute attribute_name=""environment (material)"" harmonized_name=""env_medium"" display_name=""environmental medium"">grass</Attribute> <Attribute attribute_name=""geographic location (country and/or sea)"" harmonized_name=""geo_loc_name"" display_name=""geographic location"">Norway</Attribute> <Attribute attribute_name=""geographic location (latitude)"">59.55</Attribute> <Attribute attribute_name=""geographic location (longitude)"">10.45</Attribute> <Attribute attribute_name=""investigation type"" harmonized_name=""investigation_type"" display_name=""investigation type"">mimarks-survey</Attribute> <Attribute attribute_name=""isolate"" harmonized_name=""isolate"" display_name=""isolate"">NCPPB 3709</Attribute> <Attribute attribute_name=""plant-associated environmental package"">plant-associated</Attribute> <Attribute attribute_name=""project name"" harmonized_name=""project_name"" display_name=""project name"">3709</Attribute> <Attribute attribute_name=""sample name"" harmonized_name=""sample_name"" display_name=""sample name"">3709</Attribute> <Attribute attribute_name=""sequencing method"">Illumina MiSeq</Attribute> <Attribute attribute_name=""pathovar"" harmonized_name=""pathovar"" display_name=""pathovar"">graminis</Attribute> </Attributes> <Status status=""live"" when=""2016-12-16T13:05:56.337""/> </BioSample>"	3	ok	
NCPPB 45	ncppb_number	NCPPB 45	NCPPB	45	NCPPB[All Fields] AND 45[All Fields]	biosample	36346970	SAMN36346970	https://www.ncbi.nlm.nih.gov/biosample/SAMN36346970	Genome sequencing of Xcc WHRI 6379 (NCPPB 45)	Xanthomonas campestris pv. campestris	340	BioSample: SAMN36346970; Sample name: 6379; SRA: SRS18206855	strain: WHRI 6379 (NCPPB 45)	strain: WHRI 6379 (NCPPB 45); host: Brassica napus; collection_date: 1941; geo_loc_name: United Kingdom; sample_type: Cell culture; Race: not collected; pathovar: campestris	"Genome sequencing of Xcc WHRI 6379 (NCPPB 45) Xanthomonas campestris pv. campestris BioSample: SAMN36346970; Sample name: 6379; SRA: SRS18206855 strain: WHRI 6379 (NCPPB 45) <BioSample access=""public"" publication_date=""2023-07-07T00:00:00.000"" last_update=""2023-07-10T14:28:02.820"" submission_date=""2023-07-07T06:59:00.390"" id=""36346970"" accession=""SAMN36346970""> <Ids> <Id db=""BioSample"" is_primary=""1"">SAMN36346970</Id> <Id db_label=""Sample name"">6379</Id> <Id db=""SRA"">SRS18206855</Id> </Ids> <Description> <Title>Genome sequencing of Xcc WHRI 6379 (NCPPB 45)</Title> <Organism taxonomy_id=""340"" taxonomy_name=""Xanthomonas campestris pv. campestris""> <OrganismName>Xanthomonas campestris pv. campestris</OrganismName> </Organism> </Description> <Owner> <Name url=""http://biosciences.exeter.ac.uk/staff/index.php?web_id=david_studholme"">University of Exeter</Name> <Contacts> <Contact> <Name> <First>David</First> <Last>Studholme</Last> <Middle>John</Middle> </Name> </Contact> </Contacts> </Owner> <Models> <Model>Microbe, viral or environmental</Model> </Models> <Package display_name=""Microbe; version 1.0"">Microbe.1.0</Package> <Attributes> <Attribute attribute_name=""strain"" harmonized_name=""strain"" display_name=""strain"">WHRI 6379 (NCPPB 45)</Attribute> <Attribute attribute_name=""host"" harmonized_name=""host"" display_name=""host"">Brassica napus</Attribute> <Attribute attribute_name=""collection_date"" harmonized_name=""collection_date"" display_name=""collection date"">1941</Attribute> <Attribute attribute_name=""geo_loc_name"" harmonized_name=""geo_loc_name"" display_name=""geographic location"">United Kingdom</Attribute> <Attribute attribute_name=""sample_type"" harmonized_name=""sample_type"" display_name=""sample type"">Cell culture</Attribute> <Attribute attribute_name=""Race"" harmonized_name=""race"" display_name=""race"">not collected</Attribute> <Attribute attribute_name=""pathovar"" harmonized_name=""pathovar"" display_name=""pathovar"">campestris</Attribute> </Attributes> <Links> <Link type=""entrez"" target=""bioproject"" label=""PRJNA988133"">988133</Link> </Links> <Status status=""live"" when=""2023-07-07T06:59:00.390""/> </BioSample>"	3	ok	
NCPPB 45	ncppb_number	NCPPB 45	NCPPB	45	NCPPB[All Fields] AND 45[All Fields]	biosample	27356514	SAMN27356514	https://www.ncbi.nlm.nih.gov/biosample/SAMN27356514	MIGS Cultured Bacterial/Archaeal sample from Ralstonia solanacearum	Ralstonia solanacearum	305	BioSample: SAMN27356514; Sample name: YO045; SRA: SRS12514112		NCPPB_Number: NCPPB 1584; host: Potato; Collection date: 1963; Continent: Europe; geographic location: Cyprus; County: NA; strain: missing; latitude and longitude: Not applicable; broad-scale environmental context: Agricultural; local-scale environmental context: Seed; environmental medium: Xylem sap; isolation and growth condition: https://plantpath.ifas.ufl.edu/rsol/Culturemedia.html#MediaReferences; number of replicons: NA; Replicate: 45; ref_biomaterial: 11823852	"MIGS Cultured Bacterial/Archaeal sample from Ralstonia solanacearum Ralstonia solanacearum BioSample: SAMN27356514; Sample name: YO045; SRA: SRS12514112 <BioSample access=""public"" publication_date=""2022-09-23T00:00:00.000"" last_update=""2022-09-23T09:41:06.264"" submission_date=""2022-04-05T17:37:04.963"" id=""27356514"" accession=""SAMN27356514""> <Ids> <Id db=""BioSample"" is_primary=""1"">SAMN27356514</Id> <Id db_label=""Sample name"">YO045</Id> <Id db=""SRA"">SRS12514112</Id> </Ids> <Description> <Title>MIGS Cultured Bacterial/Archaeal sample from Ralstonia solanacearum</Title> <Organism taxonomy_id=""305"" taxonomy_name=""Ralstonia solanacearum""> <OrganismName>Ralstonia solanacearum</OrganismName> </Organism> <Comment> <Paragraph>Keywords: GSC:MIxS;MIGS:6.0</Paragraph> </Comment> </Description> <Owner> <Name>University of York</Name> <Contacts> <Contact> <Name> <First>Martina</First> <Last>Stoycheva</Last> </Name> </Contact> </Contacts> </Owner> <Models> <Model>MIGS.ba</Model> <Model>MIGS/MIMS/MIMARKS.plant-associated</Model> </Models> <Package display_name=""MIGS: cultured bacteria/archaea, plant-associated; version 6.0"">MIGS.ba.plant-associated.6.0</Package> <Attributes> <Attribute attribute_name=""NCPPB_Number"">NCPPB 1584</Attribute> <Attribute attribute_name=""host"" harmonized_name=""host"" display_name=""host"">Potato</Attribute> <Attribute attribute_name=""Collection date"" harmonized_name=""collection_date"" display_name=""collection date"">1963</Attribute> <Attribute attribute_name=""Continent"">Europe</Attribute> <Attribute attribute_name=""geographic location"" harmonized_name=""geo_loc_name"" display_name=""geographic location"">Cyprus</Attribute> <Attribute attribute_name=""County"">NA</Attribute> <Attribute attribute_name=""strain"" harmonized_name=""strain"" display_name=""strain"">missing</Attribute> <Attribute attribute_name=""latitude and longitude"" harmonized_name=""lat_lon"" display_name=""latitude and longitude"">Not applicable</Attribute> <Attribute attribute_name=""broad-scale environmental context"" harmonized_name=""env_broad_scale"" display_name=""broad-scale environmental context"">Agricultural</Attribute> <Attribute attribute_name=""local-scale environmental context"" harmonized_name=""env_local_scale"" display_name=""local-scale environmental context"">Seed</Attribute> <Attribute attribute_name=""environmental medium"" harmonized_name=""env_medium"" display_name=""environmental medium"">Xylem sap</Attribute> <Attribute attribute_name=""isolation and growth condition"" harmonized_name=""isol_growth_condt"" display_name=""isolation and growth condition"">https://plantpath.ifas.ufl.edu/rsol/Culturemedia.html#MediaReferences</Attribute> <Attribute attribute_name=""number of replicons"" harmonized_name=""num_replicons"" display_name=""number of replicons"">NA</Attribute> <Attribute attribute_name=""Replicate"">45</Attribute> <Attribute attribute_name=""ref_biomaterial"" harmonized_name=""ref_biomaterial"" display_name=""reference for biomaterial"">11823852</Attribute> </Attributes> <Links> <Link type=""entrez"" target=""bioproject"" label=""PRJNA823737"">823737</Link> </Links> <Status status=""live"" when=""2022-09-23T09:41:06.264""/> </BioSample>"	3	ok	
NCPPB 101	ncppb_number	NCPPB 101	NCPPB	101	NCPPB[All Fields] AND 101[All Fields]	biosample	22555467	SAMN22555467	https://www.ncbi.nlm.nih.gov/biosample/SAMN22555467	Microbe sample from Xanthomonas cassavae CFBP 4642	Xanthomonas cassavae CFBP 4642	1219375	BioSample: SAMN22555467; Sample name: NCPPB101; SRA: SRS15743719	strain: NCPPB 101	strain: NCPPB 101; geo_loc_name: Malawi; host: Manihot esculenta; sample_type: cell culture; collection_date: not collected; culture_collection: NCPPB:101; type-material: type strain of Xanthomonas cassavae	"Microbe sample from Xanthomonas cassavae CFBP 4642 Xanthomonas cassavae CFBP 4642 BioSample: SAMN22555467; Sample name: NCPPB101; SRA: SRS15743719 strain: NCPPB 101 <BioSample access=""public"" publication_date=""2021-10-25T00:00:00.000"" last_update=""2022-11-14T08:01:20.940"" submission_date=""2021-10-25T05:57:02.803"" id=""22555467"" accession=""SAMN22555467""> <Ids> <Id db=""BioSample"" is_primary=""1"">SAMN22555467</Id> <Id db_label=""Sample name"">NCPPB101</Id> <Id db=""SRA"">SRS15743719</Id> </Ids> <Description> <Title>Microbe sample from Xanthomonas cassavae CFBP 4642</Title> <Organism taxonomy_id=""1219375"" taxonomy_name=""Xanthomonas cassavae CFBP 4642""> <OrganismName>Xanthomonas cassavae CFBP 4642</OrganismName> </Organism> </Description> <Owner> <Name url=""http://biosciences.exeter.ac.uk/staff/index.php?web_id=david_studholme"">University of Exeter</Name> <Contacts> <Contact> <Name> <First>David</First> <Last>Studholme</Last> <Middle>John</Middle> </Name> </Contact> </Contacts> </Owner> <Models> <Model>Microbe, viral or environmental</Model> </Models> <Package display_name=""Microbe; version 1.0"">Microbe.1.0</Package> <Attributes> <Attribute attribute_name=""strain"" harmonized_name=""strain"" display_name=""strain"">NCPPB 101</Attribute> <Attribute attribute_name=""geo_loc_name"" harmonized_name=""geo_loc_name"" display_name=""geographic location"">Malawi</Attribute> <Attribute attribute_name=""host"" harmonized_name=""host"" display_name=""host"">Manihot esculenta</Attribute> <Attribute attribute_name=""sample_type"" harmonized_name=""sample_type"" display_name=""sample type"">cell culture</Attribute> <Attribute attribute_name=""collection_date"" harmonized_name=""collection_date"" display_name=""collection date"">not collected</Attribute> <Attribute attribute_name=""culture_collection"" harmonized_name=""culture_collection"" display_name=""culture collection"">NCPPB:101</Attribute> <Attribute attribute_name=""type-material"">type strain of Xanthomonas cassavae</Attribute> </Attributes> <Links> <Link type=""entrez"" target=""bioproject"" label=""PRJNA774146"">774146</Link> </Links> <Status status=""live"" when=""2021-10-25T05:57:02.804""/> </BioSample>"	2	ok	
NCPPB 101	ncppb_number	NCPPB 101	NCPPB	101	NCPPB[All Fields] AND 101[All Fields]	biosample	27356557	SAMN27356557	https://www.ncbi.nlm.nih.gov/biosample/SAMN27356557	MIGS Cultured Bacterial/Archaeal sample from Ralstonia solanacearum	Ralstonia solanacearum	305	BioSample: SAMN27356557; Sample name: YO101; SRA: SRS12514088	strain: S718	NCPPB_Number: NCPPB 3793; host: Potato; Collection date: 1985; Continent: Asia; geographic location: Indonesia; County: NA; strain: S718; latitude and longitude: Not applicable; broad-scale environmental context: Agricultural; local-scale environmental context: Seed; environmental medium: Xylem sap; isolation and growth condition: https://plantpath.ifas.ufl.edu/rsol/Culturemedia.html#MediaReferences; number of replicons: NA; Replicate: 101; ref_biomaterial: 11823852	"MIGS Cultured Bacterial/Archaeal sample from Ralstonia solanacearum Ralstonia solanacearum BioSample: SAMN27356557; Sample name: YO101; SRA: SRS12514088 strain: S718 <BioSample access=""public"" publication_date=""2022-09-23T00:00:00.000"" last_update=""2022-09-23T09:41:08.114"" submission_date=""2022-04-05T17:37:05.616"" id=""27356557"" accession=""SAMN27356557""> <Ids> <Id db=""BioSample"" is_primary=""1"">SAMN27356557</Id> <Id db_label=""Sample name"">YO101</Id> <Id db=""SRA"">SRS12514088</Id> </Ids> <Description> <Title>MIGS Cultured Bacterial/Archaeal sample from Ralstonia solanacearum</Title> <Organism taxonomy_id=""305"" taxonomy_name=""Ralstonia solanacearum""> <OrganismName>Ralstonia solanacearum</OrganismName> </Organism> <Comment> <Paragraph>Keywords: GSC:MIxS;MIGS:6.0</Paragraph> </Comment> </Description> <Owner> <Name>University of York</Name> <Contacts> <Contact> <Name> <First>Martina</First> <Last>Stoycheva</Last> </Name> </Contact> </Contacts> </Owner> <Models> <Model>MIGS.ba</Model> <Model>MIGS/MIMS/MIMARKS.plant-associated</Model> </Models> <Package display_name=""MIGS: cultured bacteria/archaea, plant-associated; version 6.0"">MIGS.ba.plant-associated.6.0</Package> <Attributes> <Attribute attribute_name=""NCPPB_Number"">NCPPB 3793</Attribute> <Attribute attribute_name=""host"" harmonized_name=""host"" display_name=""host"">Potato</Attribute> <Attribute attribute_name=""Collection date"" harmonized_name=""collection_date"" display_name=""collection date"">1985</Attribute> <Attribute attribute_name=""Continent"">Asia</Attribute> <Attribute attribute_name=""geographic location"" harmonized_name=""geo_loc_name"" display_name=""geographic location"">Indonesia</Attribute> <Attribute attribute_name=""County"">NA</Attribute> <Attribute attribute_name=""strain"" harmonized_name=""strain"" display_name=""strain"">S718</Attribute> <Attribute attribute_name=""latitude and longitude"" harmonized_name=""lat_lon"" display_name=""latitude and longitude"">Not applicable</Attribute> <Attribute attribute_name=""broad-scale environmental context"" harmonized_name=""env_broad_scale"" display_name=""broad-scale environmental context"">Agricultural</Attribute> <Attribute attribute_name=""local-scale environmental context"" harmonized_name=""env_local_scale"" display_name=""local-scale environmental context"">Seed</Attribute> <Attribute attribute_name=""environmental medium"" harmonized_name=""env_medium"" display_name=""environmental medium"">Xylem sap</Attribute> <Attribute attribute_name=""isolation and growth condition"" harmonized_name=""isol_growth_condt"" display_name=""isolation and growth condition"">https://plantpath.ifas.ufl.edu/rsol/Culturemedia.html#MediaReferences</Attribute> <Attribute attribute_name=""number of replicons"" harmonized_name=""num_replicons"" display_name=""number of replicons"">NA</Attribute> <Attribute attribute_name=""Replicate"">101</Attribute> <Attribute attribute_name=""ref_biomaterial"" harmonized_name=""ref_biomaterial"" display_name=""reference for biomaterial"">11823852</Attribute> </Attributes> <Links> <Link type=""entrez"" target=""bioproject"" label=""PRJNA823737"">823737</Link> </Links> <Status status=""live"" when=""2022-09-23T09:41:08.114""/> </BioSample>"	2	ok	
NCPPB 109	ncppb_number	NCPPB 109	NCPPB	109	NCPPB[All Fields] AND 109[All Fields]	biosample											0	no_hit	
NCPPB 113	ncppb_number	NCPPB 113	NCPPB	113	NCPPB[All Fields] AND 113[All Fields]	biosample	42178446	SAMN42178446	https://www.ncbi.nlm.nih.gov/biosample/SAMN42178446	Genome sequencing of Xanthomonas campestris pv. ricini NCPPB 113	Xanthomonas axonopodis pv. ricini	473415	BioSample: SAMN42178446; Sample name: 113; SRA: SRS21849309	strain: NCPPB 113	strain: NCPPB 113; host: Ricinus communis; collection_date: Not collected; geo_loc_name: Uganda; sample_type: Cell culture; biomaterial_provider: C. G. Hansford; culture_collection: NCPPB:113; pathovar: ricini	"Genome sequencing of Xanthomonas campestris pv. ricini NCPPB 113 Xanthomonas axonopodis pv. ricini BioSample: SAMN42178446; Sample name: 113; SRA: SRS21849309 strain: NCPPB 113 <BioSample access=""public"" publication_date=""2024-06-30T00:00:00.000"" last_update=""2024-06-30T06:34:22.263"" submission_date=""2024-06-30T05:28:03.817"" id=""42178446"" accession=""SAMN42178446""> <Ids> <Id db=""BioSample"" is_primary=""1"">SAMN42178446</Id> <Id db_label=""Sample name"">113</Id> <Id db=""SRA"">SRS21849309</Id> </Ids> <Description> <Title>Genome sequencing of Xanthomonas campestris pv. ricini NCPPB 113</Title> <Organism taxonomy_id=""473415"" taxonomy_name=""Xanthomonas axonopodis pv. ricini""> <OrganismName>Xanthomonas axonopodis pv. ricini</OrganismName> </Organism> </Description> <Owner> <Name url=""http://biosciences.exeter.ac.uk/staff/index.php?web_id=david_studholme"">University of Exeter</Name> <Contacts> <Contact> <Name> <First>David</First> <Last>Studholme</Last> <Middle>John</Middle> </Name> </Contact> </Contacts> </Owner> <Models> <Model>Microbe, viral or environmental</Model> </Models> <Package display_name=""Microbe; version 1.0"">Microbe.1.0</Package> <Attributes> <Attribute attribute_name=""strain"" harmonized_name=""strain"" display_name=""strain"">NCPPB 113</Attribute> <Attribute attribute_name=""host"" harmonized_name=""host"" display_name=""host"">Ricinus communis</Attribute> <Attribute attribute_name=""collection_date"" harmonized_name=""collection_date"" display_name=""collection date"">Not collected</Attribute> <Attribute attribute_name=""geo_loc_name"" harmonized_name=""geo_loc_name"" display_name=""geographic location"">Uganda</Attribute> <Attribute attribute_name=""sample_type"" harmonized_name=""sample_type"" display_name=""sample type"">Cell culture</Attribute> <Attribute attribute_name=""biomaterial_provider"" harmonized_name=""biomaterial_provider"" display_name=""biomaterial provider"">C. G. Hansford</Attribute> <Attribute attribute_name=""culture_collection"" harmonized_name=""culture_collection"" display_name=""culture collection"">NCPPB:113</Attribute> <Attribute attribute_name=""pathovar"" harmonized_name=""pathovar"" display_name=""pathovar"">ricini</Attribute> </Attributes> <Links> <Link type=""entrez"" target=""bioproject"" label=""PRJNA1129907"">1129907</Link> </Links> <Status status=""live"" when=""2024-06-30T05:28:03.815""/> </BioSample>"	1	ok	
NCPPB 151	ncppb_number	NCPPB 151	NCPPB	151	NCPPB[All Fields] AND 151[All Fields]	biosample	56511362	SAMN56511362	https://www.ncbi.nlm.nih.gov/biosample/SAMN56511362	Genome sequencing of Xanthomonas NCPPB 151	Xanthomonas campestris pv. papavericola	487881	BioSample: SAMN56511362; Sample name: NCPPB_151; SRA: SRS28401809	strain: NCPPB 151	strain: NCPPB 151; host: Argemone sp.; collection_date: Not collected; geo_loc_name: Mauritius; sample_type: Cell culture; biomaterial_provider: G. Orian; culture_collection: NCPPB:151	"Genome sequencing of Xanthomonas NCPPB 151 Xanthomonas campestris pv. papavericola BioSample: SAMN56511362; Sample name: NCPPB_151; SRA: SRS28401809 strain: NCPPB 151 <BioSample access=""public"" publication_date=""2026-03-14T00:00:00.000"" last_update=""2026-03-14T18:01:05.003"" submission_date=""2026-03-14T17:08:05.417"" id=""56511362"" accession=""SAMN56511362""> <Ids> <Id db=""BioSample"" is_primary=""1"">SAMN56511362</Id> <Id db_label=""Sample name"">NCPPB_151</Id> <Id db=""SRA"">SRS28401809</Id> </Ids> <Description> <Title>Genome sequencing of Xanthomonas NCPPB 151</Title> <Organism taxonomy_id=""487881"" taxonomy_name=""Xanthomonas campestris pv. papavericola""> <OrganismName>Xanthomonas campestris pv. papavericola</OrganismName> </Organism> </Description> <Owner> <Name url=""https://biosciences.exeter.ac.uk/staff/profile/index.php?web_id=david_studholme"">University of Exeter</Name> <Contacts> <Contact> <Name> <First>David</First> <Last>Studholme</Last> <Middle>John</Middle> </Name> </Contact> </Contacts> </Owner> <Models> <Model>Microbe, viral or environmental</Model> </Models> <Package display_name=""Microbe; version 1.0"">Microbe.1.0</Package> <Attributes> <Attribute attribute_name=""strain"" harmonized_name=""strain"" display_name=""strain"">NCPPB 151</Attribute> <Attribute attribute_name=""host"" harmonized_name=""host"" display_name=""host"">Argemone sp.</Attribute> <Attribute attribute_name=""collection_date"" harmonized_name=""collection_date"" display_name=""collection date"">Not collected</Attribute> <Attribute attribute_name=""geo_loc_name"" harmonized_name=""geo_loc_name"" display_name=""geographic location"">Mauritius</Attribute> <Attribute attribute_name=""sample_type"" harmonized_name=""sample_type"" display_name=""sample type"">Cell culture</Attribute> <Attribute attribute_name=""biomaterial_provider"" harmonized_name=""biomaterial_provider"" display_name=""biomaterial provider"">G. Orian</Attribute> <Attribute attribute_name=""culture_collection"" harmonized_name=""culture_collection"" display_name=""culture collection"">NCPPB:151</Attribute> </Attributes> <Links> <Link type=""entrez"" target=""bioproject"" label=""PRJNA1437458"">1437458</Link> </Links> <Status status=""live"" when=""2026-03-14T17:08:05.417""/> </BioSample>"	2	ok	
NCPPB 151	ncppb_number	NCPPB 151	NCPPB	151	NCPPB[All Fields] AND 151[All Fields]	biosample	27356605	SAMN27356605	https://www.ncbi.nlm.nih.gov/biosample/SAMN27356605	MIGS Cultured Bacterial/Archaeal sample from Ralstonia solanacearum	Ralstonia solanacearum	305	BioSample: SAMN27356605; Sample name: YO151; SRA: SRS12514048		NCPPB_Number: NCPPB 2937; host: Potato; Collection date: 1975; Continent: Oceania; geographic location: Papua New Guinea; County: NA; strain: missing; latitude and longitude: Not applicable; broad-scale environmental context: Agricultural; local-scale environmental context: Seed; environmental medium: Xylem sap; isolation and growth condition: https://plantpath.ifas.ufl.edu/rsol/Culturemedia.html#MediaReferences; number of replicons: NA; Replicate: 151; ref_biomaterial: 11823852	"MIGS Cultured Bacterial/Archaeal sample from Ralstonia solanacearum Ralstonia solanacearum BioSample: SAMN27356605; Sample name: YO151; SRA: SRS12514048 <BioSample access=""public"" publication_date=""2022-09-23T00:00:00.000"" last_update=""2022-09-23T09:41:08.860"" submission_date=""2022-04-05T17:37:06.466"" id=""27356605"" accession=""SAMN27356605""> <Ids> <Id db=""BioSample"" is_primary=""1"">SAMN27356605</Id> <Id db_label=""Sample name"">YO151</Id> <Id db=""SRA"">SRS12514048</Id> </Ids> <Description> <Title>MIGS Cultured Bacterial/Archaeal sample from Ralstonia solanacearum</Title> <Organism taxonomy_id=""305"" taxonomy_name=""Ralstonia solanacearum""> <OrganismName>Ralstonia solanacearum</OrganismName> </Organism> <Comment> <Paragraph>Keywords: GSC:MIxS;MIGS:6.0</Paragraph> </Comment> </Description> <Owner> <Name>University of York</Name> <Contacts> <Contact> <Name> <First>Martina</First> <Last>Stoycheva</Last> </Name> </Contact> </Contacts> </Owner> <Models> <Model>MIGS.ba</Model> <Model>MIGS/MIMS/MIMARKS.plant-associated</Model> </Models> <Package display_name=""MIGS: cultured bacteria/archaea, plant-associated; version 6.0"">MIGS.ba.plant-associated.6.0</Package> <Attributes> <Attribute attribute_name=""NCPPB_Number"">NCPPB 2937</Attribute> <Attribute attribute_name=""host"" harmonized_name=""host"" display_name=""host"">Potato</Attribute> <Attribute attribute_name=""Collection date"" harmonized_name=""collection_date"" display_name=""collection date"">1975</Attribute> <Attribute attribute_name=""Continent"">Oceania</Attribute> <Attribute attribute_name=""geographic location"" harmonized_name=""geo_loc_name"" display_name=""geographic location"">Papua New Guinea</Attribute> <Attribute attribute_name=""County"">NA</Attribute> <Attribute attribute_name=""strain"" harmonized_name=""strain"" display_name=""strain"">missing</Attribute> <Attribute attribute_name=""latitude and longitude"" harmonized_name=""lat_lon"" display_name=""latitude and longitude"">Not applicable</Attribute> <Attribute attribute_name=""broad-scale environmental context"" harmonized_name=""env_broad_scale"" display_name=""broad-scale environmental context"">Agricultural</Attribute> <Attribute attribute_name=""local-scale environmental context"" harmonized_name=""env_local_scale"" display_name=""local-scale environmental context"">Seed</Attribute> <Attribute attribute_name=""environmental medium"" harmonized_name=""env_medium"" display_name=""environmental medium"">Xylem sap</Attribute> <Attribute attribute_name=""isolation and growth condition"" harmonized_name=""isol_growth_condt"" display_name=""isolation and growth condition"">https://plantpath.ifas.ufl.edu/rsol/Culturemedia.html#MediaReferences</Attribute> <Attribute attribute_name=""number of replicons"" harmonized_name=""num_replicons"" display_name=""number of replicons"">NA</Attribute> <Attribute attribute_name=""Replicate"">151</Attribute> <Attribute attribute_name=""ref_biomaterial"" harmonized_name=""ref_biomaterial"" display_name=""reference for biomaterial"">11823852</Attribute> </Attributes> <Links> <Link type=""entrez"" target=""bioproject"" label=""PRJNA823737"">823737</Link> </Links> <Status status=""live"" when=""2022-09-23T09:41:08.860""/> </BioSample>"	2	ok	
NCPPB 174	ncppb_number	NCPPB 174	NCPPB	174	NCPPB[All Fields] AND 174[All Fields]	biosample											0	no_hit	
