ncppb_number,term_type,search_term
NCPPB 45,ncppb_number,NCPPB 45
NCPPB 45,ncppb_number_compact,NCPPB45
NCPPB 45,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 45"
NCPPB 45,current_name_plus_number,"""Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939"" ""NCPPB 45"""
NCPPB 45,received_name_plus_number,"""Xanthomonas campestris (Pammel 1895) Dowson 1939"" ""NCPPB 45"""
NCPPB 101,ncppb_number,NCPPB 101
NCPPB 101,ncppb_number_compact,NCPPB101
NCPPB 101,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 101"
NCPPB 101,current_name_plus_number,"""Xanthomonas cassavae (ex Wiehe & Dowson 1953) Vauterin et al. 1995"" ""NCPPB 101"""
NCPPB 101,received_name_plus_number,"""Xanthomonas cassavae"" ""NCPPB 101"""
NCPPB 101,alternative_name_plus_number,"""Xanthomonas campestris pv. cassavae (Wiehe & Dowson 1953) Maraite and Weyns 1979"" ""NCPPB 101"""
NCPPB 101,other_collection_number,ICMP 204
NCPPB 101,other_collection_number,LMG 673
NCPPB 101,other_collection_number,DSM 18958
NCPPB 109,ncppb_number,NCPPB 109
NCPPB 109,ncppb_number_compact,NCPPB109
NCPPB 109,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 109"
NCPPB 109,current_name_plus_number,"""Xanthomonas axonopodis pv. begoniae (Takimoto 1934) Vauterin et al. 1995"" ""NCPPB 109"""
NCPPB 109,received_name_plus_number,"""Xanthomonas begoniae Takimoto 1934"" ""NCPPB 109"""
NCPPB 109,alternative_name_plus_number,"""Xanthomonas campestris pv. begoniae (Takimoto 1934) Dye 1978"" ""NCPPB 109"""
NCPPB 113,ncppb_number,NCPPB 113
NCPPB 113,ncppb_number_compact,NCPPB113
NCPPB 113,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 113"
NCPPB 113,current_name_plus_number,"""Xanthomonas axonopodis pv. ricini (Yoshi & Takimoto 1928) Vauterin et al. 1995"" ""NCPPB 113"""
NCPPB 113,received_name_plus_number,"""X. ricinicola."" ""NCPPB 113"""
NCPPB 113,alternative_name_plus_number,"""Xanthomonas campestris pv. ricini (Yoshi & T akimoto 1928) Dye 1978"" ""NCPPB 113"""
NCPPB 151,ncppb_number,NCPPB 151
NCPPB 151,ncppb_number_compact,NCPPB151
NCPPB 151,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 151"
NCPPB 151,current_name_plus_number,"""Xanthomonas campestris pv. papavericola (Bryan and McWhorter 1930) Dye 1978"" ""NCPPB 151"""
NCPPB 174,ncppb_number,NCPPB 174
NCPPB 174,ncppb_number_compact,NCPPB174
NCPPB 174,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 174"
NCPPB 174,current_name_plus_number,"""Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995"" ""NCPPB 174"""
NCPPB 174,received_name_plus_number,"""Xanthomonas vasculorum (Cobb 1893) Dowson 1939"" ""NCPPB 174"""
NCPPB 174,alternative_name_plus_number,"""Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978"" ""NCPPB 174"""
NCPPB 181,ncppb_number,NCPPB 181
NCPPB 181,ncppb_number_compact,NCPPB181
NCPPB 181,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 181"
NCPPB 181,current_name_plus_number,"""Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995"" ""NCPPB 181"""
NCPPB 181,received_name_plus_number,"""Xanthomonas vasculorum (Cobb 1893) Dowson 1939"" ""NCPPB 181"""
NCPPB 181,alternative_name_plus_number,"""Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978"" ""NCPPB 181"""
NCPPB 182,ncppb_number,NCPPB 182
NCPPB 182,ncppb_number_compact,NCPPB182
NCPPB 182,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 182"
NCPPB 182,current_name_plus_number,"""Xanthomonas sp. (Cobb 1893) Vauterin et al. 1995"" ""NCPPB 182"""
NCPPB 182,received_name_plus_number,"""Xanthomonas vasculorum (Cobb 1893) Dowson 1939"" ""NCPPB 182"""
NCPPB 182,alternative_name_plus_number,"""Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978"" ""NCPPB 182"""
NCPPB 182,other_collection_number,ATCC 13901
