ncppb_number,ncppb_number_compact,current_name,name_as_received,alternative_names,pathovar,host,country,other_collection_numbers,ncppb_catalogue_url,catalogue_sequence_links,sequencing_type,year_added,type_strain_of_species,pathotype_strain,other_references,notes,raw_record_text
NCPPB 45,NCPPB45,Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939,Xanthomonas campestris (Pammel 1895) Dowson 1939,,pv. campestris,Brassica napus,UK,,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=45,,,1941,No,No,This isolate was isolated by W.J. Dowson,,NCPPB No. 45: Catalogue name: Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939 Name as received: Xanthomonas campestris (Pammel 1895) Dowson 1939 Country: UK Host: Brassica napus Year Added: 1941 Type strain of the species: No Pathotype strain: No Other references: This isolate was isolated by W.J. Dowson
NCPPB 101,NCPPB101,Xanthomonas cassavae (ex Wiehe & Dowson 1953) Vauterin et al. 1995,Xanthomonas cassavae,Xanthomonas campestris pv. cassavae (Wiehe & Dowson 1953) Maraite and Weyns 1979,,Manihot esculenta,Malawi,ICMP 204; LMG 673; DSM 18958,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=101,,,1951,Yes,No,"This isolate is also in the collections; ICMP 204, LMG 673, DSM 18958",,"NCPPB No. 101: Catalogue name: Xanthomonas cassavae (ex Wiehe & Dowson 1953) Vauterin et al. 1995 Name as received: Xanthomonas cassavae Other name: Xanthomonas campestris pv. cassavae (Wiehe & Dowson 1953) Maraite and Weyns 1979 Country: Malawi Host: Manihot esculenta Year Added: 1951 Type strain of the species: Yes Pathotype strain: No Other references: This isolate is also in the collections; ICMP 204, LMG 673, DSM 18958"
NCPPB 109,NCPPB109,Xanthomonas axonopodis pv. begoniae (Takimoto 1934) Vauterin et al. 1995,Xanthomonas begoniae Takimoto 1934,Xanthomonas campestris pv. begoniae (Takimoto 1934) Dye 1978,pv. begoniae,Begonia sp.,UK,,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=109,,,1937,No,No,,,NCPPB No. 109: Catalogue name: Xanthomonas axonopodis pv. begoniae (Takimoto 1934) Vauterin et al. 1995 Name as received: Xanthomonas begoniae Takimoto 1934 Other name: Xanthomonas campestris pv. begoniae (Takimoto 1934) Dye 1978 Country: UK Host: Begonia sp. Year Added: 1937 Type strain of the species: No Pathotype strain: No Other references:
NCPPB 113,NCPPB113,Xanthomonas axonopodis pv. ricini (Yoshi & Takimoto 1928) Vauterin et al. 1995,X. ricinicola.,Xanthomonas campestris pv. ricini (Yoshi & T akimoto 1928) Dye 1978,pv. ricini,,Uganda,,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=113,,,1938,No,No,,Yellow strain. Not pathogenic.,NCPPB No. 113: Catalogue name: Xanthomonas axonopodis pv. ricini (Yoshi & Takimoto 1928) Vauterin et al. 1995 Name as received: X. ricinicola. Other name: Xanthomonas campestris pv. ricini (Yoshi & T akimoto 1928) Dye 1978 Country: Uganda Year Added: 1938 Type strain of the species: No Pathotype strain: No Notes: Yellow strain. Not pathogenic. Other references:
NCPPB 151,NCPPB151,Xanthomonas campestris pv. papavericola (Bryan and McWhorter 1930) Dye 1978,,,pv. papavericola,Argemone sp.,Mauritius,,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=151,,,1941,No,No,,,NCPPB No. 151: Catalogue name: Xanthomonas campestris pv. papavericola (Bryan and McWhorter 1930) Dye 1978 Country: Mauritius Host: Argemone sp. Year Added: 1941 Type strain of the species: No Pathotype strain: No Other references:
NCPPB 174,NCPPB174,Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995,Xanthomonas vasculorum (Cobb 1893) Dowson 1939,Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978,pv. vasculorum,,,,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=174,,,1958,No,No,,,NCPPB No. 174: Catalogue name: Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995 Name as received: Xanthomonas vasculorum (Cobb 1893) Dowson 1939 Other name: Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978 Year Added: 1958 Type strain of the species: No Pathotype strain: No Other references:
NCPPB 181,NCPPB181,Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995,Xanthomonas vasculorum (Cobb 1893) Dowson 1939,Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978,pv. vasculorum,,Australia,,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=181,,,1946,No,No,,"Fatty acid Type B(Dookun, Stead & Autrey 2000)","NCPPB No. 181: Catalogue name: Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995 Name as received: Xanthomonas vasculorum (Cobb 1893) Dowson 1939 Other name: Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978 Country: Australia Year Added: 1946 Type strain of the species: No Pathotype strain: No Notes: Fatty acid Type B(Dookun, Stead & Autrey 2000) Other references:"
NCPPB 182,NCPPB182,Xanthomonas sp. (Cobb 1893) Vauterin et al. 1995,Xanthomonas vasculorum (Cobb 1893) Dowson 1939,Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978,,Saccharum officinarum,Puerto Rico,ATCC 13901; ICMP 305; LMG 896,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=182,,,1946,No,No,"This isolate is also in the collections; ATCC 13901, ICMP 305, LMG 896 The source of this isolate was ex M.T. Cook","Fatty acid Type E (Dookun, Stead & Autrey 2000)","NCPPB No. 182: Catalogue name: Xanthomonas sp. (Cobb 1893) Vauterin et al. 1995 Name as received: Xanthomonas vasculorum (Cobb 1893) Dowson 1939 Other name: Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978 Country: Puerto Rico Host: Saccharum officinarum Year Added: 1946 Type strain of the species: No Pathotype strain: No Notes: Fatty acid Type E (Dookun, Stead & Autrey 2000) Other references: This isolate is also in the collections; ATCC 13901, ICMP 305, LMG 896 The source of this isolate was ex M.T. Cook"
NCPPB 184,NCPPB184,Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995,Xanthomonas vasculorum (Cobb 1893) Dowson 1939,Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978,pv. vasculorum,Saccharum officinarum,Mauritius,ATCC 13902,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=184,,,1958,No,No,"This isolate is also in the collections; ATCC 13902, ICPB XV101","Fatty acid Type B (Dookun, Stead & Autrey 2000)","NCPPB No. 184: Catalogue name: Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995 Name as received: Xanthomonas vasculorum (Cobb 1893) Dowson 1939 Other name: Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978 Country: Mauritius Host: Saccharum officinarum Year Added: 1958 Type strain of the species: No Pathotype strain: No Notes: Fatty acid Type B (Dookun, Stead & Autrey 2000) Other references: This isolate is also in the collections; ATCC 13902, ICPB XV101"
NCPPB 185,NCPPB185,Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995,Xanthomonas vasculorum (Cobb 1893) Dowson 1939,Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978,pv. vasculorum,Dictyospermaalbum,Mauritius,,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=185,,,1946,No,No,,"Fatty acid Type B(Dookun, Stead & Autrey 2000)","NCPPB No. 185: Catalogue name: Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995 Name as received: Xanthomonas vasculorum (Cobb 1893) Dowson 1939 Other name: Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978 Country: Mauritius Host: Dictyospermaalbum Year Added: 1946 Type strain of the species: No Pathotype strain: No Notes: Fatty acid Type B(Dookun, Stead & Autrey 2000) Other references:"
