audit_category	priority	ncppb_number	ncppb_current_name	biosample_pair_count	biosample_accessions	identity_evidence	ncbi_organism_names	taxonomy_status	pathovar_status	assembly_accessions	sra_run_accessions	sequence_linkage_audit_verdict	final_sequence_disposition	allowed_analysis_scope	strictly_excluded_analysis_scope	tree_tip_label_rule	minimum_next_action	rationale	biosample_evidence_urls	resource_evidence_url	ncbi_taxonomy_url	external_taxonomy_or_literature_source	pipeline_review_decision_advice
species_or_pathovar_unresolved	P2	NCPPB 230	Xanthomonas hortorum pv. carotae (Kendrick 1934) Vauterin et al. 1995	1	SAMN40354569	primary_ncppb_pairs=1; strong_collection_pairs=0; conflicting_ncppb_numbers=0	Xanthomonas sp. WHRI 8391	same_genus_different_species	observed_pathovar_unresolved	GCF_040202495.1	SRR28281421; SRR30293564	sequence_link_confirmed_species_assignment_pending	conditional_release_for_genus_tree_qc_ani_only	genus_overview_tree; QC; ANI_or_GTDB_species_check	species_core_genome; pathovar_grouping; metadata_association_by_species_or_pathogenicity	NCPPB current name plus NCBI submitted name; add species_assignment_under_review	prioritize ANI/GTDB, original publication and host review; label tree tip species_assignment_under_review	The NCPPB identity is exact, but NCBI gives Xanthomonas sp., a different species, or no pathovar. The genome may be used, but taxonomy metadata cannot be used as an analysis grouping yet.	https://www.ncbi.nlm.nih.gov/biosample/SAMN40354569	https://www.ncbi.nlm.nih.gov/assembly/GCF_040202495.1	https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=3161573&mode=Info	NCBI BioSample/Taxonomy record; ANI/GTDB and literature review required	after supervisor approval: approve_for_downstream; preserve use restrictions from this table
species_or_pathovar_unresolved	P2	NCPPB 425	Xanthomonas hortorum pv. carotae (Kendrick 1934) Vauterin et al. 1995	1	SAMN40354566	primary_ncppb_pairs=1; strong_collection_pairs=0; conflicting_ncppb_numbers=0	Xanthomonas sp. WHRI 8338	same_genus_different_species	observed_pathovar_unresolved		SRR28281424	sequence_link_confirmed_species_assignment_pending	conditional_release_for_genus_tree_qc_ani_only	genus_overview_tree; QC; ANI_or_GTDB_species_check	species_core_genome; pathovar_grouping; metadata_association_by_species_or_pathogenicity	NCPPB current name plus NCBI submitted name; add species_assignment_under_review	prioritize ANI/GTDB, original publication and host review; label tree tip species_assignment_under_review	The NCPPB identity is exact, but NCBI gives Xanthomonas sp., a different species, or no pathovar. The genome may be used, but taxonomy metadata cannot be used as an analysis grouping yet.	https://www.ncbi.nlm.nih.gov/biosample/SAMN40354566	https://www.ncbi.nlm.nih.gov/sra/SRR28281424	https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=3161570&mode=Info	NCBI BioSample/Taxonomy record; ANI/GTDB and literature review required	after supervisor approval: approve_for_downstream; preserve use restrictions from this table
explicit_pathovar_conflict	P1	NCPPB 481	Xanthomonas axonopodis pv. desmodii (Patel 1949) Vauterin et al. 1995	1	SAMN42278566	primary_ncppb_pairs=1; strong_collection_pairs=0; conflicting_ncppb_numbers=0	Xanthomonas axonopodis pv. biophyti	same_name	pathovar_mismatch		SRR29692761; SRR30016545	sequence_link_confirmed_pathovar_label_restricted	conditional_release_for_genus_tree_qc_ani_only	genus_overview_tree; assembly_or_read_qc; ANI_or_GTDB_species_check	pathovar_grouping; host_or_pathogenicity_association; species_core_genome_without_ANI	NCPPB current name plus NCBI submitted name; add pathovar_label_restricted	check original culture/publication and host; calculate ANI/GTDB; require independent evidence before using any pathovar label	The NCPPB strain identity is exact, but the explicit pathovar labels differ. The genome can represent the collection strain, not an unverified pathovar assignment.	https://www.ncbi.nlm.nih.gov/biosample/SAMN42278566	https://www.ncbi.nlm.nih.gov/sra/SRR29692761	https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=487826&mode=Info	NCBI BioSample/Taxonomy record	after supervisor approval: approve_for_downstream; preserve use restrictions from this table
same_pathovar_historical_or_updated_species_name	P3	NCPPB 575	Xanthomonas euvesicatoria pv. clerodendri (Patel et al. 1952) Harrison et al. 2023	1	SAMN19988990	primary_ncppb_pairs=1; strong_collection_pairs=0; conflicting_ncppb_numbers=0	Xanthomonas campestris pv. clerodendri	same_genus_different_species	same_pathovar	GCF_019201225.1	SRR15305412	sequence_link_confirmed_dual_taxonomy_label_required	conditional_release_for_genus_tree_qc_ani_only	genus_overview_tree; QC; ANI_or_GTDB_species_check	species_stratified_core_genome_or_comparative_analysis_without_ANI	NCPPB current name plus NCBI submitted name; add taxonomy_dual_label	calculate ANI/GTDB against suitable references; use NCPPB name as primary label and retain NCBI name as submitted/historical label	The NCPPB identity is exact and pathovar is unchanged; a same-genus species-name difference is compatible with a historical name or later taxonomic revision, but needs ANI before species-level analysis.	https://www.ncbi.nlm.nih.gov/biosample/SAMN19988990	https://www.ncbi.nlm.nih.gov/assembly/GCF_019201225.1	https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=487859&mode=Info	https://wrap.warwick.ac.uk/id/eprint/172838/	after supervisor approval: approve_for_downstream; preserve use restrictions from this table
same_pathovar_historical_or_updated_species_name	P3	NCPPB 579	Xanthomonas euvesicatoria pv. lawsoniae (Patel et al. 1951) Harrison et al. 2023	1	SAMN19988991	primary_ncppb_pairs=1; strong_collection_pairs=0; conflicting_ncppb_numbers=0	Xanthomonas campestris pv. lawsoniae	same_genus_different_species	same_pathovar	GCF_019201185.1	SRR15305414	sequence_link_confirmed_dual_taxonomy_label_required	conditional_release_for_genus_tree_qc_ani_only	genus_overview_tree; QC; ANI_or_GTDB_species_check	species_stratified_core_genome_or_comparative_analysis_without_ANI	NCPPB current name plus NCBI submitted name; add taxonomy_dual_label	calculate ANI/GTDB against suitable references; use NCPPB name as primary label and retain NCBI name as submitted/historical label	The NCPPB identity is exact and pathovar is unchanged; a same-genus species-name difference is compatible with a historical name or later taxonomic revision, but needs ANI before species-level analysis.	https://www.ncbi.nlm.nih.gov/biosample/SAMN19988991	https://www.ncbi.nlm.nih.gov/assembly/GCF_019201185.1	https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=487873&mode=Info	https://wrap.warwick.ac.uk/id/eprint/172838/	after supervisor approval: approve_for_downstream; preserve use restrictions from this table
same_pathovar_historical_or_updated_species_name	P3	NCPPB 585	Xanthomonas citri pv. trichodesmae (Patel et al.1952) Harrison et al. 2023	1	SAMN19988994	primary_ncppb_pairs=1; strong_collection_pairs=0; conflicting_ncppb_numbers=0	Xanthomonas campestris pv. trichodesmae	same_genus_different_species	same_pathovar	GCA_019201525.1	SRR15305424	sequence_link_confirmed_dual_taxonomy_label_required	conditional_release_for_genus_tree_qc_ani_only	genus_overview_tree; QC; ANI_or_GTDB_species_check	species_stratified_core_genome_or_comparative_analysis_without_ANI	NCPPB current name plus NCBI submitted name; add taxonomy_dual_label	calculate ANI/GTDB against suitable references; use NCPPB name as primary label and retain NCBI name as submitted/historical label	The NCPPB identity is exact and pathovar is unchanged; a same-genus species-name difference is compatible with a historical name or later taxonomic revision, but needs ANI before species-level analysis.	https://www.ncbi.nlm.nih.gov/biosample/SAMN19988994	https://www.ncbi.nlm.nih.gov/assembly/GCA_019201525.1	https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=487895&mode=Info	https://wrap.warwick.ac.uk/id/eprint/172838/	after supervisor approval: approve_for_downstream; preserve use restrictions from this table
same_pathovar_historical_or_updated_species_name	P3	NCPPB 586	Xanthomonas euvesicatoria pv. uppalii (Patel 1948) Harrison et al. 2023	1	SAMN19988992	primary_ncppb_pairs=1; strong_collection_pairs=0; conflicting_ncppb_numbers=0	Xanthomonas campestris pv. uppalii	same_genus_different_species	same_pathovar	GCF_019201115.1	SRR15305427	sequence_link_confirmed_dual_taxonomy_label_required	conditional_release_for_genus_tree_qc_ani_only	genus_overview_tree; QC; ANI_or_GTDB_species_check	species_stratified_core_genome_or_comparative_analysis_without_ANI	NCPPB current name plus NCBI submitted name; add taxonomy_dual_label	calculate ANI/GTDB against suitable references; use NCPPB name as primary label and retain NCBI name as submitted/historical label	The NCPPB identity is exact and pathovar is unchanged; a same-genus species-name difference is compatible with a historical name or later taxonomic revision, but needs ANI before species-level analysis.	https://www.ncbi.nlm.nih.gov/biosample/SAMN19988992	https://www.ncbi.nlm.nih.gov/assembly/GCF_019201115.1	https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=487896&mode=Info	https://wrap.warwick.ac.uk/id/eprint/172838/	after supervisor approval: approve_for_downstream; preserve use restrictions from this table
same_pathovar_historical_or_updated_species_name	P3	NCPPB 976	Xanthomonas citri (ex Hasse 1915) Gabriel et al. 1989	2	SAMN09704274; SAMN11047482	primary_ncppb_pairs=1; strong_collection_pairs=1; conflicting_ncppb_numbers=0	Xanthomonas axonopodis pv. vitians	same_genus_different_species	same_pathovar	GCF_012922295.1	SRR7628814; SRR8732949	sequence_link_confirmed_dual_taxonomy_label_required	conditional_release_for_genus_tree_qc_ani_only	genus_overview_tree; QC; ANI_or_GTDB_species_check	species_stratified_core_genome_or_comparative_analysis_without_ANI	NCPPB current name plus NCBI submitted name; add taxonomy_dual_label	calculate ANI/GTDB against suitable references; use NCPPB name as primary label and retain NCBI name as submitted/historical label	The NCPPB identity is exact and pathovar is unchanged; a same-genus species-name difference is compatible with a historical name or later taxonomic revision, but needs ANI before species-level analysis.	https://www.ncbi.nlm.nih.gov/biosample/SAMN09704274; https://www.ncbi.nlm.nih.gov/biosample/SAMN11047482	https://www.ncbi.nlm.nih.gov/assembly/GCF_012922295.1	https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=487843&mode=Info	https://wrap.warwick.ac.uk/id/eprint/172838/	after supervisor approval: approve_for_downstream; preserve use restrictions from this table
species_or_pathovar_unresolved	P2	NCPPB 985	Xanthomonas phaseoli pv. dieffenbachiae (McCulloch & Pirone 1939) Constantin et al. 2016 comb. nov.	1	SAMN02903999	primary_ncppb_pairs=0; strong_collection_pairs=1; conflicting_ncppb_numbers=0	Xanthomonas citri	same_genus_different_species	observed_pathovar_unresolved	GCF_001401545.2	SRR1509951; SRR1522076; SRR3715273	sequence_link_confirmed_species_assignment_pending	conditional_release_for_genus_tree_qc_ani_only	genus_overview_tree; QC; ANI_or_GTDB_species_check	species_core_genome; pathovar_grouping; metadata_association_by_species_or_pathogenicity	NCPPB current name plus NCBI submitted name; add species_assignment_under_review	prioritize ANI/GTDB, original publication and host review; label tree tip species_assignment_under_review	The NCPPB identity is exact, but NCBI gives Xanthomonas sp., a different species, or no pathovar. The genome may be used, but taxonomy metadata cannot be used as an analysis grouping yet.	https://www.ncbi.nlm.nih.gov/biosample/SAMN02903999	https://www.ncbi.nlm.nih.gov/assembly/GCF_001401545.2	https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=346&mode=Info	NCBI BioSample/Taxonomy record; ANI/GTDB and literature review required	after supervisor approval: approve_for_downstream; preserve use restrictions from this table
explicit_pathovar_conflict	P1	NCPPB 1158	Xanthomonas citri pv. fuscans (Schaad et al. 2007) Constantin et al. 2016 comb. nov.	1	SAMN03142401	primary_ncppb_pairs=1; strong_collection_pairs=0; conflicting_ncppb_numbers=0	Xanthomonas phaseoli pv. phaseoli	compatible_synonym	pathovar_mismatch	GCF_000775205.1	SRR2052443	sequence_link_confirmed_pathovar_label_restricted	conditional_release_for_genus_tree_qc_ani_only	genus_overview_tree; assembly_or_read_qc; ANI_or_GTDB_species_check	pathovar_grouping; host_or_pathogenicity_association; species_core_genome_without_ANI	NCPPB current name plus NCBI submitted name; add pathovar_label_restricted	check original culture/publication and host; calculate ANI/GTDB; require independent evidence before using any pathovar label	The NCPPB strain identity is exact, but the explicit pathovar labels differ. The genome can represent the collection strain, not an unverified pathovar assignment.	https://www.ncbi.nlm.nih.gov/biosample/SAMN03142401	https://www.ncbi.nlm.nih.gov/assembly/GCF_000775205.1	https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=317013&mode=Info	https://gd.eppo.int/taxon/XANTFF/datasheet	after supervisor approval: approve_for_downstream; preserve use restrictions from this table
