ncppb_number	audit_category	priority	biosample_accession	identity_match_status	matched_identifier	matched_identifier_type	identifier_strength	matched_field	evidence_class	conflicting_ncppb_numbers	ncbi_organism	taxid	biosample_host	biosample_geographic_location	biosample_collection_date	taxonomy_status	pathovar_status	assembly_accessions	sra_run_accessions	sequence_linkage_audit_verdict	final_sequence_disposition	immediate_action	biosample_evidence_url	resource_evidence_url	ncbi_taxonomy_url
NCPPB 230	species_or_pathovar_unresolved	P2	SAMN40354569	confirmed_exact_ncppb_identifier	NCPPB 230	ncppb_number	primary	identity_aliases	structured_exact_identifier		Xanthomonas sp. WHRI 8391	3161573	Not collected	USA	1949	same_genus_different_species	observed_pathovar_unresolved	GCF_040202495.1	SRR28281421; SRR30293564	sequence_link_confirmed_species_assignment_pending	conditional_release_for_genus_tree_qc_ani_only	prioritize ANI/GTDB, original publication and host review; label tree tip species_assignment_under_review	https://www.ncbi.nlm.nih.gov/biosample/SAMN40354569	https://www.ncbi.nlm.nih.gov/assembly/GCF_040202495.1	https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=3161573&mode=Info
NCPPB 425	species_or_pathovar_unresolved	P2	SAMN40354566	confirmed_exact_ncppb_identifier	NCPPB 425	ncppb_number	primary	identity_aliases	structured_exact_identifier		Xanthomonas sp. WHRI 8338	3161570	Not collected	Canada	1967	same_genus_different_species	observed_pathovar_unresolved		SRR28281424	sequence_link_confirmed_species_assignment_pending	conditional_release_for_genus_tree_qc_ani_only	prioritize ANI/GTDB, original publication and host review; label tree tip species_assignment_under_review	https://www.ncbi.nlm.nih.gov/biosample/SAMN40354566	https://www.ncbi.nlm.nih.gov/sra/SRR28281424	https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=3161570&mode=Info
NCPPB 481	explicit_pathovar_conflict	P1	SAMN42278566	confirmed_exact_ncppb_identifier	NCPPB 481	ncppb_number	primary	strain	structured_exact_identifier		Xanthomonas axonopodis pv. biophyti	487826	Biophytum sensitivum	India	1967	same_name	pathovar_mismatch		SRR29692761; SRR30016545	sequence_link_confirmed_pathovar_label_restricted	conditional_release_for_genus_tree_qc_ani_only	check original culture/publication and host; calculate ANI/GTDB; require independent evidence before using any pathovar label	https://www.ncbi.nlm.nih.gov/biosample/SAMN42278566	https://www.ncbi.nlm.nih.gov/sra/SRR29692761	https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=487826&mode=Info
NCPPB 575	same_pathovar_historical_or_updated_species_name	P3	SAMN19988990	confirmed_exact_ncppb_identifier	NCPPB 575	ncppb_number	primary	strain	structured_exact_identifier		Xanthomonas campestris pv. clerodendri	487859	Clerodendrum sp.	India	not collected	same_genus_different_species	same_pathovar	GCF_019201225.1	SRR15305412	sequence_link_confirmed_dual_taxonomy_label_required	conditional_release_for_genus_tree_qc_ani_only	calculate ANI/GTDB against suitable references; use NCPPB name as primary label and retain NCBI name as submitted/historical label	https://www.ncbi.nlm.nih.gov/biosample/SAMN19988990	https://www.ncbi.nlm.nih.gov/assembly/GCF_019201225.1	https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=487859&mode=Info
NCPPB 579	same_pathovar_historical_or_updated_species_name	P3	SAMN19988991	confirmed_exact_ncppb_identifier	NCPPB 579	ncppb_number	primary	strain	structured_exact_identifier		Xanthomonas campestris pv. lawsoniae	487873	Lawsonia inermis	India	not collected	same_genus_different_species	same_pathovar	GCF_019201185.1	SRR15305414	sequence_link_confirmed_dual_taxonomy_label_required	conditional_release_for_genus_tree_qc_ani_only	calculate ANI/GTDB against suitable references; use NCPPB name as primary label and retain NCBI name as submitted/historical label	https://www.ncbi.nlm.nih.gov/biosample/SAMN19988991	https://www.ncbi.nlm.nih.gov/assembly/GCF_019201185.1	https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=487873&mode=Info
NCPPB 585	same_pathovar_historical_or_updated_species_name	P3	SAMN19988994	confirmed_exact_ncppb_identifier	NCPPB 585	ncppb_number	primary	strain	structured_exact_identifier		Xanthomonas campestris pv. trichodesmae	487895	Trichodesma zeylanicum	India	not collected	same_genus_different_species	same_pathovar	GCA_019201525.1	SRR15305424	sequence_link_confirmed_dual_taxonomy_label_required	conditional_release_for_genus_tree_qc_ani_only	calculate ANI/GTDB against suitable references; use NCPPB name as primary label and retain NCBI name as submitted/historical label	https://www.ncbi.nlm.nih.gov/biosample/SAMN19988994	https://www.ncbi.nlm.nih.gov/assembly/GCA_019201525.1	https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=487895&mode=Info
NCPPB 586	same_pathovar_historical_or_updated_species_name	P3	SAMN19988992	confirmed_exact_ncppb_identifier	NCPPB 586	ncppb_number	primary	strain	structured_exact_identifier		Xanthomonas campestris pv. uppalii	487896	Ipomoea muricata	India	not collected	same_genus_different_species	same_pathovar	GCF_019201115.1	SRR15305427	sequence_link_confirmed_dual_taxonomy_label_required	conditional_release_for_genus_tree_qc_ani_only	calculate ANI/GTDB against suitable references; use NCPPB name as primary label and retain NCBI name as submitted/historical label	https://www.ncbi.nlm.nih.gov/biosample/SAMN19988992	https://www.ncbi.nlm.nih.gov/assembly/GCF_019201115.1	https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=487896&mode=Info
NCPPB 976	same_pathovar_historical_or_updated_species_name	P3	SAMN09704274	confirmed_exact_ncppb_identifier	NCPPB 976	ncppb_number	primary	strain	structured_exact_identifier		Xanthomonas axonopodis pv. vitians	487843	missing	USA	missing	same_genus_different_species	same_pathovar		SRR7628814	sequence_link_confirmed_dual_taxonomy_label_required	conditional_release_for_genus_tree_qc_ani_only	calculate ANI/GTDB against suitable references; use NCPPB name as primary label and retain NCBI name as submitted/historical label	https://www.ncbi.nlm.nih.gov/biosample/SAMN09704274	https://www.ncbi.nlm.nih.gov/sra/SRR7628814	https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=487843&mode=Info
NCPPB 976	same_pathovar_historical_or_updated_species_name	P3	SAMN11047482	confirmed_exact_collection_identifier	CFBP 2538	collection_number	strong	strain	structured_exact_identifier		Xanthomonas axonopodis pv. vitians	487843	Lactuca sativa	USA: South Carolina	1917	same_genus_different_species	same_pathovar	GCF_012922295.1	SRR8732949	sequence_link_confirmed_dual_taxonomy_label_required	conditional_release_for_genus_tree_qc_ani_only	calculate ANI/GTDB against suitable references; use NCPPB name as primary label and retain NCBI name as submitted/historical label	https://www.ncbi.nlm.nih.gov/biosample/SAMN11047482	https://www.ncbi.nlm.nih.gov/assembly/GCF_012922295.1	https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=487843&mode=Info
NCPPB 985	species_or_pathovar_unresolved	P2	SAMN02903999	confirmed_exact_collection_identifier	LMG 7399	collection_number	strong	strain	structured_exact_identifier		Xanthomonas citri	346		Belgium: Merelbeke	2014-01-16	same_genus_different_species	observed_pathovar_unresolved	GCF_001401545.2	SRR1509951; SRR1522076; SRR3715273	sequence_link_confirmed_species_assignment_pending	conditional_release_for_genus_tree_qc_ani_only	prioritize ANI/GTDB, original publication and host review; label tree tip species_assignment_under_review	https://www.ncbi.nlm.nih.gov/biosample/SAMN02903999	https://www.ncbi.nlm.nih.gov/assembly/GCF_001401545.2	https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=346&mode=Info
