ncppb_number	other_references
NCPPB 45	This isolate was isolated by W.J. Dowson
NCPPB 101	This isolate is also in the collections; ICMP 204, LMG 673, DSM 18958
NCPPB 109	
NCPPB 113	
NCPPB 151	
NCPPB 174	
NCPPB 181	
NCPPB 182	This isolate is also in the collections; ATCC 13901, ICMP 305, LMG 896 The source of this isolate was ex M.T. Cook
NCPPB 184	This isolate is also in the collections; ATCC 13902, ICPB XV101
NCPPB 185	
NCPPB 186	
NCPPB 187	
NCPPB 195	
NCPPB 196	
NCPPB 200	
NCPPB 205	
NCPPB 206	This isolate is also in the collections; ICMP 326, LMG 8284, CFBP 7162
NCPPB 208	This isolate was isolated by G. Orian PC5
NCPPB 210	This isolate was isolated by M.K. Patel
NCPPB 211	
NCPPB 212	
NCPPB 220	The source of this isolate was ex C. Elliott
NCPPB 226	
NCPPB 230	
NCPPB 232	
NCPPB 240	This isolate was isolated by W.J. Dowson The source of this isolate was .
NCPPB 241	The source of this isolate was ex W.J. Dowson
NCPPB 243	
NCPPB 273	The source of this isolate was ex A.C. Brown B67
NCPPB 279	This isolate was isolated by P.O. Wiehe
NCPPB 290	The donor reference is 38/2
NCPPB 293	This isolate was isolated by R.A. Lelliott
NCPPB 301	
NCPPB 302	The donor reference is XP 8 The source of this isolate was .
NCPPB 305	
NCPPB 315	The donor reference is XS52/5
NCPPB 347	This isolate is also in the collections; ICMP 7, LMG 535 This isolate was isolated by G.B. Wallace
NCPPB 348	
NCPPB 362	
NCPPB 381	The donor reference is ZK4 This isolate is also in the collections; ATCC 19315, LMG 826, ICMP 239, CFBP 6165 The source of this isolate was ex W.A.F. Hagborg
NCPPB 400	This isolate was isolated by E. Hellmers 69
NCPPB 403	This isolate was isolated by D.W. Dye Ql
NCPPB 404	This isolate was isolated by D.W. Dye Q2
NCPPB 405	This isolate was isolated by D.W. Dye R1
NCPPB 406	The donor reference is R This isolate was isolated by D.W. Dye R2
NCPPB 407	This isolate was isolated by D.W. Dye R3
NCPPB 408	This isolate was isolated by D.W. Dye R4
NCPPB 409	This isolate is also in the collections; ICMP 24, LMG 682, CFBP 2525 This isolate was isolated by D.W. Dye R5
NCPPB 410	This isolate was isolated by D.W. Dye R6
NCPPB 411	The donor reference is S3 This isolate is also in the collections; ICMP 35, CFBP 2528, LMG 747, ATCC 49083
NCPPB 412	This isolate was isolated by D.W. Dye S6
NCPPB 414	This isolate was isolated by D.W. Dye S10
NCPPB 415	This isolate was isolated by D.W. Dye S12
NCPPB 416	This isolate is also in the collections; ATCC 19316, ICMP 51, LMG 852, CFBP 2535 This isolate was isolated by D.W. Dye Tl
NCPPB 418	This isolate was isolated by D.W. Dye T6
NCPPB 419	This isolate was isolated by D.W. Dye T7
NCPPB 420	This isolate was isolated by D.W. Dye T8
NCPPB 421	This isolate was isolated by D.W. Dye T9
NCPPB 422	This isolate is also in the collections; ICMP 63, LMG 911, ATCC 35937 This isolate was isolated by D.W. Dye X1
NCPPB 423	This isolate is also in the collections; ICMP 65, LMG 916 This isolate was isolated by D.W. Dye X3
NCPPB 424	This isolate is also in the collections; ICMP 66, LMG 917 This isolate was isolated by D.W. Dye X4
NCPPB 425	The donor reference is ZC1 The source of this isolate was ex B. Paine
NCPPB 457	This isolate is also in the collections; ATCC 19312, ICMP 50, LMG 982, DSMZ 3585 This isolate was isolated by M.P. Starr XA103
NCPPB 464	This isolate is also in the collections; ICMP 359, LMG 9052 This isolate was isolated by K.A. Sabet Cor 9
NCPPB 465	This isolate was isolated by K.A. Sabet Cor 5
NCPPB 466	This isolate is also in the collections; ICMP 360, LMG 859 The source of this isolate was ex M.K. Hingorani
NCPPB 473	The source of this isolate was ex M.K. Hingorani
NCPPB 476	The source of this isolate was ex M.K. Desai
NCPPB 477	The source of this isolate was ex M.K. Desai
NCPPB 478	The source of this isolate was ex M.K. Desai
NCPPB 479	This isolate was isolated by ex M.K. Desai
NCPPB 480	This isolate is also in the collections; CFBP 7121 The source of this isolate was ex M.K. Desai
NCPPB 481	This isolate is also in the collections; ATCC 11640, ICMP 315, LMG 692 This isolate was isolated by ICPB XD105 The source of this isolate was ex ICPB XD105 ex ICPB XD105
NCPPB 485	The donor reference is XB109 The source of this isolate was ex ICPB XB109
NCPPB 488	This isolate is also in the collections; ICPB XR101, ATCC 11767, LMG 7441, ICMP 248 The source of this isolate was ex M.K. Patel
NCPPB 490	The donor reference is 18 This isolate is also in the collections; ATCC 11637, ICMP 5740, LMG 941, CFBP 1716 This isolate was isolated by M.K. Patel The source of this isolate was ex ICPB PM114 ex M.K. Patel
NCPPB 509	The donor reference is 391 This isolate is also in the collections; LMG 919 This isolate was isolated by ex A. Rothwell
NCPPB 510	The donor reference is 392 This isolate was isolated by ex G. Orian
NCPPB 526	The donor reference is 412 This isolate was isolated by ex J.A. Spence XAS/L
NCPPB 528	This isolate is also in the collections; ICMP 13, ATCC 33913, LMG 568, CIP 100069 This isolate was isolated by E. Billing P25
NCPPB 529	This isolate was isolated by E. Billing P33/1
NCPPB 535	This isolate was isolated by K.A. Sabet Ric 3
NCPPB 536	This isolate is also in the collections; ICMP 671, LMG 753 This isolate was isolated by K.A. Sabet Khl
NCPPB 554	This isolate is also in the collections; ICMP 5732, LMG 712, CFBP 2526. ATCC 43911 This isolate was isolated by K.A. Sabet Soy 1
NCPPB 555	This isolate was isolated by K.A. Sabet Vig 5
NCPPB 556	This isolate was isolated by K.A. Sabet Dol S
NCPPB 557	This isolate was isolated by K.A. Sabet Dol W
NCPPB 570	This isolate is also in the collections; ATCC 11645, ICMP 441, LMG 498 The source of this isolate was ex M.K. Patel 16
NCPPB 571	This isolate is also in the collections; ATCC 11672, ICMP 571, LMG 546 This isolate was isolated by M.K. Patel 4
NCPPB 573	This isolate is also in the collections; ATCC 11639, ICMP 444, LMG 558 The source of this isolate was ex M.K. Patel 5
NCPPB 575	This isolate is also in the collections; ATCC 11676, ICMP 445, CIP 106789, LMG 684, DSMZ 13067, CCUG 43811 The source of this isolate was ex M.K. Patel 10
NCPPB 577	This isolate is also in the collections; ATCC 11671, ICMP 577, LMG 693 The source of this isolate was ex M.K. Patel 3
NCPPB 578	This isolate is also in the collections; ATCC 11679, ICMP 446, LMG 698 The source of this isolate was ex M.K. Patel 17
NCPPB 579	This isolate is also in the collections; ATCC 11674, ICMP 319, LMG 756 The source of this isolate was ex M.K. Patel 8
NCPPB 581	This isolate is also in the collections; ATCC 11643, ICMP 5779, LMG 849, CFBP 7277 The source of this isolate was ex M.K. Patel 12
NCPPB 582	This isolate is also in the collections; ATCC 11675, ICMP 367, LMG 867 This isolate was isolated by M.K. Patel The source of this isolate was ex M.K. Patel 9
NCPPB 584	This isolate is also in the collections; ATCC 11673, ICMP 572, LMG 995, CCUG 15850 The source of this isolate was ex M.K. Patel 7
NCPPB 585	This isolate is also in the collections; ATCC 11678, ICMP 5754, LMG 874 This isolate was isolated by ex M.K. Patel 15
NCPPB 586	This isolate is also in the collections; ATCC 11641, ICMP 5756, LMG 893 The source of this isolate was ex M.K. Patel 2
NCPPB 599	The donor reference is Y6 This isolate is also in the collections; ATCC 193314, ICMP 189, DSM 19077, CFBP 1156, LMG 739 The source of this isolate was ex E. van Slogteren
NCPPB 614	The source of this isolate was ex L.S. Bird 52-3
NCPPB 631	This isolate is also in the collections; ICMP 621, LMG 865 This isolate was isolated by ex K.A. Sabet
NCPPB 633	The donor reference is 222M This isolate is also in the collections; ICMP 5739, LMG 761, CFBP 2530 This isolate was isolated by ex F.T. Last M2519
NCPPB 634	The donor reference is 223S This isolate was isolated by ex F. T. Last S2519
NCPPB 637	The donor reference is 76200 This isolate is also in the collections; ICMP 616, LMG 691 This isolate was isolated by ex M.K. Patel The source of this isolate was ex M.V. Desai
NCPPB 638	The donor reference is 76537 This isolate is also in the collections; CFBP 7110 This isolate was isolated by ex A. Rothwell
NCPPB 642	The donor reference is 423 This isolate was isolated by ex E. Hellmers
NCPPB 645	This isolate was isolated by K.A. Sabet Cas 2
NCPPB 646	This isolate was isolated by K.A. Sabet Kh2
NCPPB 647	This isolate was isolated by K.A. Sabet Ses 9
NCPPB 648	This isolate was isolated by K.A. Sabet Med. 3
NCPPB 670	The donor reference is 77421 This isolate was isolated by ex C. Logan
NCPPB 701	The donor reference is 77833 This isolate is also in the collections; LMG 920 This isolate was isolated by ex G. Goidanich
NCPPB 702	The donor reference is 77860 This isolate is also in the collections; ICPB XV168, LMG 8710, CFBP 7163 This isolate was isolated by ex A. Rothwell
NCPPB 761	The donor reference is Yzl This isolate is also in the collections; ICMP 586, LMG 845, ATCC 49077 This isolate was isolated by N. Okabe The source of this isolate was ex N. Okabe
NCPPB 762	The donor reference is XAl This isolate is also in the collections; ICMP 570, LMG 847, DSM 18956, ATCC 35936 This isolate was isolated by N. Okabe The source of this isolate was ex N. Okabe
NCPPB 793	The donor reference is 78017 This isolate was isolated by ex T.N. Kaul
NCPPB 795	The donor reference is 81587 This isolate is also in the collections; LMG 900 This isolate was isolated by ex P. Baudin
NCPPB 840	This isolate is also in the collections; ICMP 167, LMG 811 The source of this isolate was ex M.K. Desai
NCPPB 875	
NCPPB 881	The donor reference is Strain sombor This isolate is also in the collections; ATCC 19865, DSM 19127 This isolate was isolated by D. Sutic
NCPPB 884	The donor reference is B400 The source of this isolate was ex R.M. Patel
NCPPB 885	The donor reference is B401 This isolate is also in the collections; ICMP 168, LMG 694 This isolate was isolated by ex R.M. Patel
NCPPB 887	This isolate is also in the collections; ATCC 33195 This isolate was isolated by A.C. Hayward B315
NCPPB 888	This isolate was isolated by A.C. Hayward B325
NCPPB 889	This isolate is also in the collections; LMG 902, CFBP 5831 This isolate was isolated by A.C. Hayward B323
NCPPB 891	This isolate was isolated by A.C. Hayward B337
NCPPB 892	This isolate was isolated by A.C. Hayward B349
NCPPB 893	This isolate was isolated by A.C. Hayward B343
NCPPB 895	This isolate is also in the collections; LMG 8714 This isolate was isolated by A.C. Hayward B370
NCPPB 896	The donor reference is B462 This isolate is also in the collections; ATCC 33196, LMG 483 This isolate was isolated by ex P. Baudin
NCPPB 897	The donor reference is B463 This isolate was isolated by ex P. Baudin
NCPPB 899	This isolate was isolated by A.C. Hayward B377
NCPPB 900	This isolate was isolated by A.C. Hayward B386
NCPPB 901	The donor reference is B406 The source of this isolate was ex N.B. Kulkarni
NCPPB 902	The donor reference is B454 The source of this isolate was ex N. Shanmuganathan
NCPPB 916	The donor reference is B136
NCPPB 917	This isolate was isolated by A.C. Hayward B130
NCPPB 918	This isolate was isolated by A.C. Hayward B373
NCPPB 922	The donor reference is B499 This isolate was isolated by ex P. Baudin 1213A
NCPPB 923	The donor reference is B495 This isolate was isolated by ex H.T. Brodrick A13a
NCPPB 924	The donor reference is B497 This isolate was isolated by ex H.T. Brodrick A26
NCPPB 926	The donor reference is B494 This isolate was isolated by ex H.T. Brodrick A12
NCPPB 935	This isolate is also in the collections; ATCC 19313, ICMP 5726, ICPB XC 12, LMG 689, CFBP 1159 The source of this isolate was ex P.W. Miller 5262
NCPPB 936	This isolate was isolated by ex W.H. Burkholder
NCPPB 937	This isolate is also in the collections; ATCC 13462, ICMP 574 This isolate was isolated by ex C.E. Williamson The source of this isolate was ex Netherlands
NCPPB 938	This isolate was isolated by ex W.H. Burkholder
NCPPB 939	This isolate is also in the collections; ICMP 453, LMG 733, DSM 19143 This isolate was isolated by ex W.H. Burkholder XH5
NCPPB 940	This isolate is also in the collections; ATCC 19318, ICMP 579 This isolate was isolated by ex J. Niederhauser
NCPPB 941	This isolate is also in the collections; ICMP 102, LMG 922 This isolate was isolated by ex W.H. Burkholder
NCPPB 942	This isolate was isolated by ex W.H. Burkholder
NCPPB 969	This isolate was isolated by ex W.H. Burkholder
NCPPB 970	This isolate was isolated by ex H.H. Thornberry 1-49
NCPPB 971	This isolate is also in the collections; ICMP 318, LMG 758 This isolate was isolated by ex P.A. Ark 1
NCPPB 972	This isolate was isolated by ex P.A. Ark 2
NCPPB 973	This isolate is also in the collections; ATCC 19319, ICMP 5752, LMG 876, DSM 18974, CFBP 1155 This isolate was isolated by ex C.S. Reddy
NCPPB 974	This isolate was isolated by ex Z. Patrick The source of this isolate was ex W.H. Burkholder
NCPPB 975	This isolate was isolated by ex W.H. Burkholder
NCPPB 976	This isolate is also in the collections; ATCC 19320, ICMP 336, LMG 937, CFBP 2538 This isolate was isolated by ex N.A. Brown The source of this isolate was ex W.H. Burkholder
NCPPB 983	This isolate is also in the collections; ATCC 13460, ICMP 437 This isolate was isolated by ex W.H. Burkholder
NCPPB 984	This isolate was isolated by ex S. Dombroff Oregan 5401
NCPPB 985	This isolate is also in the collections; ATCC 23379, LMG 7399, CFBP 7666 This isolate was isolated by P.A. Ark
NCPPB 986	This isolate was isolated by ex P.A. Ark Cardona 2
NCPPB 987	This isolate is also in the collections; ATCC 9653, LMG 7411, ICMP 454 This isolate was isolated by ex W.H. Burkholder XH6
NCPPB 989	This isolate is also in the collections; ATCC 13461, VKM B-618, ICMP 451, LMG 7416, This isolate was isolated by ex W.H. Burkholder
NCPPB 990	This isolate was isolated by ex W.H. Burkholder St3
NCPPB 993	This isolate is also in the collections; ATCC 13463, ICMP 439, LMG 757 This isolate was isolated by ex C. Lefebvre
NCPPB 994	This isolate is also in the collections; ATCC 11644, ICMP 619, LMG 9050 The source of this isolate was ex M.K. Patel 14
NCPPB 1009	This isolate is also in the collections; ICMP 1623 The source of this isolate was ex W.J. Dowson
NCPPB 1014	This isolate is also in the collections; ATCC 11636, ICMP 3965, LMG 954 The source of this isolate was ex M.K. Patel 19
NCPPB 1025	The donor reference is B565 This isolate was isolated by ex C. Polhill
NCPPB 1043	This isolate was isolated by A.C. Hayward B621
NCPPB 1046	The donor reference is B589 This isolate was isolated by ex G. Rangaswami
NCPPB 1048	This isolate was isolated by A.C. Hayward B639
NCPPB 1050	The donor reference is B672 This isolate was isolated by ex S. Bisessar
NCPPB 1056	This isolate is also in the collections; LMG 7457 This isolate was isolated by A.C. Hayward B665B
NCPPB 1058	This isolate was isolated by A.C. Hayward B659
NCPPB 1059	This isolate is also in the collections; ICPB XP198 This isolate was isolated by A.C. Hayward B658
NCPPB 1060	This isolate was isolated by A.C. Hayward B657
NCPPB 1061	This isolate is also in the collections; ATCC 23382, ICPB XP195, ICMP 1028, LMG 848 This isolate was isolated by A.C. Hayward B652
NCPPB 1062	This isolate was isolated by A.C. Hayward B644
NCPPB 1063	This isolate is also in the collections; ATCC 19317, LMG 861, ICMP 5747 This isolate was isolated by A.C. Hayward B651
NCPPB 1067	This isolate was isolated by A.C. Hayward B707A
NCPPB 1068	This isolate is also in the collections; ICMP 18269 This isolate was isolated by A.C. Hayward B689A
NCPPB 1117	The donor reference is B828 This isolate was isolated by ex G. Rangaswami
NCPPB 1124	This isolate was isolated by A.C. Hayward B724A
NCPPB 1128	This isolate was isolated by A.C. Hayward B791
NCPPB 1129	This isolate was isolated by A.C. Hayward B784
NCPPB 1131	This isolate was isolated by A.C. Hayward B720
NCPPB 1132	This isolate was isolated by A.C. Hayward B719
NCPPB 1135	This isolate was isolated by A.C. Hayward B740B
NCPPB 1136	This isolate was isolated by A.C. Hayward B809A
NCPPB 1138	This isolate was isolated by A.C. Hayward B727
NCPPB 1141	This isolate is also in the collections; ICPB XP202 This isolate was isolated by A.C. Hayward B745
NCPPB 1143	This isolate was isolated by L.A.E. Baker X3
NCPPB 1144	This isolate was isolated by L.A.E. Baker X9
NCPPB 1145	This isolate was isolated by L.A.E. Baker X10
NCPPB 1146	This isolate was isolated by L.A.E. Baker XII
NCPPB 1147	This isolate was isolated by L.A.E. Baker X13
NCPPB 1148	The donor reference is XGl This isolate is also in the collections; ICMP 82, LMG 9049 This isolate was isolated by ex D.P. Bhide
NCPPB 1149	The donor reference is XHl This isolate is also in the collections; ICMP 90, LMG 939 The source of this isolate was ex D.P. Bhide
NCPPB 1150	The donor reference is Ykl The source of this isolate was ex Orillo
NCPPB 1151	The donor reference is YK2 The source of this isolate was ex Orillo
NCPPB 1152	The donor reference is YK3 The source of this isolate was ex N. Okabe
NCPPB 1153	The donor reference is YK4 The source of this isolate was ex H. Muko
NCPPB 1154	
NCPPB 1155	This isolate is also in the collections; ICPB XL104, ICMP 84, CFBP 7258, LMG 1158 This isolate was isolated by D.W. Dye Pukatea 3
NCPPB 1158	This isolate is also in the collections; LMG 7458 This isolate was isolated by D.C. Graham
NCPPB 1159	This isolate is also in the collections; ATCC 23380, LMG 5274, ICMP 6934 This isolate was isolated by ex W.H. Burkholder SMl
NCPPB 1160	This isolate was isolated by ex O.A. Drummon & O. Hipolite
NCPPB 1161	This isolate was isolated by ex G. Orian M3
NCPPB 1235	This isolate was isolated by A.C. Hayward B922
NCPPB 1241	This isolate is also in the collections; ICPB XH112 This isolate was isolated by A.C. Hayward B996
NCPPB 1244	This isolate was isolated by A.C. Hayward B1021
