ncppb_number	other_references	script_included_identifiers	llm_expected_identifiers	missing_from_script	extra_in_script	comparison_verdict	llm_notes
NCPPB 45	This isolate was isolated by W.J. Dowson					match	
NCPPB 101	This isolate is also in the collections; ICMP 204, LMG 673, DSM 18958	DSM 18958; ICMP 204; LMG 673	DSM 18958; ICMP 204; LMG 673			match	
NCPPB 109						match	
NCPPB 113						match	
NCPPB 151						match	
NCPPB 174						match	
NCPPB 181						match	
NCPPB 182	This isolate is also in the collections; ATCC 13901, ICMP 305, LMG 896 The source of this isolate was ex M.T. Cook	ATCC 13901; ICMP 305; LMG 896	ATCC 13901; ICMP 305; LMG 896			match	
NCPPB 184	This isolate is also in the collections; ATCC 13902, ICPB XV101	ATCC 13902; ICPB XV101; XV 101	ATCC 13902; XV 101		ICPB XV101	mismatch	
NCPPB 185						match	
NCPPB 186						match	
NCPPB 187						match	
NCPPB 195						match	
NCPPB 196						match	
NCPPB 200						match	
NCPPB 205						match	
NCPPB 206	This isolate is also in the collections; ICMP 326, LMG 8284, CFBP 7162	CFBP 7162; ICMP 326; LMG 8284	CFBP 7162; ICMP 326; LMG 8284			match	
NCPPB 208	This isolate was isolated by G. Orian PC5	PC 5	PC 5			match	
NCPPB 210	This isolate was isolated by M.K. Patel					match	
NCPPB 211						match	
NCPPB 212						match	
NCPPB 220	The source of this isolate was ex C. Elliott					match	
NCPPB 226						match	
NCPPB 230						match	
NCPPB 232						match	
NCPPB 240	This isolate was isolated by W.J. Dowson The source of this isolate was .					match	
NCPPB 241	The source of this isolate was ex W.J. Dowson					match	
NCPPB 243						match	
NCPPB 273	The source of this isolate was ex A.C. Brown B67	B 67	B 67			match	Includes one-letter local strain code(s).
NCPPB 279	This isolate was isolated by P.O. Wiehe					match	
NCPPB 290	The donor reference is 38/2					needs_llm_review	Script identifier is not a supported prefix+number code in the free text.
NCPPB 293	This isolate was isolated by R.A. Lelliott					match	
NCPPB 301						match	
NCPPB 302	The donor reference is XP 8 The source of this isolate was .	XP 8	XP 8			match	
NCPPB 305						match	
NCPPB 315	The donor reference is XS52/5	XS 52/5	XS 52/5			match	Script also includes unsupported identifier(s).
NCPPB 347	This isolate is also in the collections; ICMP 7, LMG 535 This isolate was isolated by G.B. Wallace	ICMP 7; LMG 535	ICMP 7; LMG 535			match	
NCPPB 348						match	
NCPPB 362						match	
NCPPB 381	The donor reference is ZK4 This isolate is also in the collections; ATCC 19315, LMG 826, ICMP 239, CFBP 6165 The source of this isolate was ex W.A.F. Hagborg	ATCC 19315; CFBP 6165; ICMP 239; LMG 826; ZK 4	ATCC 19315; CFBP 6165; ICMP 239; LMG 826; ZK 4			match	
NCPPB 400	This isolate was isolated by E. Hellmers 69	HELLMERS 69			HELLMERS 69	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 403	This isolate was isolated by D.W. Dye Ql					match	
NCPPB 404	This isolate was isolated by D.W. Dye Q2	Q 2	Q 2			match	Includes one-letter local strain code(s).
NCPPB 405	This isolate was isolated by D.W. Dye R1	R 1	R 1			match	Includes one-letter local strain code(s).
NCPPB 406	The donor reference is R This isolate was isolated by D.W. Dye R2	R 2	R 2			match	Includes one-letter local strain code(s).
NCPPB 407	This isolate was isolated by D.W. Dye R3	R 3	R 3			match	Includes one-letter local strain code(s).
NCPPB 408	This isolate was isolated by D.W. Dye R4	R 4	R 4			match	Includes one-letter local strain code(s).
NCPPB 409	This isolate is also in the collections; ICMP 24, LMG 682, CFBP 2525 This isolate was isolated by D.W. Dye R5	CFBP 2525; ICMP 24; LMG 682; R 5	CFBP 2525; ICMP 24; LMG 682; R 5			match	Includes one-letter local strain code(s).
NCPPB 410	This isolate was isolated by D.W. Dye R6	R 6	R 6			match	Includes one-letter local strain code(s).
NCPPB 411	The donor reference is S3 This isolate is also in the collections; ICMP 35, CFBP 2528, LMG 747, ATCC 49083	ATCC 49083; CFBP 2528; ICMP 35; LMG 747; S 3	ATCC 49083; CFBP 2528; ICMP 35; LMG 747; S 3			match	Includes one-letter local strain code(s).
NCPPB 412	This isolate was isolated by D.W. Dye S6	S 6	S 6			match	Includes one-letter local strain code(s).
NCPPB 414	This isolate was isolated by D.W. Dye S10	S 10	S 10			match	Includes one-letter local strain code(s).
NCPPB 415	This isolate was isolated by D.W. Dye S12	S 12	S 12			match	Includes one-letter local strain code(s).
