ncppb_number	other_references	matched_text	normalized_identifier	prefix	suffix	rule_name	confidence	include_for_search	biosample_query	context
NCPPB 45	This isolate was isolated by W.J. Dowson					no_identifier_found	none	no		
NCPPB 101	This isolate is also in the collections; ICMP 204, LMG 673, DSM 18958	ICMP 204	ICMP 204	ICMP	204	known_collection_prefix	high	yes	ICMP[All Fields] AND 204[All Fields]	This isolate is also in the collections; ICMP 204, LMG 673, DSM 18958
NCPPB 101	This isolate is also in the collections; ICMP 204, LMG 673, DSM 18958	LMG 673	LMG 673	LMG	673	known_collection_prefix	high	yes	LMG[All Fields] AND 673[All Fields]	This isolate is also in the collections; ICMP 204, LMG 673, DSM 18958
NCPPB 101	This isolate is also in the collections; ICMP 204, LMG 673, DSM 18958	DSM 18958	DSM 18958	DSM	18958	known_collection_prefix	high	yes	DSM[All Fields] AND 18958[All Fields]	This isolate is also in the collections; ICMP 204, LMG 673, DSM 18958
NCPPB 109						no_identifier_found	none	no		
NCPPB 113						no_identifier_found	none	no		
NCPPB 151						no_identifier_found	none	no		
NCPPB 174						no_identifier_found	none	no		
NCPPB 181						no_identifier_found	none	no		
NCPPB 182	This isolate is also in the collections; ATCC 13901, ICMP 305, LMG 896 The source of this isolate was ex M.T. Cook	ATCC 13901	ATCC 13901	ATCC	13901	known_collection_prefix	high	yes	ATCC[All Fields] AND 13901[All Fields]	This isolate is also in the collections; ATCC 13901, ICMP 305, LMG 896 The source of this isolate was ex M.T. Cook
NCPPB 182	This isolate is also in the collections; ATCC 13901, ICMP 305, LMG 896 The source of this isolate was ex M.T. Cook	ICMP 305	ICMP 305	ICMP	305	known_collection_prefix	high	yes	ICMP[All Fields] AND 305[All Fields]	This isolate is also in the collections; ATCC 13901, ICMP 305, LMG 896 The source of this isolate was ex M.T. Cook
