ncppb_number	biosample_uid	biosample_accession	biosample_title	organism	taxid	matched_identifier	matched_identifier_type	sra_sample_accessions	sra_uids	sra_experiment_accessions	run_accessions	srr_accessions	sra_library_strategies	bioproject_uids	bioproject_accessions	bioproject_titles	biocollection_terms	biocollection_prefixes	biocollection_uids	biocollection_summaries	link_evidence	status	error
NCPPB 45	36346970	SAMN36346970	Genome sequencing of Xcc WHRI 6379 (NCPPB 45)	Xanthomonas campestris pv. campestris	340	NCPPB 45	ncppb_number	SRS18206855	28363862	SRX20931011	SRR25183331	SRR25183331	WGS	988133	PRJNA988133	Genome sequencing of Xanthomonas campestris pv. campestris from WHRI collection					sra_sample_accessions=SRS18206855 | run_accessions=SRR25183331 | bioproject_accessions=PRJNA988133	ok	
NCPPB 101	22555467	SAMN22555467	Microbe sample from Xanthomonas cassavae CFBP 4642	Xanthomonas cassavae CFBP 4642	1219375	NCPPB 101	ncppb_number	SRS15743719	25233290	SRX18248641	SRR22272561	SRR22272561	WGS	774146	PRJNA774146	Genome sequencing of xanthomonads from the NCPPB	NCPPB:101	NCPPB	3711	3711: 3711; National Collection of Plant Pathogenic Bacteria; NCPPB; United Kingdom	sra_sample_accessions=SRS15743719 | run_accessions=SRR22272561 | bioproject_accessions=PRJNA774146 | biocollection_terms=NCPPB:101	ok	
NCPPB 113	42178446	SAMN42178446	Genome sequencing of Xanthomonas campestris pv. ricini NCPPB 113	Xanthomonas axonopodis pv. ricini	473415	NCPPB 113	ncppb_number	SRS21849309	34497659; 33497411	SRX25515903; SRX25158714	SRR30041332; SRR29654663	SRR30041332; SRR29654663	WGS	1129907	PRJNA1129907	Genome sequencing of Xanthomonas axonopodis pv. ricini (Yoshi & Takimoto 1928) Vauterin et al. 1995	NCPPB:113	NCPPB	3711	3711: 3711; National Collection of Plant Pathogenic Bacteria; NCPPB; United Kingdom	sra_sample_accessions=SRS21849309 | run_accessions=SRR30041332; SRR29654663 | bioproject_accessions=PRJNA1129907 | biocollection_terms=NCPPB:113	ok	
NCPPB 151	56511362	SAMN56511362	Genome sequencing of Xanthomonas NCPPB 151	Xanthomonas campestris pv. papavericola	487881	NCPPB 151	ncppb_number	SRS28401809	43613092; 43419122	SRX32659731; SRX32509492	SRR37789880; SRR37629063	SRR37789880; SRR37629063	WGS	1437458	PRJNA1437458	Genome sequencing of phylogenetically important Xanthomonas strains	NCPPB:151	NCPPB	3711	3711: 3711; National Collection of Plant Pathogenic Bacteria; NCPPB; United Kingdom	sra_sample_accessions=SRS28401809 | run_accessions=SRR37789880; SRR37629063 | bioproject_accessions=PRJNA1437458 | biocollection_terms=NCPPB:151	ok	
NCPPB 206	991256	SAMN00991256	Xvv NCPPB206	Xanthomonas vasicola pv. vasculorum NCPPB 206	1094181	NCPPB 206	ncppb_number	SRS331876	182195	SRX146341	SRR494500	SRR494500	WGS		PRJNA73853						sra_sample_accessions=SRS331876 | run_accessions=SRR494500 | bioproject_accessions=PRJNA73853	ok	
NCPPB 206	36357966	SAMN36357966	NCPPB 206	Xanthomonas vasicola	56459	NCPPB 206	ncppb_number	SRS18217069	28374530	SRX20941253	SRR25194059	SRR25194059	WGS	992549	PRJNA992549	Re-sequencing of X. vasicola strains at Fera					sra_sample_accessions=SRS18217069 | run_accessions=SRR25194059 | bioproject_accessions=PRJNA992549	ok	
NCPPB 211	13783128	SAMN13783128	Microbe sample from Xanthomonas citri pv. citri	Xanthomonas citri pv. citri	611301	NCPPB 211	ncppb_number	SRS6252264	10264613	SRX7846585	SRR11234665	SRR11234665	WGS	599566	PRJNA599566	Xanthomonas citri pv. citri Genome sequencing and assembly; Xanthomonas citri pv. citri					sra_sample_accessions=SRS6252264 | run_accessions=SRR11234665 | bioproject_accessions=PRJNA599566	ok	
NCPPB 220	3262509	SAMN03262509	Microbe sample from Xanthomonas phaseoli pv. phaseoli	Xanthomonas phaseoli pv. phaseoli	317013	NCPPB 220	ncppb_number	SRS954511	1525438	SRX1050306	SRR2052885	SRR2052885	WGS		PRJNA270010		NCPPB:220	NCPPB	3711	3711: 3711; National Collection of Plant Pathogenic Bacteria; NCPPB; United Kingdom	sra_sample_accessions=SRS954511 | run_accessions=SRR2052885 | bioproject_accessions=PRJNA270010 | biocollection_terms=NCPPB:220	ok	
NCPPB 226	13783184	SAMN13783184	Microbe sample from Xanthomonas citri pv. citri	Xanthomonas citri pv. citri	611301	NCPPB 226	ncppb_number	SRS6252265	10264614	SRX7846586	SRR11234664	SRR11234664	WGS	599566	PRJNA599566	Xanthomonas citri pv. citri Genome sequencing and assembly; Xanthomonas citri pv. citri					sra_sample_accessions=SRS6252265 | run_accessions=SRR11234664 | bioproject_accessions=PRJNA599566	ok	
NCPPB 230	40354569	SAMN40354569	Microbe sample from Xanthomonas sp. WHRI 8391	Xanthomonas sp. WHRI 8391	3161573	NCPPB 230	ncppb_number	SRS20715802	34786931; 32195552	SRX25754297; SRX23890764	SRR30293564; SRR28281421	SRR30293564; SRR28281421	WGS	991976	PRJNA991976	Genome sequencing of miscellaneous Xanthomonas from WHRI collection					sra_sample_accessions=SRS20715802 | run_accessions=SRR30293564; SRR28281421 | bioproject_accessions=PRJNA991976	ok	
