ncppb_number	current_name	name_as_received	other_references	other_collection_numbers	identifier_candidates	current_search_identifiers	high_confidence_identifiers	manual_only_identifiers	has_confirmed_biosample	accepted_biosample_count	accepted_biosample_accessions	accepted_biosample_organisms	accepted_biosample_titles	matched_identifiers	matched_identifier_types	review_candidate_count	non_xanthomonas_review_rows	no_hit_rows	conflict_rows	conflicting_accessions	taxon_only_rows	taxon_only_accessions	rescue_candidate_count	rescue_candidate_accessions	accepted_needs_review_count	accepted_needs_review_accessions	top_reject_reasons	search_result_review_status	review_priority	review_note
NCPPB 45	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas campestris (Pammel 1895) Dowson 1939	This isolate was isolated by W.J. Dowson						yes	1	SAMN36346970	Xanthomonas campestris pv. campestris	Genome sequencing of Xcc WHRI 6379 (NCPPB 45)	NCPPB 45	ncppb_number	2	1	0	1	SAMEA4072397	0		1	SAMEA4072397	0		conflicting_ncppb_number:3709:1; non_xanthomonas_organism:1	manual_review_required	P2_conflicting_identifier_review	Rejected/review candidates include conflicting NCPPB numbers.
NCPPB 101	Xanthomonas cassavae (ex Wiehe & Dowson 1953) Vauterin et al. 1995	Xanthomonas cassavae	This isolate is also in the collections; ICMP 204, LMG 673, DSM 18958	ICMP 204; LMG 673; DSM 18958	ICMP 204; LMG 673; DSM 18958	ICMP 204; LMG 673; DSM 18958	ICMP 204; LMG 673; DSM 18958		yes	1	SAMN22555467	Xanthomonas cassavae CFBP 4642	Microbe sample from Xanthomonas cassavae CFBP 4642	NCPPB 101	ncppb_number	4	2	2	0		0		0		0		non_xanthomonas_organism:2; query_returned_no_biosample_records:2	confirmed_biosample_match	confirmed_current_algorithmic_match	At least one accepted BioSample match and no current high-priority review flag.
NCPPB 109	Xanthomonas axonopodis pv. begoniae (Takimoto 1934) Vauterin et al. 1995	Xanthomonas begoniae Takimoto 1934							no	0						1	0	1	0		0		0		0		query_returned_no_biosample_records:1	no_confirmed_match_yet	no_confirmed_biosample_match	No accepted BioSample match in the current local-evidence filter output.
NCPPB 113	Xanthomonas axonopodis pv. ricini (Yoshi & Takimoto 1928) Vauterin et al. 1995	X. ricinicola.							yes	1	SAMN42178446	Xanthomonas axonopodis pv. ricini	Genome sequencing of Xanthomonas campestris pv. ricini NCPPB 113	NCPPB 113	ncppb_number	0	0	0	0		0		0		0			confirmed_biosample_match	confirmed_current_algorithmic_match	At least one accepted BioSample match and no current high-priority review flag.
NCPPB 151	Xanthomonas campestris pv. papavericola (Bryan and McWhorter 1930) Dye 1978								yes	1	SAMN56511362	Xanthomonas campestris pv. papavericola	Genome sequencing of Xanthomonas NCPPB 151	NCPPB 151	ncppb_number	1	1	0	0		0		0		0		non_xanthomonas_organism:1	confirmed_biosample_match	confirmed_current_algorithmic_match	At least one accepted BioSample match and no current high-priority review flag.
NCPPB 174	Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995	Xanthomonas vasculorum (Cobb 1893) Dowson 1939							no	0						1	0	1	0		0		0		0		query_returned_no_biosample_records:1	no_confirmed_match_yet	no_confirmed_biosample_match	No accepted BioSample match in the current local-evidence filter output.
NCPPB 181	Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995	Xanthomonas vasculorum (Cobb 1893) Dowson 1939							no	0						1	1	0	0		0		0		0		non_xanthomonas_organism:1	no_confirmed_match_yet	no_confirmed_biosample_match	No accepted BioSample match in the current local-evidence filter output.
NCPPB 182	Xanthomonas sp. (Cobb 1893) Vauterin et al. 1995	Xanthomonas vasculorum (Cobb 1893) Dowson 1939	This isolate is also in the collections; ATCC 13901, ICMP 305, LMG 896 The source of this isolate was ex M.T. Cook	ATCC 13901; ICMP 305; LMG 896	ATCC 13901; ICMP 305; LMG 896	ATCC 13901; ICMP 305; LMG 896	ATCC 13901; ICMP 305; LMG 896		no	0						5	4	1	0		0		0		0		non_xanthomonas_organism:4; query_returned_no_biosample_records:1	no_confirmed_match_yet	no_confirmed_biosample_match	No accepted BioSample match in the current local-evidence filter output.
NCPPB 184	Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995	Xanthomonas vasculorum (Cobb 1893) Dowson 1939	This isolate is also in the collections; ATCC 13902, ICPB XV101	ATCC 13902	ATCC 13902; ICPB XV101; XV 101	ATCC 13902; ICPB XV101; XV 101	ATCC 13902; ICPB XV101		no	0						5	4	1	0		0		0		0		non_xanthomonas_organism:4; query_returned_no_biosample_records:1	no_confirmed_match_yet	no_confirmed_biosample_match	No accepted BioSample match in the current local-evidence filter output.
NCPPB 185	Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995	Xanthomonas vasculorum (Cobb 1893) Dowson 1939							no	0						1	1	0	0		0		0		0		non_xanthomonas_organism:1	no_confirmed_match_yet	no_confirmed_biosample_match	No accepted BioSample match in the current local-evidence filter output.
