ncppb_number	current_name	has_confirmed_biosample	current_review_status	current_review_priority	assistant_audit_decision	recommended_has_status	decision_confidence	accepted_biosample_accessions	accepted_to_keep	accepted_to_curator_check	secondary_review_accessions	conflict_rows	taxon_only_rows	rescue_candidate_count	manual_review_focus	assistant_note
NCPPB 45	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	yes	manual_review_required	P2_conflicting_identifier_review	keep_confirmed_match_review_side_hits	confirmed_biosample_match	medium	SAMN36346970	SAMN36346970		SAMEA4072397	1	0	1	side_hit_review_only	Existing accepted BioSample is not itself flagged; conflicting/taxon-only/rescue accessions are side candidates from broad retrieval and should not overturn the current has-call.
NCPPB 211	Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov.	yes	manual_review_required	P2_conflicting_identifier_review	keep_confirmed_match_review_side_hits	confirmed_biosample_match	medium	SAMN13783128	SAMN13783128		SAMN42161509	1	0	1	side_hit_review_only	Existing accepted BioSample is not itself flagged; conflicting/taxon-only/rescue accessions are side candidates from broad retrieval and should not overturn the current has-call.
NCPPB 212	Xanthomonas citri pv. mangiferaeindicae (Patel et al. 1948) Constantin et al. 2016 comb. nov.	no	manual_review_required	P2_conflicting_identifier_review	no_confirmed_match_reject_conflicting_candidates	no_confirmed_match_yet	high				SAMN42161511; SAMN42161510	2	0	2	conflicting_rejected_candidates	Only conflicting candidates are present; these point to other NCPPB numbers and should not be counted as this strain.
NCPPB 410	Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov.	no	manual_review_required	P2_conflicting_identifier_review	no_confirmed_match_reject_conflicting_candidates	no_confirmed_match_yet	high				SAMEA6962652	1	0	1	conflicting_rejected_candidates	Only conflicting candidates are present; these point to other NCPPB numbers and should not be counted as this strain.
NCPPB 424	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	no	manual_review_required	P2_conflicting_identifier_review	no_confirmed_match_reject_conflicting_candidates	no_confirmed_match_yet	high				SAMEA4722874	1	0	1	conflicting_rejected_candidates	Only conflicting candidates are present; these point to other NCPPB numbers and should not be counted as this strain.
NCPPB 479	Xanthomonas axonopodis pv. melhusii (Patel et al. 1952) Vauterin et al. 1995	no	manual_review_required	P2_conflicting_identifier_review	no_confirmed_match_reject_conflicting_candidates	no_confirmed_match_yet	high				SAMN42161500	1	0	1	conflicting_rejected_candidates	Only conflicting candidates are present; these point to other NCPPB numbers and should not be counted as this strain.
NCPPB 535	Xanthomonas axonopodis pv. ricini (Yoshi & Takimoto 1928) Vauterin et al. 1995	yes	manual_review_required	P2_conflicting_identifier_review	keep_confirmed_match_review_side_hits	confirmed_biosample_match	medium	SAMN42178440	SAMN42178440		SAMN17385947	1	0	1	side_hit_review_only	Existing accepted BioSample is not itself flagged; conflicting/taxon-only/rescue accessions are side candidates from broad retrieval and should not overturn the current has-call.
NCPPB 579	Xanthomonas euvesicatoria pv. lawsoniae (Patel et al. 1951) Harrison et al. 2023	yes	manual_review_required	P2_conflicting_identifier_review	keep_confirmed_match_review_side_hits	confirmed_biosample_match	medium	SAMN19988991	SAMN19988991		SAMEA6962652	1	0	1	side_hit_review_only	Existing accepted BioSample is not itself flagged; conflicting/taxon-only/rescue accessions are side candidates from broad retrieval and should not overturn the current has-call.
NCPPB 646	Xanthomonas axonopodis pv. khayae (Sabet 1959) Vauterin et al. 1995	yes	manual_review_required	P1_conflicting_accepted_match	curator_check_accepted_conflict	curator_review_required_before_counting	high	SAMN42284537; SAMN03175008	SAMN42284537	SAMN03175008		0	0	0	accepted_biosample_conflict	At least one currently accepted BioSample is flagged by raw audit; do not count it as final confirmed until curator review.
NCPPB 702	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	yes	manual_review_required	P2_conflicting_identifier_review	keep_confirmed_match_review_side_hits	confirmed_biosample_match	medium	SAMN36357969; SAMN00002876	SAMN36357969; SAMN00002876		SAMD00537715; SAMD00537713	2	0	2	side_hit_review_only	Existing accepted BioSample is not itself flagged; conflicting/taxon-only/rescue accessions are side candidates from broad retrieval and should not overturn the current has-call.
