attribute_key	attribute_category	rows	unique_strains	unique_accessions	prior_accepted_rows	non_accepted_rows	non_target_rows	target_rows	clear_noise_rows	supports_review_rows	possible_rescue_rows	accepted_rate	non_target_rate	example_ncppb_number	example_accession	example_value
collection_date	collection_date	18662	606	16325	512	18150	18057	605	17936	216	0	0.0274	0.9676	NCPPB 45	SAMN36346970	1941
geo_loc_name	geography	16881	602	14558	512	16369	16276	605	16153	218	0	0.0303	0.9642	NCPPB 45	SAMN36346970	United Kingdom
isolation_source	environment_or_source	14739	481	13006	115	14624	14597	142	14492	134	0	0.0078	0.9904	NCPPB 211	SAMN13783128	Citrus leaf
sample name	sample_or_submitter_id	14189	379	12366	67	14122	14102	87	14095	28	0	0.0047	0.9939	NCPPB 45	SAMEA4072397	3709
insdc center name	submission_metadata	14125	377	12303	67	14058	14038	87	14031	28	0	0.0047	0.9938	NCPPB 45	SAMEA4072397	Center for Biotechnology, Bielefeld University
ena-checklist	submission_metadata	14112	374	12291	65	14047	14027	85	14020	28	0	0.0046	0.9940	NCPPB 45	SAMEA4072397	ERC000020
submitter id	sample_or_submitter_id	14032	375	12211	65	13967	13947	85	13940	28	0	0.0046	0.9939	NCPPB 45	SAMEA4072397	3709
insdc status	submission_metadata	13375	369	11583	59	13316	13296	79	13289	28	0	0.0044	0.9941	NCPPB 45	SAMEA4072397	public
geographic location (country and/or sea)	geography	12603	365	10950	51	12552	12533	70	12530	22	0	0.0040	0.9944	NCPPB 45	SAMEA4072397	Norway
lat_lon	other_attribute	11878	400	10090	41	11837	11816	62	11791	46	0	0.0035	0.9948	NCPPB 347	SAMN17385947	missing
scientific_name	organism_or_taxonomy	11417	345	9697	23	11394	11391	26	11386	8	0	0.0020	0.9977	NCPPB 232	SAMEA6962647	Xanthomonas hortorum pv. vitians
collection date	collection_date	11045	366	9402	51	10994	10975	70	10955	39	0	0.0046	0.9937	NCPPB 45	SAMEA4072397	2011
ena first public	submission_metadata	10151	337	8493	40	10111	10093	58	10091	21	0	0.0039	0.9943	NCPPB 45	SAMEA4072397	2016-12-15
geographic location (latitude)	geography	8257	278	7537	9	8248	8245	12	8242	6	0	0.0011	0.9985	NCPPB 45	SAMEA4072397	59.55
geographic location (longitude)	geography	8257	278	7537	9	8248	8245	12	8242	6	0	0.0011	0.9985	NCPPB 45	SAMEA4072397	10.45
isolate	strain_or_isolate	8083	405	6705	31	8052	8041	42	8008	44	0	0.0038	0.9948	NCPPB 45	SAMEA4072397	NCPPB 3709
project name	other_attribute	7955	272	7261	9	7946	7943	12	7940	6	0	0.0011	0.9985	NCPPB 45	SAMEA4072397	3709
