keyword_match_class	raw_audit_decision	audit_reason	prior_reject_reason	organism_class	rows	unique_strains	unique_accessions	prior_accepted_rows	non_target_rows	target_rows	conflict_rows	taxon_only_rows	example_ncppb_number	example_accession	example_title
query_terms_present_separately	clear_noise	non_target_organism_without_local_identifier	non_xanthomonas_organism	non_target_organism	30458	486	26654	0	30458	0	0	0	NCPPB 2005	SAMN14931887	Genome of Curtobacterium flaccumfaciens LMG 3645
no_hit	query_no_hit	query_returned_no_biosample_records	query_returned_no_biosample_records	no_hit	1242	739	0	0	0	0	0	0			
local_or_donor_identifier_match	clear_noise	weak_identifier_in_non_target_or_missing_organism	non_xanthomonas_organism	non_target_organism	1134	197	1089	0	1134	0	0	0	NCPPB 208	SAMN50044587	feces
suffix_only	clear_noise	non_target_organism_without_local_identifier	non_xanthomonas_organism	non_target_organism	72	11	61	0	72	0	0	0	NCPPB 405	SAMEA121960486	Sample 4
query_terms_present_separately	supports_review	target_taxon_query_terms_without_exact_identifier	no_exact_strain_identifier_match	target_organism	69	7	69	0	0	69	0	69	NCPPB 1925	SAMN28167367	Pathogen: environmental/food/other sample from Xanthomonas sontii
equivalent_collection_identifier_match	supports_review	strong_identifier_with_non_target_or_missing_organism	non_xanthomonas_organism	non_target_organism	45	19	41	0	45	0	0	0	NCPPB 182	SAMN02935410	Human sample from Homo sapiens
query_terms_present_separately	supports_review	conflicting_ncppb_number:3335	non_xanthomonas_organism	non_target_organism	14	1	14	0	14	0	14	0	NCPPB 4728	SAMN42911464	Pathogen: clinical or host-associated sample from Pseudomonas savastanoi pv. savastanoi
prefix_only	clear_noise	non_target_organism_without_local_identifier	non_xanthomonas_organism	non_target_organism	9	4	8	0	9	0	0	0	NCPPB 633	SAMN15500105	Metagenome or environmental sample from viral metagenome
query_terms_present_separately	supports_review	conflicting_ncppb_number:2993	non_xanthomonas_organism	non_target_organism	8	5	2	0	8	0	8	0	NCPPB 702	SAMD00538056	Burkholderia cepacia NBRC 14074
target_ncppb_identifier_match	supports_review	strong_identifier_with_non_target_or_missing_organism	non_xanthomonas_organism	non_target_organism	8	4	4	0	8	0	0	0	NCPPB 1974	SAMD00538104	Stenotrophomonas maltophilia NBRC 14161
query_terms_present_separately	supports_review	conflicting_ncppb_number:2986	conflicting_ncppb_number:2986	target_organism	7	6	2	0	0	7	7	0	NCPPB 1472	SAMN17385948	MIGS Cultured Bacterial/Archaeal sample from Xanthomonas campestris
query_terms_present_separately	supports_review	conflicting_ncppb_number:1969	non_xanthomonas_organism	non_target_organism	6	6	1	0	6	0	6	0	NCPPB 403	SAMD00538470	Comamonas testosteroni NBRC 14951
query_terms_present_separately	supports_review	conflicting_ncppb_number:189;1891	non_xanthomonas_organism	non_target_organism	5	5	1	0	5	0	5	0	NCPPB 702	SAMD00537782	Burkholderia gladioli NBRC 13700
query_terms_present_separately	supports_review	conflicting_ncppb_number:1946	conflicting_ncppb_number:1946	target_organism	5	5	2	0	0	5	5	0	NCPPB 1472	SAMN17385960	MIGS Cultured Bacterial/Archaeal sample from Xanthomonas campestris
query_terms_present_separately	supports_review	conflicting_ncppb_number:940	conflicting_ncppb_number:940	target_organism	4	4	1	0	0	4	4	0	NCPPB 410	SAMEA6962652	Xanthomonas hortorum pv. taraxaci NCPPB 940
query_terms_present_separately	supports_review	conflicting_ncppb_number:347	conflicting_ncppb_number:347	target_organism	4	4	1	0	0	4	4	0	NCPPB 535	SAMN17385947	MIGS Cultured Bacterial/Archaeal sample from Xanthomonas campestris
query_terms_present_separately	supports_review	conflicting_ncppb_number:3709	conflicting_ncppb_number:3709	target_organism	3	3	1	0	0	3	3	0	NCPPB 45	SAMEA4072397	Draft genome sequence of Xanthomonas translucens pv. graminis NCPPB 3709
query_terms_present_separately	supports_review	conflicting_ncppb_number:2192	non_xanthomonas_organism	non_target_organism	3	3	2	0	3	0	3	0	NCPPB 702	SAMD00540511	Pseudomonas tolaasii NBRC 103163
query_terms_present_separately	supports_review	conflicting_ncppb_number:1027	non_xanthomonas_organism	non_target_organism	3	3	1	0	3	0	3	0	NCPPB 702	SAMD00540313	Herbaspirillum rubrisubalbicans NBRC 102523
query_terms_present_separately	supports_review	conflicting_ncppb_number:3774	non_xanthomonas_organism	non_target_organism	3	3	1	0	3	0	3	0	NCPPB 702	SAMD00540240	Erwinia persicina NBRC 102418
query_terms_present_separately	supports_review	conflicting_ncppb_number:1974	non_xanthomonas_organism	non_target_organism	3	3	1	0	3	0	3	0	NCPPB 702	SAMD00538104	Stenotrophomonas maltophilia NBRC 14161
query_terms_present_separately	supports_review	conflicting_ncppb_number:1891	non_xanthomonas_organism	non_target_organism	3	3	1	0	3	0	3	0	NCPPB 793	SAMN05004743	Pathogen: environmental/food/other sample from Burkholderia gladioli
query_terms_present_separately	supports_review	conflicting_ncppb_number:935	conflicting_ncppb_number:935	target_organism	3	2	2	0	0	3	3	0	NCPPB 1159	SAMEA7984667	Xanthomonas arboricola pv. corylina CFBP 1159
query_terms_present_separately	supports_review	conflicting_ncppb_number:2937	non_xanthomonas_organism	non_target_organism	2	2	1	0	2	0	2	0	NCPPB 151	SAMN27356605	MIGS Cultured Bacterial/Archaeal sample from Ralstonia solanacearum
query_terms_present_separately	supports_review	conflicting_ncppb_number:2797	non_xanthomonas_organism	non_target_organism	2	2	1	0	2	0	2	0	NCPPB 184	SAMN27356636	MIGS Cultured Bacterial/Archaeal sample from Ralstonia solanacearum
query_terms_present_separately	supports_review	conflicting_ncppb_number:2796	non_xanthomonas_organism	non_target_organism	2	2	1	0	2	0	2	0	NCPPB 185	SAMN27356637	MIGS Cultured Bacterial/Archaeal sample from Ralstonia solanacearum
query_terms_present_separately	supports_review	conflicting_ncppb_number:2864	conflicting_ncppb_number:2864	target_organism	2	2	1	0	0	2	2	0	NCPPB 211	SAMN42161509	Genome sequencing of Xanthomonas sp. NCPPB 2864
query_terms_present_separately	supports_review	conflicting_ncppb_number:2866	conflicting_ncppb_number:2866	target_organism	2	2	1	0	0	2	2	0	NCPPB 212	SAMN42161511	Genome sequencing of Xanthomonas sp. NCPPB 2866
query_terms_present_separately	supports_review	conflicting_ncppb_number:2865	conflicting_ncppb_number:2865	target_organism	2	2	1	0	0	2	2	0	NCPPB 212	SAMN42161510	Genome sequencing of Xanthomonas sp. NCPPB 2865
query_terms_present_separately	supports_review	conflicting_ncppb_number:4675	conflicting_ncppb_number:4675	target_organism	2	2	1	0	0	2	2	0	NCPPB 424	SAMEA4722874	Xanthomonas euroxanthea CPBF 424
query_terms_present_separately	supports_review	conflicting_ncppb_number:3063	non_xanthomonas_organism	non_target_organism	2	2	1	0	2	0	2	0	NCPPB 702	SAMD00540413	Pseudomonas flavescens NBRC 103044
query_terms_present_separately	supports_review	conflicting_ncppb_number:3067	non_xanthomonas_organism	non_target_organism	2	2	1	0	2	0	2	0	NCPPB 702	SAMD00536969	Rhodococcus fascians NBRC 12155
query_terms_present_separately	supports_review	conflicting_ncppb_number:1228	non_xanthomonas_organism	non_target_organism	2	2	1	0	2	0	2	0	NCPPB 702	SAMD00538756	Paenarthrobacter ilicis NBRC 15514
query_terms_present_separately	supports_review	conflicting_ncppb_number:683	non_xanthomonas_organism	non_target_organism	2	2	1	0	2	0	2	0	NCPPB 702	SAMD00537148	Erwinia amylovora NBRC 12687
query_terms_present_separately	supports_review	conflicting_ncppb_number:993	conflicting_ncppb_number:993	target_organism	2	2	1	0	0	2	2	0	NCPPB 1939	SAMN42278571	Genome sequencing of Xanthomonas axonopodis pv. lespedezae (Ayers et al. 1939) Vauterin et al. 1995 NCPPB 993
query_terms_present_separately	supports_review	conflicting_ncppb_number:1943	conflicting_ncppb_number:1943	target_organism	2	2	1	0	0	2	2	0	NCPPB 1942	SAMN05258070	Microbe sample from Xanthomonas cerealis pv. cerealis
query_terms_present_separately	supports_review	conflicting_ncppb_number:2659	non_xanthomonas_organism	non_target_organism	2	2	1	0	2	0	2	0	NCPPB 1974	SAMN05006657	Agrobacterium rhizogenes NCPPB2659
query_terms_present_separately	supports_review	conflicting_ncppb_number:2832	conflicting_ncppb_number:2832	target_organism	2	2	1	0	0	2	2	0	NCPPB 1974	SAMN42278575	Genome sequencing of Xanthomonas citri pv. aracearum (Berniac 1974) Constantin et al. 2016 comb. nov. NCPPB 2832
query_terms_present_separately	supports_review	conflicting_ncppb_number:2985	conflicting_ncppb_number:2985	target_organism	2	2	1	0	0	2	2	0	NCPPB 1974	SAMEA6962649	Xanthomonas hortorum pv. pelargonii CFBP 2533
query_terms_present_separately	supports_review	conflicting_ncppb_number:3146	non_xanthomonas_organism	non_target_organism	2	1	2	0	2	0	2	0	NCPPB 1981	SAMN07173581	Pseudomonas gingeri NCPPB 3146 = LMG 5327 a WLR positive strain
query_terms_present_separately	supports_review	conflicting_ncppb_number:3615	conflicting_ncppb_number:3615	target_organism	2	1	2	0	0	2	2	0	NCPPB 2016	SAMEA2827229	Xanthomonas citri pv. citri strain NCPPB 3615
query_terms_present_separately	supports_review	conflicting_ncppb_number:3590	non_xanthomonas_organism	non_target_organism	2	2	1	0	2	0	2	0	NCPPB 3573	SAMD00541042	Burkholderia plantarii NBRC 104884
query_terms_present_separately	supports_review	conflicting_ncppb_number:1584	non_xanthomonas_organism	non_target_organism	1	1	1	0	1	0	1	0	NCPPB 45	SAMN27356514	MIGS Cultured Bacterial/Archaeal sample from Ralstonia solanacearum
query_terms_present_separately	supports_review	conflicting_ncppb_number:3793	non_xanthomonas_organism	non_target_organism	1	1	1	0	1	0	1	0	NCPPB 101	SAMN27356557	MIGS Cultured Bacterial/Archaeal sample from Ralstonia solanacearum
query_terms_present_separately	supports_review	conflicting_ncppb_number:1323	non_xanthomonas_organism	non_target_organism	1	1	1	0	1	0	1	0	NCPPB 181	SAMN27356633	MIGS Cultured Bacterial/Archaeal sample from Ralstonia solanacearum
query_terms_present_separately	supports_review	conflicting_ncppb_number:3217	non_xanthomonas_organism	non_target_organism	1	1	1	0	1	0	1	0	NCPPB 182	SAMN27356634	MIGS Cultured Bacterial/Archaeal sample from Ralstonia solanacearum
