prefix	rule_name	confidence	all_fields_raw_rows	prior_accepted_rows	clear_noise_rows	non_target_organism_rows	target_organism_rows	query_no_hit_rows	supports_review_rows	non_target_rate	accepted_rate	current_policy_recommendation	field_strategy_recommendation	recommendation_reason
B	source_context_single_letter_code	low	9862	2	9847	9847	2	13	1	0.9985	0.0002	fallback_only	fallback_only_text_word_and_organism	Some accepted rows exist, but noise is too high for default search.
X	source_context_single_letter_code	low	1701	0	1701	1701	0	0	0	1.0000	0.0000	disable_default	disable_default_do_not_replace_with_biosample	All Fields hits are dominated by non-target records and have no accepted productivity.
S	source_context_single_letter_code	low	1108	0	1108	1108	0	0	0	1.0000	0.0000	disable_default	disable_default_do_not_replace_with_biosample	All Fields hits are dominated by non-target records and have no accepted productivity.
NCPPB	ncppb_number	high	1097	368	3	91	442	564	164	0.0830	0.3355	keep_strict_profile	replace_all_fields_with_text_word_and_organism	NCPPB numbers are core identifiers, but All Fields returns side hits; use Text Word plus organism filter.
PATEL	person_or_local_reference_code	low	1086	4	1082	1082	4	0	0	0.9963	0.0037	fallback_only	fallback_only_text_word_and_organism	Some accepted rows exist, but noise is too high for default search.
R	source_context_single_letter_code	low	872	0	872	872	0	0	0	1.0000	0.0000	disable_default	disable_default_do_not_replace_with_biosample	All Fields hits are dominated by non-target records and have no accepted productivity.
XP	contextual_reference_code	medium	810	0	810	810	0	0	0	1.0000	0.0000	disable_default	disable_default_do_not_replace_with_biosample	All Fields hits are dominated by non-target records and have no accepted productivity.
C	source_context_single_letter_code	low	800	0	800	800	0	0	0	1.0000	0.0000	disable_default	disable_default_do_not_replace_with_biosample	All Fields hits are dominated by non-target records and have no accepted productivity.
P	source_context_single_letter_code	low	630	0	630	630	0	0	0	1.0000	0.0000	disable_default	disable_default_do_not_replace_with_biosample	All Fields hits are dominated by non-target records and have no accepted productivity.
XC	contextual_reference_code	medium	606	6	592	592	13	1	7	0.9769	0.0099	fallback_only	fallback_only_text_word_and_organism	Some accepted rows exist, but noise is too high for default search.
E	source_context_single_letter_code	low	600	0	600	600	0	0	0	1.0000	0.0000	disable_default	disable_default_do_not_replace_with_biosample	All Fields hits are dominated by non-target records and have no accepted productivity.
A	source_context_single_letter_code	low	547	0	524	524	0	23	0	0.9580	0.0000	disable_default	disable_default_do_not_replace_with_biosample	All Fields hits are dominated by non-target records and have no accepted productivity.
ENA	contextual_reference_code	medium	538	2	535	535	3	0	1	0.9944	0.0037	fallback_only	fallback_only_text_word_and_organism	Some accepted rows exist, but noise is too high for default search.
M	source_context_single_letter_code	low	449	0	449	449	0	0	0	1.0000	0.0000	disable_default	disable_default_do_not_replace_with_biosample	All Fields hits are dominated by non-target records and have no accepted productivity.
LMG	known_collection_prefix	high	445	46	312	324	47	74	13	0.7281	0.1034	keep_strict_profile	replace_all_fields_with_text_word_and_organism_then_pilot_attribute	Known collection IDs remain useful; test Attribute/Text Word under organism filter before full rerun.
ENA	uppercase_general_code	medium	415	0	415	415	0	0	0	1.0000	0.0000	disable_default	disable_default_do_not_replace_with_biosample	All Fields hits are dominated by non-target records and have no accepted productivity.
XC	uppercase_general_code	medium	415	0	415	415	0	0	0	1.0000	0.0000	disable_default	disable_default_do_not_replace_with_biosample	All Fields hits are dominated by non-target records and have no accepted productivity.
T	source_context_single_letter_code	low	400	0	400	400	0	0	0	1.0000	0.0000	disable_default	disable_default_do_not_replace_with_biosample	All Fields hits are dominated by non-target records and have no accepted productivity.
ICMP	known_collection_prefix	high	315	37	93	102	37	176	9	0.3238	0.1175	keep_default	replace_all_fields_with_text_word_and_organism_then_pilot_attribute	Known collection IDs remain useful; test Attribute/Text Word under organism filter before full rerun.
NE	contextual_reference_code	medium	306	0	306	306	0	0	0	1.0000	0.0000	disable_default	disable_default_do_not_replace_with_biosample	All Fields hits are dominated by non-target records and have no accepted productivity.
G	source_context_single_letter_code	low	300	0	300	300	0	0	0	1.0000	0.0000	disable_default	disable_default_do_not_replace_with_biosample	All Fields hits are dominated by non-target records and have no accepted productivity.
N	source_context_single_letter_code	low	300	0	300	300	0	0	0	1.0000	0.0000	disable_default	disable_default_do_not_replace_with_biosample	All Fields hits are dominated by non-target records and have no accepted productivity.
NU	contextual_reference_code	medium	300	0	300	300	0	0	0	1.0000	0.0000	disable_default	disable_default_do_not_replace_with_biosample	All Fields hits are dominated by non-target records and have no accepted productivity.
XP	uppercase_general_code	medium	300	0	300	300	0	0	0	1.0000	0.0000	disable_default	disable_default_do_not_replace_with_biosample	All Fields hits are dominated by non-target records and have no accepted productivity.
YK	contextual_reference_code	medium	300	0	300	300	0	0	0	1.0000	0.0000	disable_default	disable_default_do_not_replace_with_biosample	All Fields hits are dominated by non-target records and have no accepted productivity.
D	source_context_single_letter_code	low	281	0	281	281	0	0	0	1.0000	0.0000	disable_default	disable_default_do_not_replace_with_biosample	All Fields hits are dominated by non-target records and have no accepted productivity.
UNB	contextual_reference_code	medium	240	0	240	240	0	0	0	1.0000	0.0000	disable_default	disable_default_do_not_replace_with_biosample	All Fields hits are dominated by non-target records and have no accepted productivity.
ZZ	uppercase_general_code	medium	232	0	232	232	0	0	0	1.0000	0.0000	disable_default	disable_default_do_not_replace_with_biosample	All Fields hits are dominated by non-target records and have no accepted productivity.
ARK	person_or_local_reference_code	low	200	0	200	200	0	0	0	1.0000	0.0000	disable_default	disable_default_do_not_replace_with_biosample	All Fields hits are dominated by non-target records and have no accepted productivity.
CO	contextual_reference_code	medium	200	0	200	200	0	0	0	1.0000	0.0000	disable_default	disable_default_do_not_replace_with_biosample	All Fields hits are dominated by non-target records and have no accepted productivity.
IL	contextual_reference_code	medium	200	0	200	200	0	0	0	1.0000	0.0000	disable_default	disable_default_do_not_replace_with_biosample	All Fields hits are dominated by non-target records and have no accepted productivity.
PC	uppercase_general_code	medium	200	0	200	200	0	0	0	1.0000	0.0000	disable_default	disable_default_do_not_replace_with_biosample	All Fields hits are dominated by non-target records and have no accepted productivity.
W	source_context_single_letter_code	low	200	0	200	200	0	0	0	1.0000	0.0000	disable_default	disable_default_do_not_replace_with_biosample	All Fields hits are dominated by non-target records and have no accepted productivity.
XT	contextual_reference_code	medium	200	0	200	200	0	0	0	1.0000	0.0000	disable_default	disable_default_do_not_replace_with_biosample	All Fields hits are dominated by non-target records and have no accepted productivity.
Y	source_context_single_letter_code	low	200	0	200	200	0	0	0	1.0000	0.0000	disable_default	disable_default_do_not_replace_with_biosample	All Fields hits are dominated by non-target records and have no accepted productivity.
XH	uppercase_general_code	medium	143	0	143	143	0	0	0	1.0000	0.0000	disable_default	disable_default_do_not_replace_with_biosample	All Fields hits are dominated by non-target records and have no accepted productivity.
ATCC	known_collection_prefix	high	139	18	49	74	18	47	25	0.5324	0.1295	keep_strict_profile	replace_all_fields_with_text_word_and_organism_then_pilot_attribute	Known collection IDs remain useful; test Attribute/Text Word under organism filter before full rerun.
XL	contextual_reference_code	medium	118	0	118	118	0	0	0	1.0000	0.0000	disable_default	disable_default_do_not_replace_with_biosample	All Fields hits are dominated by non-target records and have no accepted productivity.
CFBP	known_collection_prefix	high	115	53	2	9	56	50	10	0.0783	0.4609	keep_default	replace_all_fields_with_text_word_and_organism_then_pilot_attribute	Known collection IDs remain useful; test Attribute/Text Word under organism filter before full rerun.
Z	source_context_single_letter_code	low	115	0	115	115	0	0	0	1.0000	0.0000	disable_default	disable_default_do_not_replace_with_biosample	All Fields hits are dominated by non-target records and have no accepted productivity.
PD	known_collection_prefix	high	107	0	103	105	0	2	2	0.9813	0.0000	disable_default	disable_default_do_not_replace_with_biosample	All Fields hits are dominated by non-target records and have no accepted productivity.
PROTECT	contextual_reference_code	medium	105	0	100	100	0	5	0	0.9524	0.0000	disable_default	disable_default_do_not_replace_with_biosample	All Fields hits are dominated by non-target records and have no accepted productivity.
OS	contextual_reference_code	medium	104	0	104	104	0	0	0	1.0000	0.0000	disable_default	disable_default_do_not_replace_with_biosample	All Fields hits are dominated by non-target records and have no accepted productivity.
VIG	general_code_candidate	low	103	0	103	103	0	0	0	1.0000	0.0000	disable_default	disable_default_do_not_replace_with_biosample	All Fields hits are dominated by non-target records and have no accepted productivity.
XH	contextual_reference_code	medium	103	0	103	103	0	0	0	1.0000	0.0000	disable_default	disable_default_do_not_replace_with_biosample	All Fields hits are dominated by non-target records and have no accepted productivity.
LOPEZ	person_or_local_reference_code	low	101	0	100	100	0	1	0	0.9901	0.0000	disable_default	disable_default_do_not_replace_with_biosample	All Fields hits are dominated by non-target records and have no accepted productivity.
ALF	contextual_reference_code	medium	100	0	100	100	0	0	0	1.0000	0.0000	disable_default	disable_default_do_not_replace_with_biosample	All Fields hits are dominated by non-target records and have no accepted productivity.
BIRD	person_or_local_reference_code	low	100	0	100	100	0	0	0	1.0000	0.0000	disable_default	disable_default_do_not_replace_with_biosample	All Fields hits are dominated by non-target records and have no accepted productivity.
BM	contextual_reference_code	medium	100	0	100	100	0	0	0	1.0000	0.0000	disable_default	disable_default_do_not_replace_with_biosample	All Fields hits are dominated by non-target records and have no accepted productivity.
BOX	contextual_reference_code	medium	100	0	100	100	0	0	0	1.0000	0.0000	disable_default	disable_default_do_not_replace_with_biosample	All Fields hits are dominated by non-target records and have no accepted productivity.
BT	contextual_reference_code	medium	100	0	100	100	0	0	0	1.0000	0.0000	disable_default	disable_default_do_not_replace_with_biosample	All Fields hits are dominated by non-target records and have no accepted productivity.
CARDONA	general_code_candidate	low	100	0	100	100	0	0	0	1.0000	0.0000	disable_default	disable_default_do_not_replace_with_biosample	All Fields hits are dominated by non-target records and have no accepted productivity.
CAS	general_code_candidate	low	100	0	100	100	0	0	0	1.0000	0.0000	disable_default	disable_default_do_not_replace_with_biosample	All Fields hits are dominated by non-target records and have no accepted productivity.
COR	contextual_reference_code	medium	100	0	100	100	0	0	0	1.0000	0.0000	disable_default	disable_default_do_not_replace_with_biosample	All Fields hits are dominated by non-target records and have no accepted productivity.
COR	general_code_candidate	low	100	0	100	100	0	0	0	1.0000	0.0000	disable_default	disable_default_do_not_replace_with_biosample	All Fields hits are dominated by non-target records and have no accepted productivity.
DOL	general_code_candidate	low	100	0	100	100	0	0	0	1.0000	0.0000	disable_default	disable_default_do_not_replace_with_biosample	All Fields hits are dominated by non-target records and have no accepted productivity.
F	source_context_single_letter_code	low	100	0	100	100	0	0	0	1.0000	0.0000	disable_default	disable_default_do_not_replace_with_biosample	All Fields hits are dominated by non-target records and have no accepted productivity.
FC	contextual_reference_code	medium	100	0	100	100	0	0	0	1.0000	0.0000	disable_default	disable_default_do_not_replace_with_biosample	All Fields hits are dominated by non-target records and have no accepted productivity.
GUAR	contextual_reference_code	medium	100	0	100	100	0	0	0	1.0000	0.0000	disable_default	disable_default_do_not_replace_with_biosample	All Fields hits are dominated by non-target records and have no accepted productivity.
HEL	contextual_reference_code	medium	100	0	100	100	0	0	0	1.0000	0.0000	disable_default	disable_default_do_not_replace_with_biosample	All Fields hits are dominated by non-target records and have no accepted productivity.
KH	general_code_candidate	low	100	0	100	100	0	0	0	1.0000	0.0000	disable_default	disable_default_do_not_replace_with_biosample	All Fields hits are dominated by non-target records and have no accepted productivity.
KY	contextual_reference_code	medium	100	0	100	100	0	0	0	1.0000	0.0000	disable_default	disable_default_do_not_replace_with_biosample	All Fields hits are dominated by non-target records and have no accepted productivity.
L	source_context_single_letter_code	low	100	0	100	100	0	0	0	1.0000	0.0000	disable_default	disable_default_do_not_replace_with_biosample	All Fields hits are dominated by non-target records and have no accepted productivity.
MA	contextual_reference_code	medium	100	0	100	100	0	0	0	1.0000	0.0000	disable_default	disable_default_do_not_replace_with_biosample	All Fields hits are dominated by non-target records and have no accepted productivity.
MED	general_code_candidate	low	100	0	100	100	0	0	0	1.0000	0.0000	disable_default	disable_default_do_not_replace_with_biosample	All Fields hits are dominated by non-target records and have no accepted productivity.
NC	uppercase_general_code	medium	100	0	100	100	0	0	0	1.0000	0.0000	disable_default	disable_default_do_not_replace_with_biosample	All Fields hits are dominated by non-target records and have no accepted productivity.
NO	source_context_number_label	low	100	0	100	100	0	0	0	1.0000	0.0000	disable_default	disable_default_do_not_replace_with_biosample	All Fields hits are dominated by non-target records and have no accepted productivity.
NSG	contextual_reference_code	medium	100	0	100	100	0	0	0	1.0000	0.0000	disable_default	disable_default_do_not_replace_with_biosample	All Fields hits are dominated by non-target records and have no accepted productivity.
PM	uppercase_general_code	medium	100	0	100	100	0	0	0	1.0000	0.0000	disable_default	disable_default_do_not_replace_with_biosample	All Fields hits are dominated by non-target records and have no accepted productivity.
PT	contextual_reference_code	medium	100	0	100	100	0	0	0	1.0000	0.0000	disable_default	disable_default_do_not_replace_with_biosample	All Fields hits are dominated by non-target records and have no accepted productivity.
Q	source_context_single_letter_code	low	100	0	100	100	0	0	0	1.0000	0.0000	disable_default	disable_default_do_not_replace_with_biosample	All Fields hits are dominated by non-target records and have no accepted productivity.
SF	contextual_reference_code	medium	100	0	100	100	0	0	0	1.0000	0.0000	disable_default	disable_default_do_not_replace_with_biosample	All Fields hits are dominated by non-target records and have no accepted productivity.
SOY	general_code_candidate	low	100	0	100	100	0	0	0	1.0000	0.0000	disable_default	disable_default_do_not_replace_with_biosample	All Fields hits are dominated by non-target records and have no accepted productivity.
ST	general_code_candidate	low	100	0	100	100	0	0	0	1.0000	0.0000	disable_default	disable_default_do_not_replace_with_biosample	All Fields hits are dominated by non-target records and have no accepted productivity.
TC	contextual_reference_code	medium	100	0	100	100	0	0	0	1.0000	0.0000	disable_default	disable_default_do_not_replace_with_biosample	All Fields hits are dominated by non-target records and have no accepted productivity.
TYPE	contextual_reference_code	medium	100	0	100	100	0	0	0	1.0000	0.0000	disable_default	disable_default_do_not_replace_with_biosample	All Fields hits are dominated by non-target records and have no accepted productivity.
