ncppb_number	biosample_accession	ncbi_uid	discovery_tracks	discovery_tiers	organism	taxid	matched_identifier	matched_identifier_type	identifier_strength	matched_field	evidence_class	identity_match_status	taxonomy_status	identity_review_required	taxonomy_review_required	manual_review_required	decision	review_reason	conflicting_ncppb_numbers	source_url
NCPPB 2930	SAMN41764005	41764005	ncppb_number	expected_genus:Sphingomonas; exact_full_identifier	Sphingomonas sp. NCPPB 2930	3162788	NCPPB 2930	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	different_lineage	no	yes	yes	accept	different_lineage		https://www.ncbi.nlm.nih.gov/biosample/SAMN41764005
NCPPB 1974	SAMD00538104	31049491	ncppb_number; other_references	expected_genus:Stenotrophomonas; exact_full_identifier; expected_genus:Stenotrophomonas	Stenotrophomonas maltophilia	40324	NCPPB 1974	ncppb_number	primary	identity_aliases	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	no	no	no	accept			https://www.ncbi.nlm.nih.gov/biosample/SAMD00538104
NCPPB 1058	SAMN03142815	3142815	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas citri pv. fuscans	366649	NCPPB 1058	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	no	no	no	accept			https://www.ncbi.nlm.nih.gov/biosample/SAMN03142815
NCPPB 3660	SAMN03142811	3142811	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas citri pv. fuscans	366649	NCPPB 3660	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	no	no	no	accept			https://www.ncbi.nlm.nih.gov/biosample/SAMN03142811
NCPPB 1402	SAMN03142810	3142810	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas citri pv. fuscans	366649	NCPPB 1402	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	no	no	no	accept			https://www.ncbi.nlm.nih.gov/biosample/SAMN03142810
NCPPB 1056	SAMN03142809	3142809	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas citri pv. fuscans	366649	NCPPB 1056	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	no	no	no	accept			https://www.ncbi.nlm.nih.gov/biosample/SAMN03142809
NCPPB 2665	SAMN03142403	3142403	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas citri pv. fuscans	366649	NCPPB 2665	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	no	no	no	accept			https://www.ncbi.nlm.nih.gov/biosample/SAMN03142403
NCPPB 1654	SAMN03142402	3142402	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas citri pv. fuscans	366649	NCPPB 1654	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	no	no	no	accept			https://www.ncbi.nlm.nih.gov/biosample/SAMN03142402
NCPPB 1433	SAMN03142399	3142399	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas citri pv. fuscans	366649	NCPPB 1433	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	no	no	no	accept			https://www.ncbi.nlm.nih.gov/biosample/SAMN03142399
NCPPB 381	SAMN03142398	3142398	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas citri pv. fuscans	366649	NCPPB 381	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	no	no	no	accept			https://www.ncbi.nlm.nih.gov/biosample/SAMN03142398
