ncppb_number	biosample_uid	biosample_accession	linked_database	linked_uid	linked_accession	title	assembly_level	extra_json	source_url	status	error
NCPPB 2930	41764005	SAMN41764005	bioproject	224116	PRJNA224116	Refseq Prokaryotic Genome Annotation Project		"{""keyword"":"""",""organism_label"":"""",""organism_name"":"""",""organism_strain"":"""",""project_acc"":""PRJNA224116"",""project_data_type"":""RefSeq Other"",""project_description"":""NCBI has developed an automatic annotation pipeline that combines ab initio gene prediction algorithms with homology based methods. See more details here. Historically RefSeq prokaryotic genomes retained on author submitted annotation. Annotation from different submitters varies in quality resulting in the inconsistent annotation even in closely related genomes. The NCBI Prokaryotic Annotation Pipeline can produce consistent high quality automatic annotation."",""project_id"":224116,""project_method"":""NCBI Prokaryotic Annotation Pipeline"",""project_methodtype"":""Other"",""project_name"":"""",""project_objectives_list"":[{""project_objectives"":"""",""project_objectivestype"":""Annotation""}],""project_subtype"":"""",""project_target_capture"":""Whole"",""project_target_material"":""Genome"",""project_target_scope"":""Multispecies"",""project_title"":""Refseq Prokaryotic Genome Annotation Project"",""project_type"":""Primary submission"",""registration_date"":""2013/10/23 00:00"",""relevance_agricultural"":"""",""relevance_environmental"":"""",""relevance_evolution"":"""",""relevance_industrial"":"""",""relevance_medical"":"""",""relevance_model"":"""",""relevance_other"":"""",""sequencing_status"":""Complete"",""sort_by_datatype"":967854,""sort_by_organism"":1056158,""sort_by_projecttype"":971774,""submitter_organization"":""NCBI"",""submitter_organization_list"":[""NCBI""],""supergroup"":"""",""taxid"":"""",""uid"":""224116""}"	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA224116	ok	
NCPPB 2930	41764005	SAMN41764005	bioproject	608517	PRJNA608517	The Lactobacillus genus, a use case for Bactopia.		"{""keyword"":"""",""organism_label"":"""",""organism_name"":"""",""organism_strain"":"""",""project_acc"":""PRJNA608517"",""project_data_type"":"""",""project_description"":""This project includes all 1,664 publicly available SRA samples marked as a part of the Lactobacillus genus with Illumina technology sequencing that were used in our demonstration of Bactopia. (2020-02-24)"",""project_id"":608517,""project_method"":"""",""project_methodtype"":"""",""project_name"":""Lactobacillus"",""project_objectives_list"":[],""project_subtype"":""Other"",""project_target_capture"":"""",""project_target_material"":"""",""project_target_scope"":"""",""project_title"":""The Lactobacillus genus, a use case for Bactopia."",""project_type"":""Umbrella project"",""registration_date"":""2020/02/24 00:00"",""relevance_agricultural"":"""",""relevance_environmental"":"""",""relevance_evolution"":"""",""relevance_industrial"":"""",""relevance_medical"":"""",""relevance_model"":"""",""relevance_other"":""Use case of a the bacterial genomics workflow, Bactopia."",""sequencing_status"":""Unknown"",""sort_by_datatype"":619322,""sort_by_organism"":988166,""sort_by_projecttype"":22306,""submitter_organization"":""Emory University"",""submitter_organization_list"":[""Emory University""],""supergroup"":"""",""taxid"":"""",""uid"":""608517""}"	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA608517	ok	
NCPPB 2930	41764005	SAMN41764005	bioproject	1085284	PRJNA1085284	Genome sequencing of miscellaneous plant-associated bacteria		"{""keyword"":"""",""organism_label"":"""",""organism_name"":"""",""organism_strain"":"""",""project_acc"":""PRJNA1085284"",""project_data_type"":""Genome sequencing"",""project_description"":""Genome sequencing of bacterial isolates received as Xanthomonas species but revealed by sequencing to be other taxa."",""project_id"":1085284,""project_method"":"""",""project_methodtype"":""Sequencing"",""project_name"":"""",""project_objectives_list"":[{""project_objectives"":"""",""project_objectivestype"":""Raw Sequence Reads""}],""project_subtype"":"""",""project_target_capture"":""Whole"",""project_target_material"":""Genome"",""project_target_scope"":""Multispecies"",""project_title"":""Genome sequencing of miscellaneous plant-associated bacteria"",""project_type"":""Primary submission"",""registration_date"":""2024/03/07 00:00"",""relevance_agricultural"":""yes"",""relevance_environmental"":"""",""relevance_evolution"":"""",""relevance_industrial"":"""",""relevance_medical"":"""",""relevance_model"":"""",""relevance_other"":"""",""sequencing_status"":""Complete"",""sort_by_datatype"":248996,""sort_by_organism"":851408,""sort_by_projecttype"":275727,""submitter_organization"":""University of Exeter"",""submitter_organization_list"":[""University of Exeter""],""supergroup"":"""",""taxid"":"""",""uid"":""1085284""}"	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1085284	ok	
NCPPB 2930	41764005	SAMN41764005	sra	33206781	SRR29357488	"<Summary><Title>Genome sequencing of NCPPB 2930 (listed as Xanthomonas vasicola pv. holcicola)</Title><Platform instrument_model=""Illumina NovaSeq 6000"">ILLUMINA</Platform><Statistics total_runs=""1"" total_spots=""1402193"" total_bases=""413310515"" total_size=""107595589"" load_done=""true"" cluster_name=""public""/></Summary><Submitter acc=""SRA1894754"" center_name=""University of Exeter"" contact_name=""David John Studholme"" lab_name=""Biosciences""/><Experiment acc=""SRX24872388"" ver=""1"" status=""public"" name=""Genome sequencing of NCPPB 2930 (listed as Xanthomonas vasicola pv. holcicola)""/><Study acc=""SRP494280"" name=""Genome sequencing of miscellaneous plant-associated bacteria""/><Organism taxid=""3162788"" ScientificName=""Sphingomonas sp. NCPPB 2930""/><Sample acc=""SRS21581860"" name=""""/><Instrument ILLUMINA=""Illumina NovaSeq 6000""/><Library_descriptor><LIBRARY_NAME>NCPPB_2930</LIBRARY_NAME><LIBRARY_STRATEGY>WGS</LIBRARY_STRATEGY><LIBRARY_SOURCE>GENOMIC</LIBRARY_SOURCE><LIBRARY_SELECTION>size fractionation</LIBRARY_SELECTION><LIBRARY_LAYOUT><PAIRED/></LIBRARY_LAYOUT></Library_descriptor><Bioproject>PRJNA1085284</Bioproject><Biosample>SAMN41764005</Biosample>"		"{""createdate"":""2024/06/13"",""expxml"":""  <Summary><Title>Genome sequencing of NCPPB 2930 (listed as Xanthomonas vasicola pv. holcicola)</Title><Platform instrument_model=\""Illumina NovaSeq 6000\"">ILLUMINA</Platform><Statistics total_runs=\""1\"" total_spots=\""1402193\"" total_bases=\""413310515\"" total_size=\""107595589\"" load_done=\""true\"" cluster_name=\""public\""/></Summary><Submitter acc=\""SRA1894754\"" center_name=\""University of Exeter\"" contact_name=\""David John Studholme\"" lab_name=\""Biosciences\""/><Experiment acc=\""SRX24872388\"" ver=\""1\"" status=\""public\"" name=\""Genome sequencing of NCPPB 2930 (listed as Xanthomonas vasicola pv. holcicola)\""/><Study acc=\""SRP494280\"" name=\""Genome sequencing of miscellaneous plant-associated bacteria\""/><Organism taxid=\""3162788\"" ScientificName=\""Sphingomonas sp. NCPPB 2930\""/><Sample acc=\""SRS21581860\"" name=\""\""/><Instrument ILLUMINA=\""Illumina NovaSeq 6000\""/><Library_descriptor><LIBRARY_NAME>NCPPB_2930</LIBRARY_NAME><LIBRARY_STRATEGY>WGS</LIBRARY_STRATEGY><LIBRARY_SOURCE>GENOMIC</LIBRARY_SOURCE><LIBRARY_SELECTION>size fractionation</LIBRARY_SELECTION><LIBRARY_LAYOUT><PAIRED/></LIBRARY_LAYOUT></Library_descriptor><Bioproject>PRJNA1085284</Bioproject><Biosample>SAMN41764005</Biosample>  "",""extlinks"":"""",""runs"":""                                <Run acc=\""SRR29357488\"" total_spots=\""1402193\"" total_bases=\""413310515\"" load_done=\""true\"" is_public=\""true\"" cluster_name=\""public\"" static_data_available=\""true\""/>                                "",""uid"":""33206781"",""updatedate"":""2024/06/11""}"	https://www.ncbi.nlm.nih.gov/sra/SRR29357488	ok	
NCPPB 2930	41764005	SAMN41764005	assembly	24239731	GCF_042867205.1	ASM4286720v1	Scaffold	"{""annotrpturl"":"""",""anomalouslist"":[],""asmreleasedate_genbank"":""2024/10/09 00:00"",""asmreleasedate_refseq"":""2024/10/12 00:00"",""asmupdatedate"":""2024/10/13 00:00"",""assemblyaccession"":""GCF_042867205.1"",""assemblydescription"":"""",""assemblyname"":""ASM4286720v1"",""assemblystatus"":""Scaffold"",""assemblystatussort"":6,""assemblytype"":""haploid"",""biosampleaccn"":""SAMN41764005"",""biosampleid"":""41764005"",""biosource"":{""infraspecieslist"":[{""sub_type"":""culture-collection"",""sub_value"":""NCPPB:2930""},{""sub_type"":""strain"",""sub_value"":""NCPPB 2930""}],""isolate"":"""",""sex"":""""},""busco"":{""buscolineage"":"""",""buscover"":"""",""complete"":"""",""duplicated"":"""",""fragmented"":"""",""missing"":"""",""refseqannotationrelease"":"""",""singlecopy"":"""",""totalcount"":""""},""chainid"":""42867205"",""contign50"":211056,""coverage"":""97"",""ensemblname"":"""",""exclfromrefseq"":[],""fromtype"":"""",""ftppath_assembly_rpt"":""ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/042/867/205/GCF_042867205.1_ASM4286720v1/GCF_042867205.1_ASM4286720v1_assembly_report.txt"",""ftppath_genbank"":""ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/042/867/205/GCA_042867205.1_ASM4286720v1"",""ftppath_refseq"":""ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/042/867/205/GCF_042867205.1_ASM4286720v1"",""ftppath_regions_rpt"":"""",""ftppath_stats_rpt"":""ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/042/867/205/GCF_042867205.1_ASM4286720v1/GCF_042867205.1_ASM4286720v1_assembly_stats.txt"",""gb_bioprojects"":[{""bioprojectaccn"":""PRJNA1085284"",""bioprojectid"":1085284}],""gb_projects"":[],""gbuid"":""63087458"",""lastmajorreleaseaccession"":""GCF_042867205.1"",""lastupdatedate"":""2024/10/13 00:00"",""latestaccession"":"""",""meta"":"" <Stats> <Stat category=\""alt_loci_count\"" sequence_tag=\""all\"">0</Stat> <Stat category=\""chromosome_count\"" sequence_tag=\""all\"">0</Stat> <Stat category=\""contig_count\"" sequence_tag=\""all\"">81</Stat> <Stat category=\""contig_l50\"" sequence_tag=\""all\"">6</Stat> <Stat category=\""contig_n50\"" sequence_tag=\""all\"">211056</Stat> <Stat category=\""non_chromosome_replicon_count\"" sequence_tag=\""all\"">0</Stat> <Stat category=\""replicon_count\"" sequence_tag=\""all\"">0</Stat> <Stat category=\""scaffold_count\"" sequence_tag=\""all\"">73</Stat> <Stat category=\""scaffold_count\"" sequence_tag=\""placed\"">0</Stat> <Stat category=\""scaffold_count\"" sequence_tag=\""unlocalized\"">0</Stat> <Stat category=\""scaffold_count\"" sequence_tag=\""unplaced\"">73</Stat> <Stat category=\""scaffold_l50\"" sequence_tag=\""all\"">6</Stat> <Stat category=\""scaffold_n50\"" sequence_tag=\""all\"">211056</Stat> <Stat category=\""total_length\"" sequence_tag=\""all\"">4068979</Stat> <Stat category=\""ungapped_length\"" sequence_tag=\""all\"">4068641</Stat> </Stats> <FtpSites>   <FtpPath type=\""Assembly_rpt\"">ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/042/867/205/GCF_042867205.1_ASM4286720v1/GCF_042867205.1_ASM4286720v1_assembly_report.txt</FtpPath>   <FtpPath type=\""GenBank\"">ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/042/867/205/GCA_042867205.1_ASM4286720v1</FtpPath>   <FtpPath type=\""RefSeq\"">ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/042/867/205/GCF_042867205.1_ASM4286720v1</FtpPath>   <FtpPath type=\""Stats_rpt\"">ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/042/867/205/GCF_042867205.1_ASM4286720v1/GCF_042867205.1_ASM4286720v1_assembly_stats.txt</FtpPath> </FtpSites> <assembly-level>8</assembly-level> <assembly-status>Scaffold</assembly-status> <representative-status>na</representative-status> <submitter-organization>University of Exeter</submitter-organization> <taxonomy-check-status>OK</taxonomy-check-status>    "",""organism"":""Sphingomonas sp. NCPPB 2930 (a-proteobacteria)"",""partialgenomerepresentation"":""false"",""primary"":""63404758"",""propertylist"":[""full-genome-representation"",""genbank_has_annotation"",""has_annotation"",""latest"",""latest_genbank"",""latest_refseq"",""refseq_has_annotation"",""wgs""],""refseq_category"":""na"",""releaselevel"":""Major"",""releasetype"":""Major"",""rs_bioprojects"":[{""bioprojectaccn"":""PRJNA224116"",""bioprojectid"":224116}],""rs_projects"":[],""rsuid"":""63404768"",""scaffoldn50"":211056,""seqreleasedate"":""2024/10/09 00:00"",""sortorder"":""5C6XFFFF9997889430428672059898"",""speciesname"":""Sphingomonas sp. NCPPB 2930"",""speciestaxid"":""3162788"",""submissiondate"":""2024/10/09 00:00"",""submitterorganization"":""University of Exeter"",""synonym"":{""genbank"":""GCA_042867205.1"",""refseq"":""GCF_042867205.1"",""similarity"":""identical""},""taxid"":""3162788"",""ucscname"":"""",""uid"":""24239731"",""wgs"":""JBHZQU01""}"	https://www.ncbi.nlm.nih.gov/assembly/GCF_042867205.1	ok	
NCPPB 1058	3142815	SAMN03142815	sra	1523985	SRR2052426	"<Summary><Title>Xff NCPPB 1058</Title><Platform instrument_model=""Illumina MiSeq"">ILLUMINA</Platform><Statistics total_runs=""1"" total_spots=""2224748"" total_bases=""969799493"" total_size=""574275544"" load_done=""true"" cluster_name=""public""/></Summary><Submitter acc=""SRA271544"" center_name=""University of Exeter"" contact_name=""David Studholme"" lab_name=""""/><Experiment acc=""SRX1049857"" ver=""3"" status=""public"" name=""Xff NCPPB 1058""/><Study acc=""SRP059142"" name=""Xanthomonas citri pv. fuscans strain:NCPPB 1058 Genome sequencing and assembly""/><Organism taxid=""366649"" ScientificName=""Xanthomonas citri pv. fuscans""/><Sample acc=""SRS954084"" name=""""/><Instrument ILLUMINA=""Illumina MiSeq""/><Library_descriptor><LIBRARY_NAME>NCPPB1058</LIBRARY_NAME><LIBRARY_STRATEGY>WGS</LIBRARY_STRATEGY><LIBRARY_SOURCE>GENOMIC</LIBRARY_SOURCE><LIBRARY_SELECTION>unspecified</LIBRARY_SELECTION><LIBRARY_LAYOUT><PAIRED NOMINAL_LENGTH=""500"" NOMINAL_SDEV=""0.0E0""/></LIBRARY_LAYOUT></Library_descriptor><Bioproject>PRJNA264815</Bioproject><Biosample>SAMN03142815</Biosample>"		"{""createdate"":""2015/06/09"",""expxml"":""  <Summary><Title>Xff NCPPB 1058</Title><Platform instrument_model=\""Illumina MiSeq\"">ILLUMINA</Platform><Statistics total_runs=\""1\"" total_spots=\""2224748\"" total_bases=\""969799493\"" total_size=\""574275544\"" load_done=\""true\"" cluster_name=\""public\""/></Summary><Submitter acc=\""SRA271544\"" center_name=\""University of Exeter\"" contact_name=\""David Studholme\"" lab_name=\""\""/><Experiment acc=\""SRX1049857\"" ver=\""3\"" status=\""public\"" name=\""Xff NCPPB 1058\""/><Study acc=\""SRP059142\"" name=\""Xanthomonas citri pv. fuscans strain:NCPPB 1058 Genome sequencing and assembly\""/><Organism taxid=\""366649\"" ScientificName=\""Xanthomonas citri pv. fuscans\""/><Sample acc=\""SRS954084\"" name=\""\""/><Instrument ILLUMINA=\""Illumina MiSeq\""/><Library_descriptor><LIBRARY_NAME>NCPPB1058</LIBRARY_NAME><LIBRARY_STRATEGY>WGS</LIBRARY_STRATEGY><LIBRARY_SOURCE>GENOMIC</LIBRARY_SOURCE><LIBRARY_SELECTION>unspecified</LIBRARY_SELECTION><LIBRARY_LAYOUT><PAIRED NOMINAL_LENGTH=\""500\"" NOMINAL_SDEV=\""0.0E0\""/></LIBRARY_LAYOUT></Library_descriptor><Bioproject>PRJNA264815</Bioproject><Biosample>SAMN03142815</Biosample>  "",""extlinks"":"""",""runs"":""                                <Run acc=\""SRR2052426\"" total_spots=\""2224748\"" total_bases=\""969799493\"" load_done=\""true\"" is_public=\""true\"" cluster_name=\""public\"" static_data_available=\""true\""/>                                "",""uid"":""1523985"",""updatedate"":""2015/10/28""}"	https://www.ncbi.nlm.nih.gov/sra/SRR2052426	ok	
NCPPB 1058	3142815	SAMN03142815	assembly	337461	GCF_000786935.1	NCPPB1058v2	Contig	"{""annotrpturl"":"""",""anomalouslist"":[],""asmreleasedate_genbank"":""2015/05/07 00:00"",""asmreleasedate_refseq"":""2015/05/11 00:00"",""asmupdatedate"":""2015/06/09 00:00"",""assemblyaccession"":""GCF_000786935.1"",""assemblydescription"":"""",""assemblyname"":""NCPPB1058v2"",""assemblystatus"":""Contig"",""assemblystatussort"":6,""assemblytype"":""haploid"",""biosampleaccn"":""SAMN03142815"",""biosampleid"":""3142815"",""biosource"":{""infraspecieslist"":[{""sub_type"":""culture-collection"",""sub_value"":""NCPPB:1058""},{""sub_type"":""pathovar"",""sub_value"":""fuscans""},{""sub_type"":""strain"",""sub_value"":""NCPPB 1058""}],""isolate"":"""",""sex"":""""},""busco"":{""buscolineage"":"""",""buscover"":"""",""complete"":"""",""duplicated"":"""",""fragmented"":"""",""missing"":"""",""refseqannotationrelease"":"""",""singlecopy"":"""",""totalcount"":""""},""chainid"":""786935"",""contign50"":71334,""coverage"":""150"",""ensemblname"":"""",""exclfromrefseq"":[],""fromtype"":"""",""ftppath_assembly_rpt"":""ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/786/935/GCF_000786935.1_NCPPB1058v2/GCF_000786935.1_NCPPB1058v2_assembly_report.txt"",""ftppath_genbank"":""ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/786/935/GCA_000786935.2_NCPPB1058v2"",""ftppath_refseq"":""ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/786/935/GCF_000786935.1_NCPPB1058v2"",""ftppath_regions_rpt"":"""",""ftppath_stats_rpt"":""ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/786/935/GCF_000786935.1_NCPPB1058v2/GCF_000786935.1_NCPPB1058v2_assembly_stats.txt"",""gb_bioprojects"":[{""bioprojectaccn"":""PRJNA264815"",""bioprojectid"":264815}],""gb_projects"":[],""gbuid"":""1768268"",""lastmajorreleaseaccession"":""GCF_000786935.1"",""lastupdatedate"":""2015/06/09 00:00"",""latestaccession"":"""",""meta"":"" <Stats> <Stat category=\""alt_loci_count\"" sequence_tag=\""all\"">0</Stat> <Stat category=\""chromosome_count\"" sequence_tag=\""all\"">0</Stat> <Stat category=\""contig_count\"" sequence_tag=\""all\"">168</Stat> <Stat category=\""contig_l50\"" sequence_tag=\""all\"">25</Stat> <Stat category=\""contig_n50\"" sequence_tag=\""all\"">71334</Stat> <Stat category=\""non_chromosome_replicon_count\"" sequence_tag=\""all\"">0</Stat> <Stat category=\""replicon_count\"" sequence_tag=\""all\"">0</Stat> <Stat category=\""scaffold_count\"" sequence_tag=\""all\"">168</Stat> <Stat category=\""scaffold_count\"" sequence_tag=\""placed\"">0</Stat> <Stat category=\""scaffold_count\"" sequence_tag=\""unlocalized\"">0</Stat> <Stat category=\""scaffold_count\"" sequence_tag=\""unplaced\"">168</Stat> <Stat category=\""scaffold_l50\"" sequence_tag=\""all\"">25</Stat> <Stat category=\""scaffold_n50\"" sequence_tag=\""all\"">71334</Stat> <Stat category=\""total_length\"" sequence_tag=\""all\"">5180142</Stat> <Stat category=\""ungapped_length\"" sequence_tag=\""all\"">5180142</Stat> </Stats> <FtpSites>   <FtpPath type=\""Assembly_rpt\"">ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/786/935/GCF_000786935.1_NCPPB1058v2/GCF_000786935.1_NCPPB1058v2_assembly_report.txt</FtpPath>   <FtpPath type=\""GenBank\"">ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/786/935/GCA_000786935.2_NCPPB1058v2</FtpPath>   <FtpPath type=\""RefSeq\"">ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/786/935/GCF_000786935.1_NCPPB1058v2</FtpPath>   <FtpPath type=\""Stats_rpt\"">ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/786/935/GCF_000786935.1_NCPPB1058v2/GCF_000786935.1_NCPPB1058v2_assembly_stats.txt</FtpPath> </FtpSites> <assembly-level>1</assembly-level> <assembly-status>Contig</assembly-status> <representative-status>na</representative-status> <submitter-organization>University of Exeter</submitter-organization> <taxonomy-check-status>OK</taxonomy-check-status>    "",""organism"":""Xanthomonas citri pv. fuscans (g-proteobacteria)"",""partialgenomerepresentation"":""false"",""primary"":""1771178"",""propertylist"":[""full-genome-representation"",""genbank_has_annotation"",""has_annotation"",""latest"",""latest_genbank"",""latest_refseq"",""refseq_has_annotation"",""wgs""],""refseq_category"":""na"",""releaselevel"":""Major"",""releasetype"":""Major"",""rs_bioprojects"":[{""bioprojectaccn"":""PRJNA224116"",""bioprojectid"":224116}],""rs_projects"":[],""rsuid"":""1771188"",""scaffoldn50"":71334,""seqreleasedate"":""2015/05/07 00:00"",""sortorder"":""5C6X73B19999286650007869359798"",""speciesname"":""Xanthomonas citri"",""speciestaxid"":""346"",""submissiondate"":""2015/05/07 00:00"",""submitterorganization"":""University of Exeter"",""synonym"":{""genbank"":""GCA_000786935.2"",""refseq"":""GCF_000786935.1"",""similarity"":""identical""},""taxid"":""366649"",""ucscname"":"""",""uid"":""337461"",""wgs"":""JSEY02""}"	https://www.ncbi.nlm.nih.gov/assembly/GCF_000786935.1	ok	
NCPPB 1058	3142815	SAMN03142815	bioproject	224116	PRJNA224116	Refseq Prokaryotic Genome Annotation Project		"{""keyword"":"""",""organism_label"":"""",""organism_name"":"""",""organism_strain"":"""",""project_acc"":""PRJNA224116"",""project_data_type"":""RefSeq Other"",""project_description"":""NCBI has developed an automatic annotation pipeline that combines ab initio gene prediction algorithms with homology based methods. See more details here. Historically RefSeq prokaryotic genomes retained on author submitted annotation. Annotation from different submitters varies in quality resulting in the inconsistent annotation even in closely related genomes. The NCBI Prokaryotic Annotation Pipeline can produce consistent high quality automatic annotation."",""project_id"":224116,""project_method"":""NCBI Prokaryotic Annotation Pipeline"",""project_methodtype"":""Other"",""project_name"":"""",""project_objectives_list"":[{""project_objectives"":"""",""project_objectivestype"":""Annotation""}],""project_subtype"":"""",""project_target_capture"":""Whole"",""project_target_material"":""Genome"",""project_target_scope"":""Multispecies"",""project_title"":""Refseq Prokaryotic Genome Annotation Project"",""project_type"":""Primary submission"",""registration_date"":""2013/10/23 00:00"",""relevance_agricultural"":"""",""relevance_environmental"":"""",""relevance_evolution"":"""",""relevance_industrial"":"""",""relevance_medical"":"""",""relevance_model"":"""",""relevance_other"":"""",""sequencing_status"":""Complete"",""sort_by_datatype"":967854,""sort_by_organism"":1056158,""sort_by_projecttype"":971774,""submitter_organization"":""NCBI"",""submitter_organization_list"":[""NCBI""],""supergroup"":"""",""taxid"":"""",""uid"":""224116""}"	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA224116	ok	
NCPPB 1058	3142815	SAMN03142815	bioproject	264815	PRJNA264815	Xanthomonas citri pv. fuscans strain:NCPPB 1058 Genome sequencing and assembly		"{""keyword"":"""",""organism_label"":"""",""organism_name"":""Xanthomonas citri pv. fuscans"",""organism_strain"":""NCPPB 1058"",""project_acc"":""PRJNA264815"",""project_data_type"":""Genome sequencing and assembly"",""project_description"":""Genome sequencing of pathogens of common bean."",""project_id"":264815,""project_method"":"""",""project_methodtype"":""Sequencing"",""project_name"":""Xanthomonas citri pv. fuscans strain:NCPPB 1058"",""project_objectives_list"":[{""project_objectives"":"""",""project_objectivestype"":""Assembly""}],""project_subtype"":"""",""project_target_capture"":""Whole"",""project_target_material"":""Genome"",""project_target_scope"":""Monoisolate"",""project_title"":""Xanthomonas citri pv. fuscans strain:NCPPB 1058 Genome sequencing and assembly"",""project_type"":""Primary submission"",""registration_date"":""2014/11/10 00:00"",""relevance_agricultural"":""yes"",""relevance_environmental"":"""",""relevance_evolution"":"""",""relevance_industrial"":"""",""relevance_medical"":"""",""relevance_model"":"""",""relevance_other"":"""",""sequencing_status"":""Contigs"",""sort_by_datatype"":931100,""sort_by_organism"":742190,""sort_by_projecttype"":936210,""submitter_organization"":""University of Exeter"",""submitter_organization_list"":[""University of Exeter""],""supergroup"":""Bacteria"",""taxid"":366649,""uid"":""264815""}"	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA264815	ok	
NCPPB 1058	3142815	SAMN03142815	bioproject	608517	PRJNA608517	The Lactobacillus genus, a use case for Bactopia.		"{""keyword"":"""",""organism_label"":"""",""organism_name"":"""",""organism_strain"":"""",""project_acc"":""PRJNA608517"",""project_data_type"":"""",""project_description"":""This project includes all 1,664 publicly available SRA samples marked as a part of the Lactobacillus genus with Illumina technology sequencing that were used in our demonstration of Bactopia. (2020-02-24)"",""project_id"":608517,""project_method"":"""",""project_methodtype"":"""",""project_name"":""Lactobacillus"",""project_objectives_list"":[],""project_subtype"":""Other"",""project_target_capture"":"""",""project_target_material"":"""",""project_target_scope"":"""",""project_title"":""The Lactobacillus genus, a use case for Bactopia."",""project_type"":""Umbrella project"",""registration_date"":""2020/02/24 00:00"",""relevance_agricultural"":"""",""relevance_environmental"":"""",""relevance_evolution"":"""",""relevance_industrial"":"""",""relevance_medical"":"""",""relevance_model"":"""",""relevance_other"":""Use case of a the bacterial genomics workflow, Bactopia."",""sequencing_status"":""Unknown"",""sort_by_datatype"":619322,""sort_by_organism"":988166,""sort_by_projecttype"":22306,""submitter_organization"":""Emory University"",""submitter_organization_list"":[""Emory University""],""supergroup"":"""",""taxid"":"""",""uid"":""608517""}"	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA608517	ok	
