review_priority	ncppb_number	ncppb_current_name	current_accepted_biosamples	review_candidate_biosamples	candidate_organisms	matched_identifiers	matched_identifier_types	matched_fields	evidence_classes	taxonomy_statuses	review_reasons	discovery_tracks	biosample_urls	review_question	reviewer_decision	reviewer_notes
P1	NCPPB 646	Xanthomonas axonopodis pv. khayae (Sabet 1959) Vauterin et al. 1995	SAMN42284537	SAMN03175008	Xanthomonas phaseoli pv. phaseoli	NCPPB 646	ncppb_number	identifiers	structured_exact_identifier	same_genus_different_species	conflicting_ncppb_identifier	ncppb_number	https://www.ncbi.nlm.nih.gov/biosample/SAMN03175008	Does the BioSample refer to this NCPPB strain despite containing another NCPPB number?		
P1	NCPPB 1607	Xanthomonas arboricola pv. pruni (Smith 1903) Vauterin et al. 1995		SAMEA104068692	Xanthomonas fragariae	B2165	donor_reference	culture_collection	structured_exact_identifier	same_genus_different_species	conflicting_ncppb_identifier	other_references	https://www.ncbi.nlm.nih.gov/biosample/SAMEA104068692	Does the BioSample refer to this NCPPB strain despite containing another NCPPB number?		
P1	NCPPB 1646	Xanthomonas phaseoli pv. phaseoli (Smith 1897) Constantin et al. 2016 comb. nov.		SAMN03175008	Xanthomonas phaseoli pv. phaseoli	NCPPB 1646	ncppb_number	strain	structured_exact_identifier	same_name	conflicting_ncppb_identifier	ncppb_number	https://www.ncbi.nlm.nih.gov/biosample/SAMN03175008	Does the BioSample refer to this NCPPB strain despite containing another NCPPB number?		
P1	NCPPB 2217	Xylophilus ampelinus (Panagopoulos 1969) Willems et al. 1987	SAMN56511392; SAMEA5613848	SAMN56511392	Staphylococcus aureus	NCPPB 2217	ncppb_number	strain	structured_exact_identifier	different_lineage	different_lineage	ncppb_number	https://www.ncbi.nlm.nih.gov/biosample/SAMN56511392	Is the lineage difference a documented taxonomic revision or a wrong strain link?		
P1	NCPPB 2820	Xanthomonas translucens pv. translucens (Jones et al. 1917) Vauterin et al. 1995		SAMN41996496	Xanthomonas arboricola pv. corylina	5262	donor_reference	bio_material	structured_exact_identifier	same_genus_different_species	conflicting_ncppb_identifier	other_references	https://www.ncbi.nlm.nih.gov/biosample/SAMN41996496	Does the BioSample refer to this NCPPB strain despite containing another NCPPB number?		
P1	NCPPB 2930	Xanthomonas vasicola pv. holcicola (Elliott 1930) Vauterin et al. 1995	SAMN41764005	SAMN41764005	Sphingomonas sp. NCPPB 2930	NCPPB 2930	ncppb_number	strain	structured_exact_identifier	different_lineage	different_lineage	ncppb_number	https://www.ncbi.nlm.nih.gov/biosample/SAMN41764005	Is the lineage difference a documented taxonomic revision or a wrong strain link?		
P1	NCPPB 3059	Xanthomonas phaseoli pv. manihotis (Bondar 1912) Constantin et al. 2016 comb. nov.	SAMEA247356; SAMEA4156338	SAMEA247356; SAMEA4156338	Ralstonia solanacearum	NCPPB 3059	ncppb_number	strain	structured_exact_identifier	different_lineage	different_lineage	ncppb_number	https://www.ncbi.nlm.nih.gov/biosample/SAMEA247356; https://www.ncbi.nlm.nih.gov/biosample/SAMEA4156338	Is the lineage difference a documented taxonomic revision or a wrong strain link?		
P1	NCPPB 4375	Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov.		SAMN56511363	Xanthomonas axonopodis pv. nakataecorchori	1594	donor_reference	strain	structured_exact_identifier	compatible_synonym	conflicting_ncppb_identifier	other_references	https://www.ncbi.nlm.nih.gov/biosample/SAMN56511363	Does the BioSample refer to this NCPPB strain despite containing another NCPPB number?		
P2	NCPPB 230	Xanthomonas hortorum pv. carotae (Kendrick 1934) Vauterin et al. 1995	SAMN40354569	SAMN40354569	Xanthomonas sp. WHRI 8391	NCPPB 230	ncppb_number	identity_aliases	structured_exact_identifier	same_genus_different_species	same_genus_different_species	ncppb_number	https://www.ncbi.nlm.nih.gov/biosample/SAMN40354569	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 425	Xanthomonas hortorum pv. carotae (Kendrick 1934) Vauterin et al. 1995	SAMN40354566	SAMN40354566	Xanthomonas sp. WHRI 8338	NCPPB 425	ncppb_number	identity_aliases	structured_exact_identifier	same_genus_different_species	same_genus_different_species	ncppb_number	https://www.ncbi.nlm.nih.gov/biosample/SAMN40354566	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 556	Xanthomonas axonopodis Starr & Garcés 1950	SAMN56511388; SAMN03203484	SAMN56511388	Xanthomonas citri	NCPPB 556	ncppb_number	strain	structured_exact_identifier	same_genus_different_species	same_genus_different_species	ncppb_number	https://www.ncbi.nlm.nih.gov/biosample/SAMN56511388	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 557	Xanthomonas axonopodis (Smith 1897) Vauterin et al.1995	SAMN56511389; SAMN03257620	SAMN56511389	Xanthomonas citri	NCPPB 557	ncppb_number	strain	structured_exact_identifier	same_genus_different_species	same_genus_different_species	ncppb_number	https://www.ncbi.nlm.nih.gov/biosample/SAMN56511389	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 575	Xanthomonas euvesicatoria pv. clerodendri (Patel et al. 1952) Harrison et al. 2023	SAMN19988990	SAMN19988990	Xanthomonas campestris pv. clerodendri	NCPPB 575	ncppb_number	strain	structured_exact_identifier	same_genus_different_species	same_genus_different_species	ncppb_number	https://www.ncbi.nlm.nih.gov/biosample/SAMN19988990	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 579	Xanthomonas euvesicatoria pv. lawsoniae (Patel et al. 1951) Harrison et al. 2023	SAMN19988991	SAMN19988991	Xanthomonas campestris pv. lawsoniae	NCPPB 579	ncppb_number	strain	structured_exact_identifier	same_genus_different_species	same_genus_different_species	ncppb_number	https://www.ncbi.nlm.nih.gov/biosample/SAMN19988991	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 585	Xanthomonas citri pv. trichodesmae (Patel et al.1952) Harrison et al. 2023	SAMN19988994	SAMN19988994	Xanthomonas campestris pv. trichodesmae	NCPPB 585	ncppb_number	strain	structured_exact_identifier	same_genus_different_species	same_genus_different_species	ncppb_number	https://www.ncbi.nlm.nih.gov/biosample/SAMN19988994	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 586	Xanthomonas euvesicatoria pv. uppalii (Patel 1948) Harrison et al. 2023	SAMN19988992	SAMN19988992	Xanthomonas campestris pv. uppalii	NCPPB 586	ncppb_number	strain	structured_exact_identifier	same_genus_different_species	same_genus_different_species	ncppb_number	https://www.ncbi.nlm.nih.gov/biosample/SAMN19988992	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 973	Xanthomonas translucens pv. translucens (Jones et al. 1917) Vauterin et al. 1995	SAMN23026111; SAMEA2271958; SAMN43281667; SAMD00253072	SAMEA4358958	Xanthomonas translucens pv. translucens DSM 18974	DSM 18974	collection_number	title	unstructured_exact_identifier	same_name	exact_identifier_only_in_title	other_references	https://www.ncbi.nlm.nih.gov/biosample/SAMEA4358958	Is the title-only exact identifier sufficient when structured identity fields are incomplete?		
P2	NCPPB 976	Xanthomonas citri (ex Hasse 1915) Gabriel et al. 1989	SAMN09704274; SAMN11047482	SAMN09704274; SAMN11047482	Xanthomonas axonopodis pv. vitians	NCPPB 976; CFBP 2538	ncppb_number; collection_number	strain	structured_exact_identifier	same_genus_different_species	same_genus_different_species	ncppb_number; other_references	https://www.ncbi.nlm.nih.gov/biosample/SAMN09704274; https://www.ncbi.nlm.nih.gov/biosample/SAMN11047482	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 985	Xanthomonas phaseoli pv. dieffenbachiae (McCulloch & Pirone 1939) Constantin et al. 2016 comb. nov.	SAMN02903999	SAMN02903999	Xanthomonas citri	LMG 7399	collection_number	strain	structured_exact_identifier	same_genus_different_species	same_genus_different_species	other_references	https://www.ncbi.nlm.nih.gov/biosample/SAMN02903999	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 1063	Xanthomonas axonopodis pv. ricini (Yoshi & Takimoto 1928) Vauterin et al. 1995	SAMN42178441; SAMN26561900	SAMN26561900	Xanthomonas euvesicatoria	ICMP 5747	collection_number	strain	structured_exact_identifier	same_genus_different_species	same_genus_different_species	other_references	https://www.ncbi.nlm.nih.gov/biosample/SAMN26561900	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 1334	Xanthomonas euvesicatoria pv. ionidii (Padhya & Patel 1963) Harrison et al. 2023	SAMN19988970	SAMN19988970	Xanthomonas campestris pv. ionidii	NCPPB 1334	ncppb_number	strain	structured_exact_identifier	same_genus_different_species	same_genus_different_species	ncppb_number	https://www.ncbi.nlm.nih.gov/biosample/SAMN19988970	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 1683	Stenotrophomonas hibiscicola (Moniz 1963) Nguyen et al. 2024	SAMN02441648; SAMN37626383; SAMN13507659; SAMN02194609	SAMN13507659; SAMN02194609	Stenotrophomonas maltophilia	ATCC 19867	collection_number	strain	structured_exact_identifier	same_genus_different_species	same_genus_different_species	other_references	https://www.ncbi.nlm.nih.gov/biosample/SAMN13507659; https://www.ncbi.nlm.nih.gov/biosample/SAMN02194609	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 1757	Xanthomonas euvesicatoria pv. blepharidis (Srinivasan & Patel 1956) Harrison et al. 2023	SAMN19988973	SAMN19988973	Xanthomonas campestris pv. blepharidis	NCPPB 1757	ncppb_number	strain	structured_exact_identifier	same_genus_different_species	same_genus_different_species	ncppb_number	https://www.ncbi.nlm.nih.gov/biosample/SAMN19988973	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 1758	Xanthomonas euvesicatoria pv. coriandri (Srinivasan et al. 1961) Harrison et al. 2023	SAMN19988974	SAMN19988974	Xanthomonas campestris pv. coriandri	NCPPB 1758	ncppb_number	strain	structured_exact_identifier	same_genus_different_species	same_genus_different_species	ncppb_number	https://www.ncbi.nlm.nih.gov/biosample/SAMN19988974	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
