ncppb_number	clause_order	clause_type	raw_clause	raw_value	text_start	text_end	html_start	html_end	parse_status	risk_level	review_reason	source_snapshot_sha256
NCPPB 45	1	isolated_by	This isolate was isolated by W.J. Dowson	W.J. Dowson	0	40	8761	8830	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 101	1	collection_list	This isolate is also in the collections; ICMP 204, LMG 673, DSM 18958	ICMP 204, LMG 673, DSM 18958	0	69	11990	12088	parsed	low		
NCPPB 182	1	collection_list	This isolate is also in the collections; ATCC 13901, ICMP 305, LMG 896	ATCC 13901, ICMP 305, LMG 896	0	70	30260	30359	parsed	low		
NCPPB 182	2	source_of_isolate	The source of this isolate was ex M.T. Cook	ex M.T. Cook	71	114	30363	30407	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 184	1	collection_list	This isolate is also in the collections; ATCC 13902, ICPB XV101	ATCC 13902, ICPB XV101	0	63	33848	33940	parsed	low		
NCPPB 206	1	collection_list	This isolate is also in the collections; ICMP 326, LMG 8284, CFBP 7162	ICMP 326, LMG 8284, CFBP 7162	0	70	59950	60049	parsed	low		
NCPPB 208	1	isolated_by	This isolate was isolated by G. Orian PC5	G. Orian PC5	0	41	62705	62775	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 210	1	isolated_by	This isolate was isolated by M.K. Patel	M.K. Patel	0	39	66043	66111	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 220	1	source_of_isolate	The source of this isolate was ex C. Elliott	ex C. Elliott	0	44	74963	75036	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 240	1	isolated_by	This isolate was isolated by W.J. Dowson	W.J. Dowson	0	40	86743	86812	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 240	2	source_of_isolate	The source of this isolate was .	.	41	73	86816	86849	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 241	1	source_of_isolate	The source of this isolate was ex W.J. Dowson	ex W.J. Dowson	0	45	89774	89848	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 273	1	source_of_isolate	The source of this isolate was ex A.C. Brown B67	ex A.C. Brown B67	0	48	95163	95240	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 279	1	isolated_by	This isolate was isolated by P.O. Wiehe	P.O. Wiehe	0	39	97923	97991	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 290	1	donor_reference	The donor reference is 38/2	38/2	0	27	100618	100674	parsed	medium		
NCPPB 293	1	isolated_by	This isolate was isolated by R.A. Lelliott	R.A. Lelliott	0	42	104182	104253	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 302	1	donor_reference	The donor reference is XP 8	XP 8	0	27	110657	110713	parsed	medium		
NCPPB 302	2	source_of_isolate	The source of this isolate was .	.	28	60	110717	110750	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 315	1	donor_reference	The donor reference is XS52/5	XS52/5	0	29	117189	117247	parsed	medium		
NCPPB 347	1	collection_list	This isolate is also in the collections; ICMP 7, LMG 535	ICMP 7, LMG 535	0	56	120200	120285	parsed	low		
NCPPB 347	2	isolated_by	This isolate was isolated by G.B. Wallace	G.B. Wallace	57	98	120289	120331	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 381	1	donor_reference	The donor reference is ZK4	ZK4	0	26	130139	130194	parsed	medium		
NCPPB 381	2	collection_list	This isolate is also in the collections; ATCC 19315, LMG 826, ICMP 239, CFBP 6165	ATCC 19315, LMG 826, ICMP 239, CFBP 6165	27	108	130198	130280	parsed	low		
NCPPB 381	3	source_of_isolate	The source of this isolate was ex W.A.F. Hagborg	ex W.A.F. Hagborg	109	157	130284	130333	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 400	1	isolated_by	This isolate was isolated by E. Hellmers 69	E. Hellmers 69	0	43	133484	133556	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 403	1	isolated_by	This isolate was isolated by D.W. Dye Ql	D.W. Dye Ql	0	40	136456	136525	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 404	1	isolated_by	This isolate was isolated by D.W. Dye Q2	D.W. Dye Q2	0	40	139204	139273	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 405	1	isolated_by	This isolate was isolated by D.W. Dye R1	D.W. Dye R1	0	40	142665	142734	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 406	1	donor_reference	The donor reference is R	R	0	24	146150	146203	parsed	high	digit_free_donor_reference_requires_review_before_search	
NCPPB 406	2	isolated_by	This isolate was isolated by D.W. Dye R2	D.W. Dye R2	25	65	146207	146248	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 407	1	isolated_by	This isolate was isolated by D.W. Dye R3	D.W. Dye R3	0	40	149640	149709	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 408	1	isolated_by	This isolate was isolated by D.W. Dye R4	D.W. Dye R4	0	40	153108	153177	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 409	1	collection_list	This isolate is also in the collections; ICMP 24, LMG 682, CFBP 2525	ICMP 24, LMG 682, CFBP 2525	0	68	156547	156644	parsed	low		
NCPPB 409	2	isolated_by	This isolate was isolated by D.W. Dye R5	D.W. Dye R5	69	109	156648	156689	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 410	1	isolated_by	This isolate was isolated by D.W. Dye R6	D.W. Dye R6	0	40	160086	160155	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 411	1	donor_reference	The donor reference is S3	S3	0	25	163309	163363	parsed	medium		
NCPPB 411	2	collection_list	This isolate is also in the collections; ICMP 35, CFBP 2528, LMG 747, ATCC 49083	ICMP 35, CFBP 2528, LMG 747, ATCC 49083	26	106	163367	163448	parsed	low		
NCPPB 412	1	isolated_by	This isolate was isolated by D.W. Dye S6	D.W. Dye S6	0	40	166600	166669	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 414	1	isolated_by	This isolate was isolated by D.W. Dye S10	D.W. Dye S10	0	41	169821	169891	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 415	1	isolated_by	This isolate was isolated by D.W. Dye S12	D.W. Dye S12	0	41	173043	173113	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 416	1	collection_list	This isolate is also in the collections; ATCC 19316, ICMP 51, LMG 852, CFBP 2535	ATCC 19316, ICMP 51, LMG 852, CFBP 2535	0	80	176703	176812	parsed	low		
NCPPB 416	2	isolated_by	This isolate was isolated by D.W. Dye Tl	D.W. Dye Tl	81	121	176816	176857	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 418	1	isolated_by	This isolate was isolated by D.W. Dye T6	D.W. Dye T6	0	40	179997	180066	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 419	1	isolated_by	This isolate was isolated by D.W. Dye T7	D.W. Dye T7	0	40	183206	183275	parsed	medium	person_or_source_text_not_automatically_an_identifier	
