ncppb_number	ncppb_current_name	snapshot_status	all_searchable_identifiers	confirmed_biosample_accessions	provisional_biosample_accessions	ncppb_track_biosample_accessions	other_references_track_biosample_accessions	historical_v1_recheck_biosample_accessions	assembly_accessions	assembly_levels	sra_run_accessions	bioproject_accessions	provisional_assembly_accessions	provisional_sra_run_accessions	provisional_bioproject_accessions	sequence_availability_category	identity_match_status	taxonomy_consistency_status	taxonomy_review_required	manual_review_required	review_reason	accepted_candidate_count	review_candidate_count	rejected_candidate_count
NCPPB 45	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	present_in_v2_snapshot	NCPPB 45	SAMN36346970		SAMN36346970			GCA_035026565.1	Contig	SRR25183331	PRJNA988133				draft_assembly_available	confirmed_exact_ncppb_identifier	same_name	no	no		1	0	0
NCPPB 101	Xanthomonas cassavae (ex Wiehe & Dowson 1953) Vauterin et al. 1995	present_in_v2_snapshot	NCPPB 101; ICMP 204; LMG 673; DSM 18958	SAMN22555467		SAMN22555467			GCF_020783895.1	Contig	SRR22272561	PRJNA774146				draft_assembly_available	confirmed_exact_ncppb_identifier	same_name	no	no		1	0	0
NCPPB 109	Xanthomonas axonopodis pv. begoniae (Takimoto 1934) Vauterin et al. 1995	present_in_v2_snapshot	NCPPB 109													no_confirmed_public_data	no_confirmed_identity_match	not_assessed_no_confirmed_match	no	no		0	0	0
NCPPB 113	Xanthomonas axonopodis pv. ricini (Yoshi & Takimoto 1928) Vauterin et al. 1995	present_in_v2_snapshot	NCPPB 113	SAMN42178446		SAMN42178446			GCF_053571385.1	Contig	SRR29654663; SRR30041332	PRJNA1129907				draft_assembly_available	confirmed_exact_ncppb_identifier	same_name	no	no		1	0	0
NCPPB 151	Xanthomonas campestris pv. papavericola (Bryan and McWhorter 1930) Dye 1978	present_in_v2_snapshot	NCPPB 151	SAMN56511362		SAMN56511362					SRR37629063; SRR37789880	PRJNA1437458				raw_reads_only	confirmed_exact_ncppb_identifier	same_name	no	no		1	0	0
NCPPB 174	Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995	present_in_v2_snapshot	NCPPB 174													no_confirmed_public_data	no_confirmed_identity_match	not_assessed_no_confirmed_match	no	no		0	0	0
NCPPB 181	Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995	present_in_v2_snapshot	NCPPB 181													no_confirmed_public_data	no_confirmed_identity_match	not_assessed_no_confirmed_match	no	no		0	0	0
NCPPB 182	Xanthomonas sp. (Cobb 1893) Vauterin et al. 1995	present_in_v2_snapshot	NCPPB 182; ATCC 13901; ICMP 305; LMG 896													no_confirmed_public_data	no_confirmed_identity_match	not_assessed_no_confirmed_match	no	no		0	0	0
NCPPB 184	Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995	present_in_v2_snapshot	NCPPB 184; ATCC 13902; ICPB XV101													no_confirmed_public_data	no_confirmed_identity_match	not_assessed_no_confirmed_match	no	no		0	0	0
NCPPB 185	Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995	present_in_v2_snapshot	NCPPB 185													no_confirmed_public_data	no_confirmed_identity_match	not_assessed_no_confirmed_match	no	no		0	0	0
NCPPB 186	Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995	present_in_v2_snapshot	NCPPB 186													no_confirmed_public_data	no_confirmed_identity_match	not_assessed_no_confirmed_match	no	no		0	0	0
