query_id	ncppb_number	query_track	query_tier	searched_identifier	ncbi_uid	biosample_accession	organism	taxid	title	strain	isolate	culture_collection	bio_material	sample_name	identity_aliases	identifiers	attributes_json	raw_xml_cache_path	source_url	status	error
20cc497f8d8c8fe4bc18	ALL_OTHER_PREFIX:ATCC	other_references	expected_genus:Stenotrophomonas	ATCC	14517832	SAMN14517832	Stenotrophomonas africana	1292134	Microbe sample from Stenotrophomonas africana	ATCC 700475		ATCC:700475				BioSample: SAMN14517832; Stenotrophomonas maltophilia strain ATCC 700475	"{""collection_date"":[""missing""],""culture-collection"":[""ATCC:700475""],""geo_loc_name"":[""Zaire""],""host"":[""missing""],""isolation_source"":[""missing""],""sample_type"":[""isolate""],""strain"":[""ATCC 700475""],""type-material"":[""type strain of Stenotrophomonas africana""],""type_strain"":[""No""]}"	.cache/ncbi/v2_1/efetch_5436aa06399483d326b3bb35b35449299ae8390c479f935bb1cdc706a2106a2a.xml	https://www.ncbi.nlm.nih.gov/biosample/SAMN14517832	ok	
20cc497f8d8c8fe4bc18	ALL_OTHER_PREFIX:ATCC	other_references	expected_genus:Stenotrophomonas	ATCC	1916211	SAMN01916211	Stenotrophomonas africana	1292134	Pathogen sample Stenotrophomonas maltophilia ATCC 700475	ATCC 700475		ATCC: 700475			CIP 104854 [CCUG 41684, CIP 104854, MGB]	BioSample: SAMN01916211; ATCC 700475; ATCC: 700475	"{""collected-by"":[""missing""],""collection_date"":[""2005-06-16""],""culture-collection"":[""ATCC: 700475""],""geo_loc_name"":[""Zaire: Goma""],""host_disease"":[""missing""],""isolate name alias"":[""CIP 104854 [CCUG 41684, CIP 104854, MGB]""],""isolation_source"":[""Cerebrospinal fluid from an HIV-seropositive Rwandan refugee with primary meningoencephalitis""],""lat-lon"":[""missing""],""repository"":[""American Type Culture Collection (ATCC)""],""risk group"":[""Biosafety Level 2""],""specific_host"":[""Homo sapiens""],""strain"":[""ATCC 700475""],""type status"":[""type strain""],""type-material"":[""type strain of Stenotrophomonas africana""]}"	.cache/ncbi/v2_1/efetch_9a6b3525df161b5bebe32f3baffc9f81c75f0978908c4b9416c7b69b38741858.xml	https://www.ncbi.nlm.nih.gov/biosample/SAMN01916211	ok	
20cc497f8d8c8fe4bc18	ALL_OTHER_PREFIX:ATCC	other_references	expected_genus:Stenotrophomonas	ATCC	47755519	SAMN47755519	Stenotrophomonas maltophilia	40324	One Health Enteric sample from Stenotrophomonas maltophilia	ATCC 51331		ATCC:51331				BioSample: SAMN47755519; V25001820; SRA: SRS24579032	"{""collected_by"":[""New Jersey State Department of Health""],""collection_date"":[""2025-01-08""],""culture_collection"":[""ATCC:51331""],""geo_loc_name"":[""USA:NJ""],""isolation_source"":[""laboratory control strain""],""lat_lon"":[""missing""],""project_name"":[""GenomeTrakr; LFFM-FY5""],""purpose_of_sampling"":[""research""],""reference_material"":[""laboratory control strain""],""sequenced_by"":[""New Jersey State Department of Health""],""source_type"":[""other""],""strain"":[""ATCC 51331""]}"	.cache/ncbi/v2_1/efetch_fb49fcf5c2f6dce58c10306573e4f6c58da0b6b8f9c990f630c1da495a8a9c2e.xml	https://www.ncbi.nlm.nih.gov/biosample/SAMN47755519	ok	
20cc497f8d8c8fe4bc18	ALL_OTHER_PREFIX:ATCC	other_references	expected_genus:Stenotrophomonas	ATCC	47734328	SAMN47734328	Stenotrophomonas maltophilia	40324	One Health Enteric sample from Stenotrophomonas maltophilia	ATCC 17666		ATCC:17666				BioSample: SAMN47734328; V24014652; SRA: SRS24561515	"{""collected_by"":[""New Jersey State Department of Health""],""collection_date"":[""2024-12-02""],""culture_collection"":[""ATCC:17666""],""geo_loc_name"":[""USA:NJ""],""isolation_source"":[""laboratory control strain""],""lat_lon"":[""missing""],""project_name"":[""GenomeTrakr; LFFM-FY5""],""purpose_of_sampling"":[""research""],""reference_material"":[""laboratory control strain""],""sequenced_by"":[""New Jersey State Department of Health""],""source_type"":[""other""],""strain"":[""ATCC 17666""]}"	.cache/ncbi/v2_1/efetch_fb49fcf5c2f6dce58c10306573e4f6c58da0b6b8f9c990f630c1da495a8a9c2e.xml	https://www.ncbi.nlm.nih.gov/biosample/SAMN47734328	ok	
20cc497f8d8c8fe4bc18	ALL_OTHER_PREFIX:ATCC	other_references	expected_genus:Stenotrophomonas	ATCC	42773585	SAMN42773585	Stenotrophomonas sp. 10T35_2	3232947	Microbe sample from Stenotrophomonas sp. 10T35_2	10T35_2						BioSample: SAMN42773585; AtCC_PMI_UU297_genome	"{""collected_by"":[""Max Stassen and Peter de Rooij""],""collection_date"":[""2018-03-02""],""geo_loc_name"":[""Netherlands: Reijerscamp""],""host"":[""Arabidopsis thaliana Col-0""],""host_tissue_sampled"":[""Root""],""identified_by"":[""Gijs Selten and Adrian Gomez Repolles""],""isolation_source"":[""root""],""lat_lon"":[""52.00369 N 5.46479 E""],""sample_type"":[""Bacterial culture""],""strain"":[""10T35_2""]}"	.cache/ncbi/v2_1/efetch_b8a2dc52465e775fad057a87fb6945e3cc9613c772e40d22a4935fdc66a59fd3.xml	https://www.ncbi.nlm.nih.gov/biosample/SAMN42773585	ok	
20cc497f8d8c8fe4bc18	ALL_OTHER_PREFIX:ATCC	other_references	expected_genus:Stenotrophomonas	ATCC	42773568	SAMN42773568	Stenotrophomonas sp. 10N422	3232931	Microbe sample from Stenotrophomonas sp. 10N422	10N422						BioSample: SAMN42773568; AtCC_PMI_UU280_genome	"{""collected_by"":[""Max Stassen and Peter de Rooij""],""collection_date"":[""2018-03-02""],""geo_loc_name"":[""Netherlands: Reijerscamp""],""host"":[""Arabidopsis thaliana Col-0""],""host_tissue_sampled"":[""Root""],""identified_by"":[""Gijs Selten and Adrian Gomez Repolles""],""isolation_source"":[""root""],""lat_lon"":[""52.00369 N 5.46479 E""],""sample_type"":[""Bacterial culture""],""strain"":[""10N422""]}"	.cache/ncbi/v2_1/efetch_b8a2dc52465e775fad057a87fb6945e3cc9613c772e40d22a4935fdc66a59fd3.xml	https://www.ncbi.nlm.nih.gov/biosample/SAMN42773568	ok	
20cc497f8d8c8fe4bc18	ALL_OTHER_PREFIX:ATCC	other_references	expected_genus:Stenotrophomonas	ATCC	42773567	SAMN42773567	Stenotrophomonas sp. 10N421	3232930	Microbe sample from Stenotrophomonas sp. 10N421	10N421						BioSample: SAMN42773567; AtCC_PMI_UU279_genome	"{""collected_by"":[""Max Stassen and Peter de Rooij""],""collection_date"":[""2018-03-02""],""geo_loc_name"":[""Netherlands: Reijerscamp""],""host"":[""Arabidopsis thaliana Col-0""],""host_tissue_sampled"":[""Root""],""identified_by"":[""Gijs Selten and Adrian Gomez Repolles""],""isolation_source"":[""root""],""lat_lon"":[""52.00369 N 5.46479 E""],""sample_type"":[""Bacterial culture""],""strain"":[""10N421""]}"	.cache/ncbi/v2_1/efetch_b8a2dc52465e775fad057a87fb6945e3cc9613c772e40d22a4935fdc66a59fd3.xml	https://www.ncbi.nlm.nih.gov/biosample/SAMN42773567	ok	
20cc497f8d8c8fe4bc18	ALL_OTHER_PREFIX:ATCC	other_references	expected_genus:Stenotrophomonas	ATCC	42773557	SAMN42773557	Stenotrophomonas sp. 10N36	3232920	Microbe sample from Stenotrophomonas sp. 10N36	10N36						BioSample: SAMN42773557; AtCC_PMI_UU269_genome	"{""collected_by"":[""Max Stassen and Peter de Rooij""],""collection_date"":[""2018-03-02""],""geo_loc_name"":[""Netherlands: Reijerscamp""],""host"":[""Arabidopsis thaliana Col-0""],""host_tissue_sampled"":[""Root""],""identified_by"":[""Gijs Selten and Adrian Gomez Repolles""],""isolation_source"":[""root""],""lat_lon"":[""52.00369 N 5.46479 E""],""sample_type"":[""Bacterial culture""],""strain"":[""10N36""]}"	.cache/ncbi/v2_1/efetch_b8a2dc52465e775fad057a87fb6945e3cc9613c772e40d22a4935fdc66a59fd3.xml	https://www.ncbi.nlm.nih.gov/biosample/SAMN42773557	ok	
20cc497f8d8c8fe4bc18	ALL_OTHER_PREFIX:ATCC	other_references	expected_genus:Stenotrophomonas	ATCC	42773552	SAMN42773552	Stenotrophomonas sp. 10L48	3232915	Microbe sample from Stenotrophomonas sp. 10L48	10L48						BioSample: SAMN42773552; AtCC_PMI_UU264_genome	"{""collected_by"":[""Max Stassen and Peter de Rooij""],""collection_date"":[""2018-03-02""],""geo_loc_name"":[""Netherlands: Reijerscamp""],""host"":[""Arabidopsis thaliana Col-0""],""host_tissue_sampled"":[""Root""],""identified_by"":[""Gijs Selten and Adrian Gomez Repolles""],""isolation_source"":[""root""],""lat_lon"":[""52.00369 N 5.46479 E""],""sample_type"":[""Bacterial culture""],""strain"":[""10L48""]}"	.cache/ncbi/v2_1/efetch_b8a2dc52465e775fad057a87fb6945e3cc9613c772e40d22a4935fdc66a59fd3.xml	https://www.ncbi.nlm.nih.gov/biosample/SAMN42773552	ok	
20cc497f8d8c8fe4bc18	ALL_OTHER_PREFIX:ATCC	other_references	expected_genus:Stenotrophomonas	ATCC	42773549	SAMN42773549	Stenotrophomonas sp. 10L46	3232912	Microbe sample from Stenotrophomonas sp. 10L46	10L46						BioSample: SAMN42773549; AtCC_PMI_UU261_genome	"{""collected_by"":[""Max Stassen and Peter de Rooij""],""collection_date"":[""2018-03-02""],""geo_loc_name"":[""Netherlands: Reijerscamp""],""host"":[""Arabidopsis thaliana Col-0""],""host_tissue_sampled"":[""Root""],""identified_by"":[""Gijs Selten and Adrian Gomez Repolles""],""isolation_source"":[""root""],""lat_lon"":[""52.00369 N 5.46479 E""],""sample_type"":[""Bacterial culture""],""strain"":[""10L46""]}"	.cache/ncbi/v2_1/efetch_b8a2dc52465e775fad057a87fb6945e3cc9613c772e40d22a4935fdc66a59fd3.xml	https://www.ncbi.nlm.nih.gov/biosample/SAMN42773549	ok	
