ncppb_number	biosample_accession	rediscovered_by_v2_1_search	rediscovery_tracks	historical_direct_recheck_needed	v2_1_decision	identity_match_status	evidence_class	matched_identifier	matched_field	taxonomy_status	review_reason
NCPPB 45	SAMN36346970	yes	ncppb_number	no	accept	confirmed_exact_ncppb_identifier	structured_exact_identifier	NCPPB 45	strain	same_name	
NCPPB 101	SAMN22555467	yes	ncppb_number	no	accept	confirmed_exact_ncppb_identifier	structured_exact_identifier	NCPPB 101	strain	same_name	
NCPPB 113	SAMN42178446	yes	ncppb_number	no	accept	confirmed_exact_ncppb_identifier	structured_exact_identifier	NCPPB 113	strain	same_name	
NCPPB 151	SAMN56511362	yes	ncppb_number	no	accept	confirmed_exact_ncppb_identifier	structured_exact_identifier	NCPPB 151	strain	same_name	
NCPPB 206	SAMN00991256	yes	ncppb_number	no	accept	confirmed_exact_ncppb_identifier	structured_exact_identifier	NCPPB 206	strain	same_name	
NCPPB 206	SAMN36357966	yes	ncppb_number	no	accept	confirmed_exact_ncppb_identifier	structured_exact_identifier	NCPPB 206	strain	same_name	
NCPPB 211	SAMN13783128	yes	ncppb_number	no	accept	confirmed_exact_ncppb_identifier	structured_exact_identifier	NCPPB 211	strain	same_name	
NCPPB 220	SAMN03262509	yes	ncppb_number	no	accept	confirmed_exact_ncppb_identifier	structured_exact_identifier	NCPPB 220	strain	same_name	
NCPPB 226	SAMN13783184	yes	ncppb_number	no	accept	confirmed_exact_ncppb_identifier	structured_exact_identifier	NCPPB 226	strain	same_name	
NCPPB 230	SAMN40354569	yes	ncppb_number	no	accept	confirmed_exact_ncppb_identifier	structured_exact_identifier	NCPPB 230	identity_aliases	same_genus_different_species	same_genus_different_species
NCPPB 232	SAMEA6962647	yes	ncppb_number	no	accept	confirmed_exact_ncppb_identifier	structured_exact_identifier	NCPPB 232	culture_collection	same_name	
NCPPB 301	SAMN03175018	yes	ncppb_number	no	accept	confirmed_exact_ncppb_identifier	structured_exact_identifier	NCPPB 301	strain	same_name	
NCPPB 347	SAMN17385947	yes	ncppb_number; other_references	no	accept	confirmed_exact_ncppb_identifier	structured_exact_identifier	NCPPB 347	identity_aliases	same_name	
NCPPB 347	SAMN22552829	yes	ncppb_number	no	accept	confirmed_exact_ncppb_identifier	structured_exact_identifier	NCPPB 347	strain	same_name	
NCPPB 381	SAMN02903172	yes	other_references	no	accept	confirmed_exact_collection_identifier	structured_exact_identifier	LMG 826	strain	same_name	
NCPPB 381	SAMN03142398	yes	ncppb_number	no	accept	confirmed_exact_ncppb_identifier	structured_exact_identifier	NCPPB 381	strain	same_name	
NCPPB 381	SAMN06829306	yes	other_references	no	accept	confirmed_exact_collection_identifier	structured_exact_identifier	CFBP 6165	strain	same_name	
NCPPB 381	SAMN40354536	yes	ncppb_number	no	accept	confirmed_exact_ncppb_identifier	structured_exact_identifier	NCPPB 381	identity_aliases	same_name	
NCPPB 404	SAMN36346971	yes	ncppb_number	no	accept	confirmed_exact_ncppb_identifier	structured_exact_identifier	NCPPB 404	strain	same_name	
NCPPB 409	SAMEA114331998	yes	ncppb_number	no	accept	confirmed_exact_ncppb_identifier	structured_exact_identifier	NCPPB 409	isolate	same_name	
NCPPB 409	SAMN13783182	yes	other_references	no	accept	confirmed_exact_collection_identifier	structured_exact_identifier	CFBP 2525	strain	same_name	
NCPPB 411	SAMN03352151	yes	other_references	no	accept	confirmed_exact_collection_identifier	structured_exact_identifier	CFBP 2528	strain	same_name	
NCPPB 411	SAMN43400626	yes	other_references	no	accept	confirmed_exact_collection_identifier	structured_exact_identifier	ATCC 49083	strain	same_name	
NCPPB 416	SAMN00188641	yes	other_references	no	accept	confirmed_exact_collection_identifier	structured_exact_identifier	ICMP 51	strain	same_name	
NCPPB 416	SAMN39942831	yes	ncppb_number	no	accept	confirmed_exact_ncppb_identifier	structured_exact_identifier	NCPPB 416	strain	same_name	
NCPPB 416	SAMN41996497	yes	ncppb_number	no	accept	confirmed_exact_ncppb_identifier	structured_exact_identifier	NCPPB 416	strain	same_name	
NCPPB 422	SAMN02471773	yes	other_references	no	accept	confirmed_exact_collection_identifier	structured_exact_identifier	ATCC 35937	strain	same_name	
NCPPB 422	SAMN05823154	yes	other_references	no	accept	confirmed_exact_collection_identifier	structured_exact_identifier	LMG 911	strain	same_name	
NCPPB 425	SAMN40354566	yes	ncppb_number	no	accept	confirmed_exact_ncppb_identifier	structured_exact_identifier	NCPPB 425	identity_aliases	same_genus_different_species	same_genus_different_species
NCPPB 457	SAMN02903173	yes	other_references	no	accept	confirmed_exact_collection_identifier	structured_exact_identifier	LMG 982	strain	same_name	
NCPPB 464	SAMN19988989	yes	ncppb_number	no	accept	confirmed_exact_ncppb_identifier	structured_exact_identifier	NCPPB 464	strain	same_name	
NCPPB 464	SAMN41997686	yes	ncppb_number	no	accept	confirmed_exact_ncppb_identifier	structured_exact_identifier	NCPPB 464	strain	same_name	
NCPPB 465	SAMN41997687	yes	ncppb_number	no	accept	confirmed_exact_ncppb_identifier	structured_exact_identifier	NCPPB 465	strain	same_name	
NCPPB 466	SAMEA3138416	yes	other_references	no	accept	confirmed_exact_collection_identifier	structured_exact_identifier	LMG 859	strain	same_name	
NCPPB 466	SAMN09425328	yes	other_references	no	accept	confirmed_exact_collection_identifier	structured_exact_identifier	LMG 859	strain	same_name	
NCPPB 478	SAMN42178451	yes	ncppb_number	no	accept	confirmed_exact_ncppb_identifier	structured_exact_identifier	NCPPB 478	strain	same_name	
NCPPB 481	SAMN42278566	yes	ncppb_number	no	accept	confirmed_exact_ncppb_identifier	structured_exact_identifier	NCPPB 481	strain	same_name	
NCPPB 485	SAMN42284446	yes	ncppb_number	no	accept	confirmed_exact_ncppb_identifier	structured_exact_identifier	NCPPB 485	strain	same_name	
NCPPB 488	SAMN42178439	yes	ncppb_number	no	accept	confirmed_exact_ncppb_identifier	structured_exact_identifier	NCPPB 488	strain	same_name	
NCPPB 490	SAMEA2272013	yes	other_references	no	accept	confirmed_exact_collection_identifier	structured_exact_identifier	LMG 941	strain	same_name	
NCPPB 490	SAMN41471108	yes	other_references	no	accept	confirmed_exact_collection_identifier	structured_exact_identifier	CFBP 1716	strain	same_name	
NCPPB 509	SAMN03175433	yes	other_references	no	accept	confirmed_exact_collection_identifier	structured_exact_identifier	LMG 919	strain	same_name	
NCPPB 528	SAMN02603845	yes	other_references	no	accept	confirmed_exact_collection_identifier	structured_exact_identifier	ATCC 33913	strain	same_name	
NCPPB 528	SAMN22552834	yes	ncppb_number	no	accept	confirmed_exact_ncppb_identifier	structured_exact_identifier	NCPPB 528	strain	same_name	
NCPPB 528	SAMN36368329	yes	ncppb_number	no	accept	confirmed_exact_ncppb_identifier	structured_exact_identifier	NCPPB 528	strain	same_name	
NCPPB 529	SAMN36346972	yes	ncppb_number	no	accept	confirmed_exact_ncppb_identifier	structured_exact_identifier	NCPPB 529	strain	same_name	
NCPPB 535	SAMN42178440	yes	ncppb_number	no	accept	confirmed_exact_ncppb_identifier	structured_exact_identifier	NCPPB 535	strain	same_name	
NCPPB 536	SAMN42284536	yes	ncppb_number	no	accept	confirmed_exact_ncppb_identifier	structured_exact_identifier	NCPPB 536	strain	same_name	
NCPPB 554	SAMN02469936	yes	other_references	no	accept	confirmed_exact_collection_identifier	structured_exact_identifier	CFBP 2526	strain	same_name	
NCPPB 554	SAMN18397212	yes	other_references	no	accept	confirmed_exact_collection_identifier	structured_exact_identifier	CFBP 2526	strain	same_name	
NCPPB 556	SAMN03203484	yes	ncppb_number	no	accept	confirmed_exact_ncppb_identifier	structured_exact_identifier	NCPPB 556	strain	compatible_synonym	
NCPPB 556	SAMN56511388	yes	ncppb_number	no	accept	confirmed_exact_ncppb_identifier	structured_exact_identifier	NCPPB 556	strain	same_genus_different_species	same_genus_different_species
NCPPB 557	SAMN03257620	yes	ncppb_number	no	accept	confirmed_exact_ncppb_identifier	structured_exact_identifier	NCPPB 557	strain	compatible_synonym	
NCPPB 557	SAMN56511389	yes	ncppb_number	no	accept	confirmed_exact_ncppb_identifier	structured_exact_identifier	NCPPB 557	strain	same_genus_different_species	same_genus_different_species
NCPPB 570	SAMN42488058	yes	ncppb_number	no	accept	confirmed_exact_ncppb_identifier	structured_exact_identifier	NCPPB 570	strain	same_name	
NCPPB 571	SAMN14601050	yes	other_references	no	accept	confirmed_exact_collection_identifier	structured_exact_identifier	ATCC 11672	culture_collection	same_name	
NCPPB 573	SAMN42284473	yes	ncppb_number	no	accept	confirmed_exact_ncppb_identifier	structured_exact_identifier	NCPPB 573	strain	same_name	
NCPPB 575	SAMN19988990	yes	ncppb_number	no	accept	confirmed_exact_ncppb_identifier	structured_exact_identifier	NCPPB 575	strain	same_genus_different_species	same_genus_different_species
NCPPB 577	SAMN42278567	yes	ncppb_number	no	accept	confirmed_exact_ncppb_identifier	structured_exact_identifier	NCPPB 577	strain	same_name	
