ncppb_number	ncppb_current_name	biosample_accession	evidence_status	bioproject_accession	project_role	project_sources	project_title	use_for_sequence_provenance	review_required	source_url
NCPPB 101	Xanthomonas cassavae (ex Wiehe & Dowson 1953) Vauterin et al. 1995	SAMN22555467	confirmed	PRJNA224116	annotation_project	biosample_elink; refseq_annotation_project	Refseq Prokaryotic Genome Annotation Project	no	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA224116
NCPPB 101	Xanthomonas cassavae (ex Wiehe & Dowson 1953) Vauterin et al. 1995	SAMN22555467	confirmed	PRJNA608517	biosample_elink_only	biosample_elink	The Lactobacillus genus, a use case for Bactopia.	no	yes	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA608517
NCPPB 101	Xanthomonas cassavae (ex Wiehe & Dowson 1953) Vauterin et al. 1995	SAMN22555467	confirmed	PRJNA774146	sequence_source_project	assembly_genbank_project; biosample_elink; sra_sequence_project	Genome sequencing of xanthomonads from the NCPPB	yes	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA774146
NCPPB 1043	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	SAMN36368321	confirmed	PRJNA988133	sequence_source_project	assembly_genbank_project; biosample_elink; sra_sequence_project	Genome sequencing of Xanthomonas campestris pv. campestris from WHRI collection	yes	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA988133
NCPPB 1056	Xanthomonas citri pv. fuscans (Schaad et al. 2007) Constantin et al. 2016 comb. nov.	SAMN03142809	confirmed	PRJNA224116	annotation_project	biosample_elink; refseq_annotation_project	Refseq Prokaryotic Genome Annotation Project	no	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA224116
NCPPB 1056	Xanthomonas citri pv. fuscans (Schaad et al. 2007) Constantin et al. 2016 comb. nov.	SAMN03142809	confirmed	PRJNA264809	sequence_source_project	assembly_genbank_project; biosample_elink; sra_sequence_project	Xanthomonas citri pv. fuscans strain:NCPPB 1056 Genome sequencing and assembly	yes	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA264809
NCPPB 1056	Xanthomonas citri pv. fuscans (Schaad et al. 2007) Constantin et al. 2016 comb. nov.	SAMN03142809	confirmed	PRJNA608517	biosample_elink_only	biosample_elink	The Lactobacillus genus, a use case for Bactopia.	no	yes	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA608517
NCPPB 1058	Xanthomonas citri pv. fuscans (Schaad et al. 2007) Constantin et al. 2016 comb. nov.	SAMN03142815	confirmed	PRJNA224116	annotation_project	biosample_elink; refseq_annotation_project	Refseq Prokaryotic Genome Annotation Project	no	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA224116
NCPPB 1058	Xanthomonas citri pv. fuscans (Schaad et al. 2007) Constantin et al. 2016 comb. nov.	SAMN03142815	confirmed	PRJNA264815	sequence_source_project	assembly_genbank_project; biosample_elink; sra_sequence_project	Xanthomonas citri pv. fuscans strain:NCPPB 1058 Genome sequencing and assembly	yes	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA264815
NCPPB 1058	Xanthomonas citri pv. fuscans (Schaad et al. 2007) Constantin et al. 2016 comb. nov.	SAMN03142815	confirmed	PRJNA608517	biosample_elink_only	biosample_elink	The Lactobacillus genus, a use case for Bactopia.	no	yes	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA608517
NCPPB 1059	Xanthomonas campestris pv. papavericola (Bryan and McWhorter 1930) Dye 1978	SAMN56511356	confirmed	PRJNA1437458	sequence_source_project	biosample_elink; sra_sequence_project	Genome sequencing of phylogenetically important Xanthomonas strains	yes	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1437458
NCPPB 1060	Xanthomonas vasicola pv. holcicola (Elliott 1930) Vauterin et al. 1995	SAMN03140122	confirmed	PRJNA224116	annotation_project	biosample_elink; refseq_annotation_project	Refseq Prokaryotic Genome Annotation Project	no	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA224116
