query_id	ncppb_number	query_track	query_tier	searched_identifier	ncbi_uid	biosample_accession	organism	taxid	title	strain	isolate	culture_collection	bio_material	sample_name	identity_aliases	identifiers	host	geographic_location	collection_date	isolation_source	attributes_json	raw_xml_cache_path	source_url	status	error
fdd998afce0c22f2caea; 608ccfced838506b6300	NCPPB 2930	ncppb_number	expected_genus:Sphingomonas; exact_full_identifier	NCPPB; NCPPB 2930	41764005	SAMN41764005	Sphingomonas sp. NCPPB 2930	3162788	Genome sequencing of NCPPB 2930 (listed as Xanthomonas vasicola pv. holcicola)	NCPPB 2930		NCPPB:2930	J.F. Bradbury			BioSample: SAMN41764005; NCPPB_2930; SRA: SRS21581860	Sorghum bicolor	Solomon Islands	1977		"{""biomaterial_provider"":[""J.F. Bradbury""],""collected_by"":[""ex G. Jackson PP223""],""collection_date"":[""1977""],""culture_collection"":[""NCPPB:2930""],""geo_loc_name"":[""Solomon Islands""],""host"":[""Sorghum bicolor""],""sample_type"":[""Cell culture""],""strain"":[""NCPPB 2930""]}"	.cache/ncbi/v2_1/efetch_94bc73f4953fbbd6003a6f71ebdfb4c8230335def592901b6432b2f2b09cab5b.xml	https://www.ncbi.nlm.nih.gov/biosample/SAMN41764005	ok	
89f15bc2014630205e1e; 17fb17474efcd1cbf70e	NCPPB 1974	ncppb_number	expected_genus:Stenotrophomonas; exact_full_identifier	NCPPB; NCPPB 1974	31049491	SAMD00538104	Stenotrophomonas maltophilia	40324	Stenotrophomonas maltophilia NBRC 14161	NBRC 14161		NBRC:14161		NBRC 14161	AS 1.1788 ; ATCC 13637 ; BCRC 10737 ; CCM 1640 ; CCUG 559 B ; CCUG 5866 ; CFBP 3035 ; CIP 60.77 ; DSM 50170 ; IAM 12423 ; JCM 1975 ; LMG 958 ; NCAIM B.01119 ; NCCB 68018 ; NCIMB 9203 ; NCPPB 1974 ; NCTC 10257 ; NRRL B-2756 ; VKM B-591	BioSample: SAMD00538104		missing	missing	oropharyngeal region of patient with mouth cancer	"{""Other_CC"":[""AS 1.1788 ; ATCC 13637 ; BCRC 10737 ; CCM 1640 ; CCUG 559 B ; CCUG 5866 ; CFBP 3035 ; CIP 60.77 ; DSM 50170 ; IAM 12423 ; JCM 1975 ; LMG 958 ; NCAIM B.01119 ; NCCB 68018 ; NCIMB 9203 ; NCPPB 1974 ; NCTC 10257 ; NRRL B-2756 ; VKM B-591""],""collection_date"":[""missing""],""culture_collection"":[""NBRC:14161""],""geo_loc_name"":[""missing""],""history"":[""IFO 14161 <- Kansai Med. Univ. (E. Yabuuchi, KM 2491) <- NCTC 10257 <- ATCC 13637 <- R. Hugh, RH810-2""],""isolation_source"":[""oropharyngeal region of patient with mouth cancer""],""link"":[""http://purl.jp/bio/103/nite/nbrc/cultures/00014161""],""medium1"":[""802""],""medium1_URL"":[""http://purl.jp/bio/103/nite/nbrc/medium/000802""],""rehydration_fluid_URL"":[""http://purl.jp/bio/103/nite/nbrc/medium/000702""],""rehydration_fluid_no"":[""702""],""repository"":[""NITE Biological Resource Center""],""sample_name"":[""NBRC 14161""],""sample_type"":[""cell culture""],""strain"":[""NBRC 14161""],""temperature_to"":[""30""],""type-material"":[""type strain of Psedomonas maltophilia""],""type_status"":[""type strain""],""validity"":[""Y""]}"	.cache/ncbi/v2_1/efetch_85988f61703dd600cd34c3eee12f0d55109c7c00f318febfa15ae3bf79a620a7.xml	https://www.ncbi.nlm.nih.gov/biosample/SAMD00538104	ok	
9a5a419bbd06149334ec; fc04870697d11da903a7	NCPPB 1058	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	NCPPB; NCPPB 1058	3142815	SAMN03142815	Xanthomonas citri pv. fuscans	366649	Microbe sample from Xanthomonas citri pv. fuscans	NCPPB 1058		NCPPB:1058				BioSample: SAMN03142815; NCPPB 1058; SRA: SRS954084	Phaseolus vulgaris	Ethiopia	1961	missing	"{""collected_by"":[""A.C. Hayward""],""collection_date"":[""1961""],""culture-collection"":[""NCPPB:1058""],""geo_loc_name"":[""Ethiopia""],""host"":[""Phaseolus vulgaris""],""isolation_source"":[""missing""],""pathovar"":[""fuscans""],""sample_type"":[""missing""],""strain"":[""NCPPB 1058""]}"	.cache/ncbi/v2_1/efetch_1d87dd683a4b2a45cb6cf73549ea1a6c05b4fa06096e52901c1da51e76c76b7b.xml	https://www.ncbi.nlm.nih.gov/biosample/SAMN03142815	ok	
9a5a419bbd06149334ec; b64bfa9f26e4e2228eb4	NCPPB 3660	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	NCPPB; NCPPB 3660	3142811	SAMN03142811	Xanthomonas citri pv. fuscans	366649	Microbe sample from Xanthomonas citri pv. fuscans	NCPPB 3660		NCPPB:3660				BioSample: SAMN03142811; NCPPB 3660; SRA: SRS954273	Phaseolus vulgaris	Brazil	1975	missing	"{""collection_date"":[""1975""],""culture-collection"":[""NCPPB:3660""],""geo_loc_name"":[""Brazil""],""host"":[""Phaseolus vulgaris""],""isolation_source"":[""missing""],""pathovar"":[""fuscans""],""sample_type"":[""missing""],""strain"":[""NCPPB 3660""]}"	.cache/ncbi/v2_1/efetch_1d87dd683a4b2a45cb6cf73549ea1a6c05b4fa06096e52901c1da51e76c76b7b.xml	https://www.ncbi.nlm.nih.gov/biosample/SAMN03142811	ok	
9a5a419bbd06149334ec; 1f121f467c334db79cb5	NCPPB 1402	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	NCPPB; NCPPB 1402	3142810	SAMN03142810	Xanthomonas citri pv. fuscans	366649	Microbe sample from Xanthomonas citri pv. fuscans	NCPPB 1402		NCPPB:1402				BioSample: SAMN03142810; NCPPB 1402; SRA: SRS954100	Phaseolus vulgaris	Uganda	1962	missing	"{""collected_by"":[""A.C. Hayward""],""collection_date"":[""1962""],""culture-collection"":[""NCPPB:1402""],""geo_loc_name"":[""Uganda""],""host"":[""Phaseolus vulgaris""],""isolation_source"":[""missing""],""pathovar"":[""fuscans""],""sample_type"":[""missing""],""strain"":[""NCPPB 1402""]}"	.cache/ncbi/v2_1/efetch_1d87dd683a4b2a45cb6cf73549ea1a6c05b4fa06096e52901c1da51e76c76b7b.xml	https://www.ncbi.nlm.nih.gov/biosample/SAMN03142810	ok	
9a5a419bbd06149334ec; b8dce6a4f2cdd0092752	NCPPB 1056	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	NCPPB; NCPPB 1056	3142809	SAMN03142809	Xanthomonas citri pv. fuscans	366649	Microbe sample from Xanthomonas citri pv. fuscans	NCPPB 1056		NCPPB:1056				BioSample: SAMN03142809; NCPPB1056; SRA: SRS954083	Phaseolus vulgaris	United Kingdom	1961	missing	"{""collected_by"":[""A.C. Hayward""],""collection_date"":[""1961""],""culture-collection"":[""NCPPB:1056""],""geo_loc_name"":[""United Kingdom""],""host"":[""Phaseolus vulgaris""],""isolation_source"":[""missing""],""pathovar"":[""fuscans""],""sample_type"":[""missing""],""strain"":[""NCPPB 1056""]}"	.cache/ncbi/v2_1/efetch_1d87dd683a4b2a45cb6cf73549ea1a6c05b4fa06096e52901c1da51e76c76b7b.xml	https://www.ncbi.nlm.nih.gov/biosample/SAMN03142809	ok	
9a5a419bbd06149334ec; 572b59afcbfc0bbdb853	NCPPB 2665	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	NCPPB; NCPPB 2665	3142403	SAMN03142403	Xanthomonas citri pv. fuscans	366649	Microbe sample from Xanthomonas citri pv. fuscans	NCPPB 2665						BioSample: SAMN03142403; NCPPB2665; SRA: SRS954086	Phaseolus vulgaris	Italy	1973	missing	"{""collected_by"":[""D. Alberto""],""collection_date"":[""1973""],""geo_loc_name"":[""Italy""],""host"":[""Phaseolus vulgaris""],""isolation_source"":[""missing""],""pathovar"":[""fuscans""],""sample_type"":[""missing""],""strain"":[""NCPPB 2665""]}"	.cache/ncbi/v2_1/efetch_1d87dd683a4b2a45cb6cf73549ea1a6c05b4fa06096e52901c1da51e76c76b7b.xml	https://www.ncbi.nlm.nih.gov/biosample/SAMN03142403	ok	
9a5a419bbd06149334ec; 5a02661bcb0f21035805	NCPPB 1654	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	NCPPB; NCPPB 1654	3142402	SAMN03142402	Xanthomonas citri pv. fuscans	366649	Microbe sample from Xanthomonas citri pv. fuscans	NCPPB 1654						BioSample: SAMN03142402; NCPPB1654; SRA: SRS954088	Phaseolus vulgaris	South Africa	1963	missing	"{""collected_by"":[""B.H. Boelema""],""collection_date"":[""1963""],""geo_loc_name"":[""South Africa""],""host"":[""Phaseolus vulgaris""],""isolation_source"":[""missing""],""pathovar"":[""fuscans""],""sample_type"":[""missing""],""strain"":[""NCPPB 1654""]}"	.cache/ncbi/v2_1/efetch_1d87dd683a4b2a45cb6cf73549ea1a6c05b4fa06096e52901c1da51e76c76b7b.xml	https://www.ncbi.nlm.nih.gov/biosample/SAMN03142402	ok	
9a5a419bbd06149334ec; b25dd3cdde976d603fe3	NCPPB 1433	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	NCPPB; NCPPB 1433	3142399	SAMN03142399	Xanthomonas citri pv. fuscans	366649	Microbe sample from Xanthomonas citri pv. fuscans	NCPPB 1433						BioSample: SAMN03142399; NCPPB1433; SRA: SRS954085	Phaseolus vulgaris	Hungary	1956	missing	"{""collected_by"":[""Z. Klement""],""collection_date"":[""1956""],""geo_loc_name"":[""Hungary""],""host"":[""Phaseolus vulgaris""],""isolation_source"":[""missing""],""pathovar"":[""fuscans""],""sample_type"":[""missing""],""strain"":[""NCPPB 1433""]}"	.cache/ncbi/v2_1/efetch_1d87dd683a4b2a45cb6cf73549ea1a6c05b4fa06096e52901c1da51e76c76b7b.xml	https://www.ncbi.nlm.nih.gov/biosample/SAMN03142399	ok	
9a5a419bbd06149334ec; a795899be0ba95f42f5c	NCPPB 381	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	NCPPB; NCPPB 381	3142398	SAMN03142398	Xanthomonas citri pv. fuscans	366649	Microbe sample from Xanthomonas citri pv. fuscans	NCPPB 381						BioSample: SAMN03142398; NCPPB381; SRA: SRS954274	Phaseolus vulgaris	Canada	1957	missing	"{""collection_date"":[""1957""],""geo_loc_name"":[""Canada""],""host"":[""Phaseolus vulgaris""],""isolation_source"":[""missing""],""pathovar"":[""fuscans""],""sample_type"":[""missing""],""strain"":[""NCPPB 381""],""type-material"":[""type strain of Xanthomonas fuscans""]}"	.cache/ncbi/v2_1/efetch_1d87dd683a4b2a45cb6cf73549ea1a6c05b4fa06096e52901c1da51e76c76b7b.xml	https://www.ncbi.nlm.nih.gov/biosample/SAMN03142398	ok	
