ncppb_number	biosample_accession	ncbi_uid	discovery_tracks	discovery_tiers	organism	taxid	biosample_host	biosample_geographic_location	biosample_collection_date	biosample_collection_year	biosample_isolation_source	matched_identifier	matched_identifier_type	identifier_strength	matched_field	evidence_class	identity_match_status	taxonomy_status	pathovar_status	identity_review_required	taxonomy_review_required	manual_review_required	decision	original_decision	reviewer_decision	reviewer_notes	reviewer_approved_for_downstream	review_reason	conflicting_ncppb_numbers	source_url
NCPPB 2930	SAMN41764005	41764005	ncppb_number	expected_genus:Sphingomonas; exact_full_identifier	Sphingomonas sp. NCPPB 2930	3162788	Sorghum bicolor	Solomon Islands	1977	1977		NCPPB 2930	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	different_lineage	observed_pathovar_unresolved	no	yes	yes	accept	accept			no	different_lineage		https://www.ncbi.nlm.nih.gov/biosample/SAMN41764005
NCPPB 1974	SAMD00538104	31049491	ncppb_number; other_references	expected_genus:Stenotrophomonas; exact_full_identifier; expected_genus:Stenotrophomonas	Stenotrophomonas maltophilia	40324		missing	missing		oropharyngeal region of patient with mouth cancer	NCPPB 1974	ncppb_number	primary	identity_aliases	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	not_applicable_no_expected_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMD00538104
NCPPB 1058	SAMN03142815	3142815	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas citri pv. fuscans	366649	Phaseolus vulgaris	Ethiopia	1961	1961	missing	NCPPB 1058	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	same_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN03142815
NCPPB 3660	SAMN03142811	3142811	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas citri pv. fuscans	366649	Phaseolus vulgaris	Brazil	1975	1975	missing	NCPPB 3660	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	same_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN03142811
NCPPB 1402	SAMN03142810	3142810	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas citri pv. fuscans	366649	Phaseolus vulgaris	Uganda	1962	1962	missing	NCPPB 1402	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	same_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN03142810
NCPPB 1056	SAMN03142809	3142809	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas citri pv. fuscans	366649	Phaseolus vulgaris	United Kingdom	1961	1961	missing	NCPPB 1056	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	same_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN03142809
NCPPB 2665	SAMN03142403	3142403	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas citri pv. fuscans	366649	Phaseolus vulgaris	Italy	1973	1973	missing	NCPPB 2665	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	same_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN03142403
NCPPB 1654	SAMN03142402	3142402	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas citri pv. fuscans	366649	Phaseolus vulgaris	South Africa	1963	1963	missing	NCPPB 1654	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	same_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN03142402
NCPPB 1433	SAMN03142399	3142399	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas citri pv. fuscans	366649	Phaseolus vulgaris	Hungary	1956	1956	missing	NCPPB 1433	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	same_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN03142399
NCPPB 381	SAMN03142398	3142398	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas citri pv. fuscans	366649	Phaseolus vulgaris	Canada	1957	1957	missing	NCPPB 381	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	same_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN03142398
NCPPB 670	SAMN03097370	3097370	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas citri pv. fuscans	366649	Phaseolus vulgaris	Uganda	1958	1958	Infected bean plant	NCPPB 670	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	same_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN03097370
NCPPB 2877	SAMN03164131	3164131	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas cannabis pv. cannabis	1885894	Cannabis sativa	Romania: Lovrin, Timis County	1974-07	1974	missing	NCPPB 2877	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_genus_different_species	same_pathovar	no	yes	yes	accept	accept			no	same_genus_different_species		https://www.ncbi.nlm.nih.gov/biosample/SAMN03164131
NCPPB 2918	SAMN57360828	57360828	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas campestris	339	Crambe	Malawi	1973	1973		NCPPB 2918	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	compatible_synonym	not_applicable_no_expected_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN57360828
NCPPB 3883	SAMN57360827	57360827	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas campestris	339	Crambe hispanica subsp. abyssinica	USA	1990	1990		NCPPB 3883	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	compatible_synonym	not_applicable_no_expected_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN57360827
NCPPB 3884	SAMN57360826	57360826	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas campestris	339	Crambe hispanica subsp. abyssinica	USA	1990	1990		NCPPB 3884	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	compatible_synonym	not_applicable_no_expected_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN57360826
