comparison	ncppb_number	record_status	field	change_class	old_value	new_value
v2_v3	NCPPB 182	changed	current_name	value_changed	Xanthomonas sp. (Cobb 1893) Vauterin et al. 1995	Xanthomonas vasicola pv. vasculorum (Cobb 1893) Vauterin et al. 1995
v2_v3	NCPPB 182	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978	Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978, Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995
v1_v3	NCPPB 182	changed	current_name	value_changed	Xanthomonas sp. (Cobb 1893) Vauterin et al. 1995	Xanthomonas vasicola pv. vasculorum (Cobb 1893) Vauterin et al. 1995
v1_v3	NCPPB 182	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978	Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978, Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995
v2_v3	NCPPB 186	changed	alternative_names	probable_v3_truncation	Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978 Xanthomonas thysanolaenae	Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978
v1_v3	NCPPB 186	changed	alternative_names	probable_v3_truncation	Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978 Xanthomonas thysanolaenae	Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978
v2_v3	NCPPB 195	changed	alternative_names	value_added		Xanthomonas campestris pv. vesicatoria (Doidge 1920) Dye 1978
v1_v3	NCPPB 195	changed	alternative_names	value_added		Xanthomonas campestris pv. vesicatoria (Doidge 1920) Dye 1978
v2_v3	NCPPB 200	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978, Xanthomonas axonopodis pv. malvacearum (Smith 1901) Vauterin et al. 1995 Xanthomonas citri subsp. malvacearum (Smith 1901) Schaad et al. 2007
v1_v3	NCPPB 200	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978, Xanthomonas axonopodis pv. malvacearum (Smith 1901) Vauterin et al. 1995 Xanthomonas citri subsp. malvacearum (Smith 1901) Schaad et al. 2007
v2_v3	NCPPB 206	changed	alternative_names	value_changed	Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978 Xanthomonas vasicola	Xanthomonas campestris pv. vasculorum (Cobb 1894) Dye 1978, Xanthomonas axonopodis pv. vasculorum (Cobb 1894) Vauterin et al. 1995, Xanthomonas vasicola pv. vasculorum (Cobb 1894) Vauterin et al. 1995 (Invalid name)
v1_v3	NCPPB 206	changed	alternative_names	value_changed	Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978 Xanthomonas vasicola	Xanthomonas campestris pv. vasculorum (Cobb 1894) Dye 1978, Xanthomonas axonopodis pv. vasculorum (Cobb 1894) Vauterin et al. 1995, Xanthomonas vasicola pv. vasculorum (Cobb 1894) Vauterin et al. 1995 (Invalid name)
v2_v3	NCPPB 210	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978, Xanthomonas axonopodis pv. malvacearum (Smith 1901) Vauterin et al. 1995, Xanthomonas citri subsp. malvacearum (Smith 1901) Schaad et al. 2007
v1_v3	NCPPB 210	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978, Xanthomonas axonopodis pv. malvacearum (Smith 1901) Vauterin et al. 1995, Xanthomonas citri subsp. malvacearum (Smith 1901) Schaad et al. 2007
v2_v3	NCPPB 211	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. citri (Hasse 1915) Dye 1979	Xanthomonas campestris pv. citri (Hasse 1915) Dye 1979, Xanthomonas axonopodis pv. citri (Hasse 1915) Vauterin et al. 1995, Xanthomonas citri subsp. citri (Hasse 1915) Gabriel et al. 1989
v1_v3	NCPPB 211	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. citri (Hasse 1915) Dye 1979	Xanthomonas campestris pv. citri (Hasse 1915) Dye 1979, Xanthomonas axonopodis pv. citri (Hasse 1915) Vauterin et al. 1995, Xanthomonas citri subsp. citri (Hasse 1915) Gabriel et al. 1989
v2_v3	NCPPB 212	changed	alternative_names	value_added		Xanthomonas campestris pv. mangiferaeindicae (Patel et al. 1948) Robbs, Ribeiro & Kimura 1974, Xanthomonas axonopodis pv. mangiferaeindicae (Patel et al. 1948) Ah-You et al. 2007
v1_v3	NCPPB 212	changed	alternative_names	value_added		Xanthomonas campestris pv. mangiferaeindicae (Patel et al. 1948) Robbs, Ribeiro & Kimura 1974, Xanthomonas axonopodis pv. mangiferaeindicae (Patel et al. 1948) Ah-You et al. 2007
