ncppb_number	current_name_raw	canonical_name	name_as_received	alternative_names	expected_genus	expected_taxid	host	country	other_references_raw	catalogue_url	source_snapshot_sha256	record_html_start	record_html_end
NCPPB 45	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas campestris	Xanthomonas campestris (Pammel 1895) Dowson 1939		Xanthomonas		Brassica napus	UK	This isolate was isolated by W.J. Dowson	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=45		6471	9201
NCPPB 101	Xanthomonas cassavae (ex Wiehe & Dowson 1953) Vauterin et al. 1995	Xanthomonas cassavae	Xanthomonas cassavae	Xanthomonas campestris pv. cassavae (Wiehe & Dowson 1953) Maraite and Weyns 1979	Xanthomonas		Manihot esculenta	Malawi	This isolate is also in the collections; ICMP 204, LMG 673, DSM 18958	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=101		9201	12459
NCPPB 109	Xanthomonas axonopodis pv. begoniae (Takimoto 1934) Vauterin et al. 1995	Xanthomonas axonopodis	Xanthomonas begoniae Takimoto 1934	Xanthomonas campestris pv. begoniae (Takimoto 1934) Dye 1978	Xanthomonas		Begonia sp.	UK		https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=109		12459	15639
NCPPB 113	Xanthomonas axonopodis pv. ricini (Yoshi & Takimoto 1928) Vauterin et al. 1995	Xanthomonas axonopodis	X. ricinicola.	Xanthomonas campestris pv. ricini (Yoshi & T akimoto 1928) Dye 1978	Xanthomonas			Uganda		https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=113		15639	18829
NCPPB 151	Xanthomonas campestris pv. papavericola (Bryan and McWhorter 1930) Dye 1978	Xanthomonas campestris			Xanthomonas		Argemone sp.	Mauritius		https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=151		18829	21253
NCPPB 174	Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995	Xanthomonas axonopodis	Xanthomonas vasculorum (Cobb 1893) Dowson 1939	Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978	Xanthomonas					https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=174		21253	23992
NCPPB 181	Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995	Xanthomonas axonopodis	Xanthomonas vasculorum (Cobb 1893) Dowson 1939	Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978	Xanthomonas			Australia		https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=181		23992	27216
NCPPB 182	Xanthomonas sp. (Cobb 1893) Vauterin et al. 1995	Xanthomonas sp	Xanthomonas vasculorum (Cobb 1893) Dowson 1939	Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978	Xanthomonas		Saccharum officinarum	Puerto Rico	"This isolate is also in the collections; ATCC 13901, ICMP 305, LMG 896
The source of this isolate was ex M.T. Cook"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=182		27216	30777
NCPPB 184	Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995	Xanthomonas axonopodis	Xanthomonas vasculorum (Cobb 1893) Dowson 1939	Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978	Xanthomonas		Saccharum officinarum	Mauritius	This isolate is also in the collections; ATCC 13902, ICPB XV101	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=184		30777	34311
NCPPB 185	Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995	Xanthomonas axonopodis	Xanthomonas vasculorum (Cobb 1893) Dowson 1939	Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978	Xanthomonas		Dictyospermaalbum	Mauritius		https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=185		34311	37772
