ncppb_number	presence_pattern	v1_present	v2_present	v3_present	v1_v2_status	v2_v3_status	v1_v3_status	v1_v2_changed_fields	v2_v3_changed_fields	v1_v3_changed_fields	v1_current_name	v2_current_name	v3_current_name	latest_catalogue_url
NCPPB 45	v1+v2+v3	yes	yes	yes	unchanged	unchanged	unchanged				Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	https://ncppb.fera.co.uk/furtherinfo/45
NCPPB 101	v1+v2+v3	yes	yes	yes	unchanged	unchanged	unchanged				Xanthomonas cassavae (ex Wiehe & Dowson 1953) Vauterin et al. 1995	Xanthomonas cassavae (ex Wiehe & Dowson 1953) Vauterin et al. 1995	Xanthomonas cassavae (ex Wiehe & Dowson 1953) Vauterin et al. 1995	https://ncppb.fera.co.uk/furtherinfo/101
NCPPB 109	v1+v2+v3	yes	yes	yes	unchanged	unchanged	unchanged				Xanthomonas axonopodis pv. begoniae (Takimoto 1934) Vauterin et al. 1995	Xanthomonas axonopodis pv. begoniae (Takimoto 1934) Vauterin et al. 1995	Xanthomonas axonopodis pv. begoniae (Takimoto 1934) Vauterin et al. 1995	https://ncppb.fera.co.uk/furtherinfo/109
NCPPB 113	v1+v2+v3	yes	yes	yes	unchanged	unchanged	unchanged				Xanthomonas axonopodis pv. ricini (Yoshi & Takimoto 1928) Vauterin et al. 1995	Xanthomonas axonopodis pv. ricini (Yoshi & Takimoto 1928) Vauterin et al. 1995	Xanthomonas axonopodis pv. ricini (Yoshi & Takimoto 1928) Vauterin et al. 1995	https://ncppb.fera.co.uk/furtherinfo/113
NCPPB 151	v1+v2+v3	yes	yes	yes	unchanged	unchanged	unchanged				Xanthomonas campestris pv. papavericola (Bryan and McWhorter 1930) Dye 1978	Xanthomonas campestris pv. papavericola (Bryan and McWhorter 1930) Dye 1978	Xanthomonas campestris pv. papavericola (Bryan and McWhorter 1930) Dye 1978	https://ncppb.fera.co.uk/furtherinfo/151
NCPPB 174	v1+v2+v3	yes	yes	yes	unchanged	unchanged	unchanged				Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995	Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995	Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995	https://ncppb.fera.co.uk/furtherinfo/174
NCPPB 181	v1+v2+v3	yes	yes	yes	unchanged	unchanged	unchanged				Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995	Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995	Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995	https://ncppb.fera.co.uk/furtherinfo/181
NCPPB 182	v1+v2+v3	yes	yes	yes	unchanged	changed	changed		current_name; alternative_names	current_name; alternative_names	Xanthomonas sp. (Cobb 1893) Vauterin et al. 1995	Xanthomonas sp. (Cobb 1893) Vauterin et al. 1995	Xanthomonas vasicola pv. vasculorum (Cobb 1893) Vauterin et al. 1995	https://ncppb.fera.co.uk/furtherinfo/182
NCPPB 184	v1+v2+v3	yes	yes	yes	unchanged	unchanged	unchanged				Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995	Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995	Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995	https://ncppb.fera.co.uk/furtherinfo/184
NCPPB 185	v1+v2+v3	yes	yes	yes	unchanged	unchanged	unchanged				Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995	Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995	Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995	https://ncppb.fera.co.uk/furtherinfo/185
