ncppb_number	snapshot_status	ncppb_current_name	expected_genus	scope_status	catalogue_host	catalogue_country	ncbi_biosample_match_count	ncbi_assembly_count	ncbi_sra_run_count	ncbi_bioproject_count	ncbi_sequence_resource_count	ncbi_record_match_count	ncbi_eligible_assembly_count	ncbi_eligible_sra_run_count	ncbi_eligible_sequence_resource_count	ncbi_taxonomy_blocked_resource_count	has_confirmed_ncbi_data	ncbi_data_status	sequence_availability_category	phylogeny_readiness	manual_review_required	confirmed_biosample_accessions	linked_assembly_accessions	linked_sra_run_accessions	assembly_accessions	sra_run_accessions	bioproject_accessions	taxonomy_blocked_biosample_accessions
NCPPB 45	present_in_both	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas	current_xanthomonas	Brassica napus	UK	1	1	1	1	2	4	1	1	2	0	yes	confirmed_sequence_available	draft_assembly_available	assembly_available_qc_required	no	SAMN36346970	GCA_035026565.1	SRR25183331	GCA_035026565.1	SRR25183331	PRJNA988133	
NCPPB 101	present_in_both	Xanthomonas cassavae (ex Wiehe & Dowson 1953) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	Manihot esculenta	Malawi	1	1	1	3	2	6	1	1	2	0	yes	confirmed_sequence_available	draft_assembly_available	assembly_available_qc_required	no	SAMN22555467	GCF_020783895.1	SRR22272561	GCF_020783895.1	SRR22272561	PRJNA774146	
NCPPB 109	present_in_both	Xanthomonas axonopodis pv. begoniae (Takimoto 1934) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	Begonia sp.	UK	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 113	present_in_both	Xanthomonas axonopodis pv. ricini (Yoshi & Takimoto 1928) Vauterin et al. 1995	Xanthomonas	current_xanthomonas		Uganda	1	1	2	3	3	7	1	2	3	0	yes	confirmed_sequence_available	draft_assembly_available	assembly_available_qc_required	no	SAMN42178446	GCF_053571385.1	SRR29654663; SRR30041332	GCF_053571385.1	SRR29654663; SRR30041332	PRJNA1129907	
NCPPB 151	present_in_both	Xanthomonas campestris pv. papavericola (Bryan and McWhorter 1930) Dye 1978	Xanthomonas	current_xanthomonas	Argemone sp.	Mauritius	1	0	2	1	2	4	0	2	2	0	yes	confirmed_sequence_available	raw_reads_only	raw_wgs_reads_require_assembly_and_qc	no	SAMN56511362		SRR37629063; SRR37789880		SRR37629063; SRR37789880	PRJNA1437458	
NCPPB 174	present_in_both	Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995	Xanthomonas	current_xanthomonas			0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 181	present_in_both	Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995	Xanthomonas	current_xanthomonas		Australia	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 182	present_in_both	Xanthomonas sp. (Cobb 1893) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	Saccharum officinarum	Puerto Rico	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 184	present_in_both	Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	Saccharum officinarum	Mauritius	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 185	present_in_both	Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	Dictyospermaalbum	Mauritius	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
