ncppb_number	identifier_raw	identifier_normalized	identifier_type	clause_type	clause_order	source_start	source_end	normalization_status	validation_status	identifier_strength	risk_level	search_eligible	review_reason	collision_strain_count	collision_strains	reviewer_decision	reviewer_notes
NCPPB 208	PC5	PC5	isolate_code	isolated_by	1	38	41	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 208		
NCPPB 273	B67	B67	isolate_code	source_of_isolate	1	45	48	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 273		
NCPPB 290	38/2	382	donor_reference	donor_reference	1	23	27	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 290		
NCPPB 302	XP 8	XP8	donor_reference	donor_reference	1	23	27	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 302		
NCPPB 381	ZK4	ZK4	donor_reference	donor_reference	1	23	26	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 381		
NCPPB 404	Q2	Q2	isolate_code	isolated_by	1	38	40	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 404		
NCPPB 405	R1	R1	isolate_code	isolated_by	1	38	40	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 405		
NCPPB 406	R	R	donor_reference	donor_reference	1	23	24	comparison_only_no_source_edit	review_required	weak	high	no	digit_free_donor_reference_requires_review_before_search	1	NCPPB 406		
NCPPB 406	R2	R2	isolate_code	isolated_by	2	63	65	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 406		
NCPPB 407	R3	R3	isolate_code	isolated_by	1	38	40	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 407		
NCPPB 408	R4	R4	isolate_code	isolated_by	1	38	40	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 408		
NCPPB 409	R5	R5	isolate_code	isolated_by	2	107	109	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 409		
NCPPB 410	R6	R6	isolate_code	isolated_by	1	38	40	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 410		
NCPPB 411	S3	S3	donor_reference	donor_reference	1	23	25	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 411		
NCPPB 412	S6	S6	isolate_code	isolated_by	1	38	40	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 412		
NCPPB 414	S10	S10	isolate_code	isolated_by	1	38	41	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 414		
NCPPB 415	S12	S12	isolate_code	isolated_by	1	38	41	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 415		
NCPPB 418	T6	T6	isolate_code	isolated_by	1	38	40	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 418		
NCPPB 419	T7	T7	isolate_code	isolated_by	1	38	40	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 419		
NCPPB 420	T8	T8	isolate_code	isolated_by	1	38	40	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 420		
NCPPB 421	T9	T9	isolate_code	isolated_by	1	38	40	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 421		
NCPPB 422	X1	X1	isolate_code	isolated_by	2	108	110	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 422		
NCPPB 423	X3	X3	isolate_code	isolated_by	2	96	98	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 423		
NCPPB 424	X4	X4	isolate_code	isolated_by	2	96	98	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 424		
NCPPB 425	ZC1	ZC1	donor_reference	donor_reference	1	23	26	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 425		
NCPPB 490	18	18	donor_reference	donor_reference	1	23	25	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 490		
NCPPB 509	391	391	donor_reference	donor_reference	1	23	26	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 509		
NCPPB 510	392	392	donor_reference	donor_reference	1	23	26	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 510		
NCPPB 526	412	412	donor_reference	donor_reference	1	23	26	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 526		
NCPPB 528	P25	P25	isolate_code	isolated_by	2	122	125	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 528		
NCPPB 582	LMG 867	LMG867	collection_number	collection_list	1	63	70	comparison_only_no_source_edit	review_required	strong	high	no	identifier_collision	2	NCPPB 1758; NCPPB 582		
