review_priority	ncppb_number	ncppb_current_name	biosample_accession	organism	automatic_decision	matched_identifier	matched_identifier_type	matched_field	evidence_class	taxonomy_status	pathovar_status	review_reason	biosample_url	review_question	reviewer_decision	reviewer_notes
P1	NCPPB 646	Xanthomonas axonopodis pv. khayae (Sabet 1959) Vauterin et al. 1995	SAMN03175008	Xanthomonas phaseoli pv. phaseoli	review	NCPPB 646	ncppb_number	identifiers	structured_exact_identifier	same_genus_different_species	pathovar_mismatch	conflicting_ncppb_identifier	https://www.ncbi.nlm.nih.gov/biosample/SAMN03175008	Does the BioSample refer to this NCPPB strain despite containing another NCPPB number?		
P1	NCPPB 1607	Xanthomonas arboricola pv. pruni (Smith 1903) Vauterin et al. 1995	SAMEA104068692	Xanthomonas fragariae	review	B2165	donor_reference	culture_collection	structured_exact_identifier	same_genus_different_species	observed_pathovar_unresolved	conflicting_ncppb_identifier	https://www.ncbi.nlm.nih.gov/biosample/SAMEA104068692	Does the BioSample refer to this NCPPB strain despite containing another NCPPB number?		
P1	NCPPB 1646	Xanthomonas phaseoli pv. phaseoli (Smith 1897) Constantin et al. 2016 comb. nov.	SAMN03175008	Xanthomonas phaseoli pv. phaseoli	review	NCPPB 1646	ncppb_number	strain	structured_exact_identifier	same_name	same_pathovar	conflicting_ncppb_identifier	https://www.ncbi.nlm.nih.gov/biosample/SAMN03175008	Does the BioSample refer to this NCPPB strain despite containing another NCPPB number?		
P1	NCPPB 2217	Xylophilus ampelinus (Panagopoulos 1969) Willems et al. 1987	SAMN56511392	Staphylococcus aureus	accept	NCPPB 2217	ncppb_number	strain	structured_exact_identifier	different_lineage	not_applicable_no_expected_pathovar	different_lineage	https://www.ncbi.nlm.nih.gov/biosample/SAMN56511392	Is the lineage difference a documented taxonomic revision or a wrong strain link?		
P1	NCPPB 2820	Xanthomonas translucens pv. translucens (Jones et al. 1917) Vauterin et al. 1995	SAMN41996496	Xanthomonas arboricola pv. corylina	review	5262	donor_reference	bio_material	structured_exact_identifier	same_genus_different_species	pathovar_mismatch	conflicting_ncppb_identifier	https://www.ncbi.nlm.nih.gov/biosample/SAMN41996496	Does the BioSample refer to this NCPPB strain despite containing another NCPPB number?		
P1	NCPPB 2930	Xanthomonas vasicola pv. holcicola (Elliott 1930) Vauterin et al. 1995	SAMN41764005	Sphingomonas sp. NCPPB 2930	accept	NCPPB 2930	ncppb_number	strain	structured_exact_identifier	different_lineage	observed_pathovar_unresolved	different_lineage	https://www.ncbi.nlm.nih.gov/biosample/SAMN41764005	Is the lineage difference a documented taxonomic revision or a wrong strain link?		
P1	NCPPB 3059	Xanthomonas phaseoli pv. manihotis (Bondar 1912) Constantin et al. 2016 comb. nov.	SAMEA247356	Ralstonia solanacearum	accept	NCPPB 3059	ncppb_number	strain	structured_exact_identifier	different_lineage	observed_pathovar_unresolved	different_lineage	https://www.ncbi.nlm.nih.gov/biosample/SAMEA247356	Is the lineage difference a documented taxonomic revision or a wrong strain link?		
P1	NCPPB 3059	Xanthomonas phaseoli pv. manihotis (Bondar 1912) Constantin et al. 2016 comb. nov.	SAMEA4156338	Ralstonia solanacearum	accept	NCPPB 3059	ncppb_number	strain	structured_exact_identifier	different_lineage	observed_pathovar_unresolved	different_lineage	https://www.ncbi.nlm.nih.gov/biosample/SAMEA4156338	Is the lineage difference a documented taxonomic revision or a wrong strain link?		
P1	NCPPB 4375	Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov.	SAMN56511363	Xanthomonas axonopodis pv. nakataecorchori	review	1594	donor_reference	strain	structured_exact_identifier	compatible_synonym	pathovar_mismatch	conflicting_ncppb_identifier	https://www.ncbi.nlm.nih.gov/biosample/SAMN56511363	Does the BioSample refer to this NCPPB strain despite containing another NCPPB number?		
P2	NCPPB 230	Xanthomonas hortorum pv. carotae (Kendrick 1934) Vauterin et al. 1995	SAMN40354569	Xanthomonas sp. WHRI 8391	accept	NCPPB 230	ncppb_number	identity_aliases	structured_exact_identifier	same_genus_different_species	observed_pathovar_unresolved	same_genus_different_species	https://www.ncbi.nlm.nih.gov/biosample/SAMN40354569	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 381	Xanthomonas citri pv. fuscans (Schaad et al. 2007) Constantin et al. 2016 comb. nov.	SAMN06829306	Xanthomonas citri pv. phaseoli var. fuscans	accept	CFBP 6165	collection_number	strain	structured_exact_identifier	same_name	pathovar_mismatch	pathovar_mismatch	https://www.ncbi.nlm.nih.gov/biosample/SAMN06829306	Is the pathovar difference a documented relabeling, or does it indicate the wrong strain record?		
P2	NCPPB 425	Xanthomonas hortorum pv. carotae (Kendrick 1934) Vauterin et al. 1995	SAMN40354566	Xanthomonas sp. WHRI 8338	accept	NCPPB 425	ncppb_number	identity_aliases	structured_exact_identifier	same_genus_different_species	observed_pathovar_unresolved	same_genus_different_species	https://www.ncbi.nlm.nih.gov/biosample/SAMN40354566	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 481	Xanthomonas axonopodis pv. desmodii (Patel 1949) Vauterin et al. 1995	SAMN42278566	Xanthomonas axonopodis pv. biophyti	accept	NCPPB 481	ncppb_number	strain	structured_exact_identifier	same_name	pathovar_mismatch	pathovar_mismatch	https://www.ncbi.nlm.nih.gov/biosample/SAMN42278566	Is the pathovar difference a documented relabeling, or does it indicate the wrong strain record?		
P2	NCPPB 556	Xanthomonas axonopodis Starr & Garcés 1950	SAMN56511388	Xanthomonas citri	accept	NCPPB 556	ncppb_number	strain	structured_exact_identifier	same_genus_different_species	observed_pathovar_unresolved	same_genus_different_species	https://www.ncbi.nlm.nih.gov/biosample/SAMN56511388	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 557	Xanthomonas axonopodis (Smith 1897) Vauterin et al.1995	SAMN56511389	Xanthomonas citri	accept	NCPPB 557	ncppb_number	strain	structured_exact_identifier	same_genus_different_species	observed_pathovar_unresolved	same_genus_different_species	https://www.ncbi.nlm.nih.gov/biosample/SAMN56511389	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 575	Xanthomonas euvesicatoria pv. clerodendri (Patel et al. 1952) Harrison et al. 2023	SAMN19988990	Xanthomonas campestris pv. clerodendri	accept	NCPPB 575	ncppb_number	strain	structured_exact_identifier	same_genus_different_species	same_pathovar	same_genus_different_species	https://www.ncbi.nlm.nih.gov/biosample/SAMN19988990	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 579	Xanthomonas euvesicatoria pv. lawsoniae (Patel et al. 1951) Harrison et al. 2023	SAMN19988991	Xanthomonas campestris pv. lawsoniae	accept	NCPPB 579	ncppb_number	strain	structured_exact_identifier	same_genus_different_species	same_pathovar	same_genus_different_species	https://www.ncbi.nlm.nih.gov/biosample/SAMN19988991	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 585	Xanthomonas citri pv. trichodesmae (Patel et al.1952) Harrison et al. 2023	SAMN19988994	Xanthomonas campestris pv. trichodesmae	accept	NCPPB 585	ncppb_number	strain	structured_exact_identifier	same_genus_different_species	same_pathovar	same_genus_different_species	https://www.ncbi.nlm.nih.gov/biosample/SAMN19988994	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
