query_id	ncppb_number	query_track	query_tier	identifier_raw	identifier_normalized	identifier_type	identifier_strength	expected_genus	retrieval_strategy	query_variants_json	local_match_variants_json	ncbi_database	query_term	page_size	max_records
56785621d2607b3f7f43	ALL_NCPPB	ncppb_number	expected_genus:Pseudomonas	NCPPB	NCPPB	ncppb_prefix_harvest	primary	Pseudomonas	trusted_prefix_harvest_then_structured_exact_local_mapping	"[""NCPPB""]"	"[""NCPPB {number}"",""NCPPB{number}"",""NCPPB:{number}""]"	biosample	"NCPPB[All Fields] AND ""Pseudomonas""[Organism]"	5000	10000
fdd998afce0c22f2caea	ALL_NCPPB	ncppb_number	expected_genus:Sphingomonas	NCPPB	NCPPB	ncppb_prefix_harvest	primary	Sphingomonas	trusted_prefix_harvest_then_structured_exact_local_mapping	"[""NCPPB""]"	"[""NCPPB {number}"",""NCPPB{number}"",""NCPPB:{number}""]"	biosample	"NCPPB[All Fields] AND ""Sphingomonas""[Organism]"	5000	10000
89f15bc2014630205e1e	ALL_NCPPB	ncppb_number	expected_genus:Stenotrophomonas	NCPPB	NCPPB	ncppb_prefix_harvest	primary	Stenotrophomonas	trusted_prefix_harvest_then_structured_exact_local_mapping	"[""NCPPB""]"	"[""NCPPB {number}"",""NCPPB{number}"",""NCPPB:{number}""]"	biosample	"NCPPB[All Fields] AND ""Stenotrophomonas""[Organism]"	5000	10000
9a5a419bbd06149334ec	ALL_NCPPB	ncppb_number	expected_genus:Xanthomonas	NCPPB	NCPPB	ncppb_prefix_harvest	primary	Xanthomonas	trusted_prefix_harvest_then_structured_exact_local_mapping	"[""NCPPB""]"	"[""NCPPB {number}"",""NCPPB{number}"",""NCPPB:{number}""]"	biosample	"NCPPB[All Fields] AND ""Xanthomonas""[Organism]"	5000	10000
8d528e1373ed952b204f	ALL_NCPPB	ncppb_number	expected_genus:Xylophilus	NCPPB	NCPPB	ncppb_prefix_harvest	primary	Xylophilus	trusted_prefix_harvest_then_structured_exact_local_mapping	"[""NCPPB""]"	"[""NCPPB {number}"",""NCPPB{number}"",""NCPPB:{number}""]"	biosample	"NCPPB[All Fields] AND ""Xylophilus""[Organism]"	5000	10000
73c0b5fd40862afb8c1c	ALL_NCPPB	ncppb_number	unfiltered_fallback	NCPPB	NCPPB	ncppb_prefix_harvest	primary		trusted_prefix_harvest_then_structured_exact_local_mapping	"[""NCPPB""]"	"[""NCPPB {number}"",""NCPPB{number}"",""NCPPB:{number}""]"	biosample	NCPPB[All Fields]	5000	10000
4df90705532931103d54	NCPPB 45	ncppb_number	exact_full_identifier	NCPPB 45	NCPPB45	ncppb_number	primary	Xanthomonas	full_ncppb_identifier_variants_then_structured_exact_local_validation	"[""NCPPB 45"",""NCPPB45"",""NCPPB:45""]"	"[""NCPPB 45"",""NCPPB45"",""NCPPB:45""]"	biosample	"(""NCPPB 45""[Text Word] OR ""NCPPB45""[Text Word] OR ""NCPPB:45""[Text Word])"	100	500
fb388d3b532d07057689	NCPPB 101	ncppb_number	exact_full_identifier	NCPPB 101	NCPPB101	ncppb_number	primary	Xanthomonas	full_ncppb_identifier_variants_then_structured_exact_local_validation	"[""NCPPB 101"",""NCPPB101"",""NCPPB:101""]"	"[""NCPPB 101"",""NCPPB101"",""NCPPB:101""]"	biosample	"(""NCPPB 101""[Text Word] OR ""NCPPB101""[Text Word] OR ""NCPPB:101""[Text Word])"	100	500
d0fa3e2697fab0bcb58f	NCPPB 109	ncppb_number	exact_full_identifier	NCPPB 109	NCPPB109	ncppb_number	primary	Xanthomonas	full_ncppb_identifier_variants_then_structured_exact_local_validation	"[""NCPPB 109"",""NCPPB109"",""NCPPB:109""]"	"[""NCPPB 109"",""NCPPB109"",""NCPPB:109""]"	biosample	"(""NCPPB 109""[Text Word] OR ""NCPPB109""[Text Word] OR ""NCPPB:109""[Text Word])"	100	500
c71a46c44f94f36c66da	NCPPB 113	ncppb_number	exact_full_identifier	NCPPB 113	NCPPB113	ncppb_number	primary	Xanthomonas	full_ncppb_identifier_variants_then_structured_exact_local_validation	"[""NCPPB 113"",""NCPPB113"",""NCPPB:113""]"	"[""NCPPB 113"",""NCPPB113"",""NCPPB:113""]"	biosample	"(""NCPPB 113""[Text Word] OR ""NCPPB113""[Text Word] OR ""NCPPB:113""[Text Word])"	100	500
3d22eefe426698a5ab0a	NCPPB 151	ncppb_number	exact_full_identifier	NCPPB 151	NCPPB151	ncppb_number	primary	Xanthomonas	full_ncppb_identifier_variants_then_structured_exact_local_validation	"[""NCPPB 151"",""NCPPB151"",""NCPPB:151""]"	"[""NCPPB 151"",""NCPPB151"",""NCPPB:151""]"	biosample	"(""NCPPB 151""[Text Word] OR ""NCPPB151""[Text Word] OR ""NCPPB:151""[Text Word])"	100	500
4a51f2f4599bdf83a6d1	NCPPB 174	ncppb_number	exact_full_identifier	NCPPB 174	NCPPB174	ncppb_number	primary	Xanthomonas	full_ncppb_identifier_variants_then_structured_exact_local_validation	"[""NCPPB 174"",""NCPPB174"",""NCPPB:174""]"	"[""NCPPB 174"",""NCPPB174"",""NCPPB:174""]"	biosample	"(""NCPPB 174""[Text Word] OR ""NCPPB174""[Text Word] OR ""NCPPB:174""[Text Word])"	100	500
3f16812ff653fcce3d2e	NCPPB 181	ncppb_number	exact_full_identifier	NCPPB 181	NCPPB181	ncppb_number	primary	Xanthomonas	full_ncppb_identifier_variants_then_structured_exact_local_validation	"[""NCPPB 181"",""NCPPB181"",""NCPPB:181""]"	"[""NCPPB 181"",""NCPPB181"",""NCPPB:181""]"	biosample	"(""NCPPB 181""[Text Word] OR ""NCPPB181""[Text Word] OR ""NCPPB:181""[Text Word])"	100	500
b6ba102061826a27636d	NCPPB 182	ncppb_number	exact_full_identifier	NCPPB 182	NCPPB182	ncppb_number	primary	Xanthomonas	full_ncppb_identifier_variants_then_structured_exact_local_validation	"[""NCPPB 182"",""NCPPB182"",""NCPPB:182""]"	"[""NCPPB 182"",""NCPPB182"",""NCPPB:182""]"	biosample	"(""NCPPB 182""[Text Word] OR ""NCPPB182""[Text Word] OR ""NCPPB:182""[Text Word])"	100	500
ef8961f4db0089510ec0	NCPPB 184	ncppb_number	exact_full_identifier	NCPPB 184	NCPPB184	ncppb_number	primary	Xanthomonas	full_ncppb_identifier_variants_then_structured_exact_local_validation	"[""NCPPB 184"",""NCPPB184"",""NCPPB:184""]"	"[""NCPPB 184"",""NCPPB184"",""NCPPB:184""]"	biosample	"(""NCPPB 184""[Text Word] OR ""NCPPB184""[Text Word] OR ""NCPPB:184""[Text Word])"	100	500
6c4221c88f7051dfe69f	NCPPB 185	ncppb_number	exact_full_identifier	NCPPB 185	NCPPB185	ncppb_number	primary	Xanthomonas	full_ncppb_identifier_variants_then_structured_exact_local_validation	"[""NCPPB 185"",""NCPPB185"",""NCPPB:185""]"	"[""NCPPB 185"",""NCPPB185"",""NCPPB:185""]"	biosample	"(""NCPPB 185""[Text Word] OR ""NCPPB185""[Text Word] OR ""NCPPB:185""[Text Word])"	100	500
308d78ef14e62606129c	NCPPB 186	ncppb_number	exact_full_identifier	NCPPB 186	NCPPB186	ncppb_number	primary	Xanthomonas	full_ncppb_identifier_variants_then_structured_exact_local_validation	"[""NCPPB 186"",""NCPPB186"",""NCPPB:186""]"	"[""NCPPB 186"",""NCPPB186"",""NCPPB:186""]"	biosample	"(""NCPPB 186""[Text Word] OR ""NCPPB186""[Text Word] OR ""NCPPB:186""[Text Word])"	100	500
bfc47278172837a7a2d1	NCPPB 187	ncppb_number	exact_full_identifier	NCPPB 187	NCPPB187	ncppb_number	primary	Xanthomonas	full_ncppb_identifier_variants_then_structured_exact_local_validation	"[""NCPPB 187"",""NCPPB187"",""NCPPB:187""]"	"[""NCPPB 187"",""NCPPB187"",""NCPPB:187""]"	biosample	"(""NCPPB 187""[Text Word] OR ""NCPPB187""[Text Word] OR ""NCPPB:187""[Text Word])"	100	500
