requested_ncppb_number	returned_ncppb_number	crawl_status	current_name	name_as_received	alternative_names	country	host	year_added	year_isolated	donated_by	donors_reference	isolated_by	source_if_not_isolated_by_donor	other_collections_with_this_strain	type_strain_of_species	pathotype_strain	media	reference	pathogenicity_confirmed	australia_group	detail_url	fields_json
NCPPB 182	NCPPB 182	ok	Xanthomonas vasicola pv. vasculorum (Cobb 1893) Vauterin et al. 1995	Xanthomonas vasculorum (Cobb 1893) Dowson 1939	Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978 Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995	Puerto Rico	Saccharum officinarum	1946	1933	ICPB XVl			ex M.T. Cook	ATCC 13901, ICMP 305, LMG 896	No	No	ND,YDC		No	No	https://ncppb.fera.co.uk/furtherinfo/182	"{""Australia group"":""No"",""Country"":""Puerto Rico"",""Donated by"":""ICPB XVl"",""Host"":""Saccharum officinarum"",""Media"":""ND,YDC"",""Name as received"":""Xanthomonas vasculorum (Cobb 1893) Dowson 1939"",""Other collections with this strain (ref no)"":""ATCC 13901, ICMP 305, LMG 896"",""Other name(s)"":""Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978 Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995"",""Pathogenicity confirmed"":""No"",""Pathotype strain"":""No"",""Source (if not isolated by donor)"":""ex M.T. Cook"",""Type strain of the species"":""No"",""Year Isolated"":""1933"",""Year added"":""1946""}"
NCPPB 225	NCPPB 225	ok	Pseudomonas syringae pv. dysoxyli (Hutchinson 1949) Young, Dye & Wilkie 1978	Pseudomonas dysoxyli	Pseudomonas dysoxyli	New Zealand (Auckland)	Dysoxylum spectabile (Forst.f.) Hook.f. (Kohekohe	1949		DSIRNZ				ATCC 19863, ICMP 545, LMG 5662, CFBP 2356	No	Yes	KB,NA,SNA	Young, J. M.; Wilkie, J. P.; Park, D.-C.; Watson, D. R. W. (2010)New Zealand strains of plant pathogenic bacteria classified by multi-locus sequence analysis; proposal ofXanthomonas dyeisp. nov.Plant Pathology59(2)270-281. DOI: 10.1111/j.1365-3059.2009.02210.x Young, J.M.; Triggs, C.M. (1994)Evaluation of determinative tests for pathovars of Pseudomonas syringae van Hall 1902.Journal of Applied Bacteriology77(2)195-207. DOI: 10.1111/j.1365-2672.1994.tb03064.x Visnovsky, Sandra B.; Panda, Preeti; Everett, Kerry R.; Lu, Ashley; Butler, Ruth C.; Taylor, Robert K.; Pitman, Andrew R. (2020)A PCR diagnostic assay for rapid detection of plant pathogenic pseudomonads.Plant Pathology69(7)1311-1330. DOI: 10.1111/ppa.13204 Ferreira-Tonin, Mariana; Rodrigues-Neto, Júlio; Harakava, Ricardo; Destéfano, Suzete Aparecida Lanza (2012)Phylogenetic analysis of Xanthomonas based on partial rpoB gene sequences and species differentiation by PCR-RFLP. International Journal of Systematic and Evolutionar	No	No	https://ncppb.fera.co.uk/furtherinfo/225	"{""Australia group"":""No"",""Country"":""New Zealand (Auckland)"",""Donated by"":""DSIRNZ"",""Host"":""Dysoxylum spectabile (Forst.f.) Hook.f. (Kohekohe"",""Media"":""KB,NA,SNA"",""Name as received"":""Pseudomonas dysoxyli"",""Other collections with this strain (ref no)"":""ATCC 19863, ICMP 545, LMG 5662, CFBP 2356"",""Other name(s)"":""Pseudomonas dysoxyli"",""Pathogenicity confirmed"":""No"",""Pathotype strain"":""Yes"",""Reference"":""Young, J. M.; Wilkie, J. P.; Park, D.-C.; Watson, D. R. W. (2010)New Zealand strains of plant pathogenic bacteria classified by multi-locus sequence analysis; proposal ofXanthomonas dyeisp. nov.Plant Pathology59(2)270-281. DOI: 10.1111/j.1365-3059.2009.02210.x Young, J.M.; Triggs, C.M. (1994)Evaluation of determinative tests for pathovars of Pseudomonas syringae van Hall 1902.Journal of Applied Bacteriology77(2)195-207. DOI: 10.1111/j.1365-2672.1994.tb03064.x Visnovsky, Sandra B.; Panda, Preeti; Everett, Kerry R.; Lu, Ashley; Butler, Ruth C.; Taylor, Robert K.; Pitman, Andrew R. (2020)A PCR diagnostic assay for rapid detection of plant pathogenic pseudomonads.Plant Pathology69(7)1311-1330. DOI: 10.1111/ppa.13204 Ferreira-Tonin, Mariana; Rodrigues-Neto, Júlio; Harakava, Ricardo; Destéfano, Suzete Aparecida Lanza (2012)Phylogenetic analysis of Xanthomonas based on partial rpoB gene sequences and species differentiation by PCR-RFLP. International Journal of Systematic and Evolutionar"",""Type strain of the species"":""No"",""Year added"":""1949""}"
NCPPB 245	NCPPB 245	ok	Serratia proteamaculans (Paine and Stansfield 1919) Grimont, Grimont & Starr 1978	Xanthomonas proteamaculans	Erwinia proteamaculans (Paine and Stansfield 1919) Dye 1966	UK	Protea cynaroides	1920		NCTC 394		ex S.G. Paine		ATCC 19323	Yes	No		Dye, D.W. 1969. N. Z. J. Sci. 12: 833	No	No	https://ncppb.fera.co.uk/furtherinfo/245	"{""Australia group"":""No"",""Country"":""UK"",""Donated by"":""NCTC 394"",""Host"":""Protea cynaroides"",""Isolated by"":""ex S.G. Paine"",""Media"":""NA"",""Name as received"":""Xanthomonas proteamaculans"",""Other collections with this strain (ref no)"":""ATCC 19323"",""Other name(s)"":""Erwinia proteamaculans (Paine and Stansfield 1919) Dye 1966"",""Pathogenicity confirmed"":""No"",""Pathotype strain"":""No"",""Reference"":""Dye, D.W. 1969. N. Z. J. Sci. 12: 833"",""Type strain of the species"":""Yes"",""Year added"":""1920""}"
NCPPB 272	NCPPB 1272	unexpected_record	Erwinia amylovora (Burrill 1882) Winslow et al. 1920 emend. Hauben et al. 1999	Erwinia amylovora (Burrill 1882) Winslow et al. 1920	Erwinia amylovora (Burrill 1882) Winslow et al. 1920	UK	Malus sylvestris	1962	1962			L.A.E. Baker 425			No	No	NA,SNA		No	No	https://ncppb.fera.co.uk/furtherinfo/272	"{""Australia group"":""No"",""Country"":""UK"",""Host"":""Malus sylvestris"",""Isolated by"":""L.A.E. Baker 425"",""Media"":""NA,SNA"",""Name as received"":""Erwinia amylovora (Burrill 1882) Winslow et al. 1920"",""Other name(s)"":""Erwinia amylovora (Burrill 1882) Winslow et al. 1920"",""Pathogenicity confirmed"":""No"",""Pathotype strain"":""No"",""Type strain of the species"":""No"",""Year Isolated"":""1962"",""Year added"":""1962""}"
NCPPB 449	NCPPB 449	ok	Pantoea stewartii subsp. stewartii (Smith 1898) Mergaert et al. 1993	Xanthomonas stewartii	Erwinia stewartii (Smith 1898) Dye 1963	USA	Zea mays var. rugosa	1957				L.E. Williams		LMG 2712, ICMP 258	No	No	NA,ND		Yes	No	https://ncppb.fera.co.uk/furtherinfo/449	"{""Australia group"":""No"",""Country"":""USA"",""Host"":""Zea mays var. rugosa"",""Isolated by"":""L.E. Williams"",""Media"":""NA,ND"",""Name as received"":""Xanthomonas stewartii"",""Other collections with this strain (ref no)"":""LMG 2712, ICMP 258"",""Other name(s)"":""Erwinia stewartii (Smith 1898) Dye 1963"",""Pathogenicity confirmed"":""Yes"",""Pathotype strain"":""No"",""Type strain of the species"":""No"",""Year added"":""1957""}"
NCPPB 583	NCPPB 583	ok	Chryseobacterium sp. Vandamme et al. 1994	Xanthomonas stizolobiicola (illegit.)		India	Stizolobium deeringianum	1958		ICPB XS101		ex M.K. Patel 13		ATCC 11642	No	No	ND,YDC	Dye, D.W. 1966. N.Z. Jl. Sci. 9: 843	No	No	https://ncppb.fera.co.uk/furtherinfo/583	"{""Australia group"":""No"",""Country"":""India"",""Donated by"":""ICPB XS101"",""Host"":""Stizolobium deeringianum"",""Isolated by"":""ex M.K. Patel 13"",""Media"":""ND,YDC"",""Name as received"":""Xanthomonas stizolobiicola (illegit.)"",""Other collections with this strain (ref no)"":""ATCC 11642"",""Pathogenicity confirmed"":""No"",""Pathotype strain"":""No"",""Reference"":""Dye, D.W. 1966. N.Z. Jl. Sci. 9: 843"",""Type strain of the species"":""No"",""Year added"":""1958""}"
NCPPB 761	NCPPB 761	ok	Xanthomonas euvesicatoria pv. physalidicola (Goto & Okabe 1958) Constantin et al. 2016 comb. nov.	Xanthomonas physalidicola Goto & Okabe 1958	Xanthomonas campestris pv. physalidicola (Goto & Okabe 1958) Dye 1978 Xanthomonas axonopodis pv. physalidicola (Goto & Okabe 1958) Vauterin et al. 1995	Unknown	Physalis alkekengii L. (Bladder cherry / Chinese L	1960		D. W. Dye	Yzl	N. Okabe	ex N. Okabe	ICMP 586, LMG 845, ATCC 49077	No	Yes	ND,YDC		No	No	https://ncppb.fera.co.uk/furtherinfo/761	"{""Australia group"":""No"",""Country"":""Unknown"",""Donated by"":""D. W. Dye"",""Donors reference"":""Yzl"",""Host"":""Physalis alkekengii L. (Bladder cherry / Chinese L"",""Isolated by"":""N. Okabe"",""Media"":""ND,YDC"",""Name as received"":""Xanthomonas physalidicola Goto & Okabe 1958"",""Other collections with this strain (ref no)"":""ICMP 586, LMG 845, ATCC 49077"",""Other name(s)"":""Xanthomonas campestris pv. physalidicola (Goto & Okabe 1958) Dye 1978 Xanthomonas axonopodis pv. physalidicola (Goto & Okabe 1958) Vauterin et al. 1995"",""Pathogenicity confirmed"":""No"",""Pathotype strain"":""Yes"",""Source (if not isolated by donor)"":""ex N. Okabe"",""Type strain of the species"":""No"",""Year added"":""1960""}"
NCPPB 1043	NCPPB 1043	ok	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas campestris (Pammel 1895) Dowson 1939		Papua New Guinea	Brassica oleracea	1961	1961			A.C. Hayward B621			No	No	ND,YDC		No	No	https://ncppb.fera.co.uk/furtherinfo/1043	"{""Australia group"":""No"",""Country"":""Papua New Guinea"",""Host"":""Brassica oleracea"",""Isolated by"":""A.C. Hayward B621"",""Media"":""ND,YDC"",""Name as received"":""Xanthomonas campestris (Pammel 1895) Dowson 1939"",""Pathogenicity confirmed"":""No"",""Pathotype strain"":""No"",""Type strain of the species"":""No"",""Year Isolated"":""1961"",""Year added"":""1961""}"
NCPPB 1062	NCPPB 1062	ok	Xanthomonas euvesicatoria Jones et al. 2006	Xanthomonas sp.	Xanthomonas campestris	Papua New Guinea	Dioscorea esculenta	1961	1961	A.C. Hayward		A.C. Hayward B644			No	No	ND,YDC		No	No	https://ncppb.fera.co.uk/furtherinfo/1062	"{""Australia group"":""No"",""Country"":""Papua New Guinea"",""Donated by"":""A.C. Hayward"",""Host"":""Dioscorea esculenta"",""Isolated by"":""A.C. Hayward B644"",""Media"":""ND,YDC"",""Name as received"":""Xanthomonas sp."",""Other name(s)"":""Xanthomonas campestris"",""Pathogenicity confirmed"":""No"",""Pathotype strain"":""No"",""Type strain of the species"":""No"",""Year Isolated"":""1961"",""Year added"":""1961""}"
NCPPB 1560	NCPPB 1560	ok	Xanthomonas dyei Young et al. 2010		Xanthomonas campestris	UK	Lobelia erinus	1964	1963	R.A.Lelliott		R.A. Lelliott 479			No	No	ND,YDC		No	No	https://ncppb.fera.co.uk/furtherinfo/1560	"{""Australia group"":""No"",""Country"":""UK"",""Donated by"":""R.A.Lelliott"",""Host"":""Lobelia erinus"",""Isolated by"":""R.A. Lelliott 479"",""Media"":""ND,YDC"",""Other name(s)"":""Xanthomonas campestris"",""Pathogenicity confirmed"":""No"",""Pathotype strain"":""No"",""Type strain of the species"":""No"",""Year Isolated"":""1963"",""Year added"":""1964""}"
