ncppb_number	current_name	name_as_received	alternative_names	country	host	year_added	type_strain_of_species	pathotype_strain	notes	reference	ncppb_catalogue_url	source_page
NCPPB 45	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas campestris (Pammel 1895) Dowson 1939		UK	Brassica napus	1941	No	No			https://ncppb.fera.co.uk/furtherinfo/45	1
NCPPB 101	Xanthomonas cassavae (ex Wiehe & Dowson 1953) Vauterin et al. 1995	Xanthomonas cassavae	Xanthomonas campestris pv. cassavae (Wiehe & Dowson 1953) Maraite and Weyns 1979	Malawi	Manihot esculenta	1951	Yes	No			https://ncppb.fera.co.uk/furtherinfo/101	1
NCPPB 109	Xanthomonas axonopodis pv. begoniae (Takimoto 1934) Vauterin et al. 1995	Xanthomonas begoniae Takimoto 1934	Xanthomonas campestris pv. begoniae (Takimoto 1934) Dye 1978	UK	Begonia sp.	1937	No	No			https://ncppb.fera.co.uk/furtherinfo/109	1
NCPPB 113	Xanthomonas axonopodis pv. ricini (Yoshi & Takimoto 1928) Vauterin et al. 1995	X. ricinicola.	Xanthomonas campestris pv. ricini (Yoshi & T akimoto 1928) Dye 1978	Uganda		1938	No	No	Yellow strain. Not pathogenic.	*Sabet, K.A. 1959. Ann. Appl. Biol. 47: 49	https://ncppb.fera.co.uk/furtherinfo/113	1
NCPPB 151	Xanthomonas campestris pv. papavericola (Bryan and McWhorter 1930) Dye 1978			Mauritius	Argemone sp.	1941	No	No			https://ncppb.fera.co.uk/furtherinfo/151	1
NCPPB 174	Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995	Xanthomonas vasculorum (Cobb 1893) Dowson 1939	Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978			1958	No	No			https://ncppb.fera.co.uk/furtherinfo/174	1
NCPPB 181	Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995	Xanthomonas vasculorum (Cobb 1893) Dowson 1939	Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978	Australia		1946	No	No	Fatty acid Type B(Dookun, Stead & Autrey 2000)		https://ncppb.fera.co.uk/furtherinfo/181	1
NCPPB 182	Xanthomonas vasicola pv. vasculorum (Cobb 1893) Vauterin et al. 1995	Xanthomonas vasculorum (Cobb 1893) Dowson 1939	Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978, Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995	Puerto Rico	Saccharum officinarum	1946	No	No	Fatty acid Type E (Dookun, Stead & Autrey 2000)		https://ncppb.fera.co.uk/furtherinfo/182	1
NCPPB 184	Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995	Xanthomonas vasculorum (Cobb 1893) Dowson 1939	Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978	Mauritius	Saccharum officinarum	1958	No	No	Fatty acid Type B (Dookun, Stead & Autrey 2000)		https://ncppb.fera.co.uk/furtherinfo/184	1
NCPPB 185	Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995	Xanthomonas vasculorum (Cobb 1893) Dowson 1939	Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978	Mauritius	Dictyospermaalbum	1946	No	No	Fatty acid Type B(Dookun, Stead & Autrey 2000)		https://ncppb.fera.co.uk/furtherinfo/185	1
NCPPB 186	Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995	Xanthomonas vasculorum (Cobb 1893) Dowson 1939	Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978	Mauritius	Thysanolaena maxima	1946	No	No	Fatty acid Type A(Dookun, Stead & Autrey 2000)new pv.?		https://ncppb.fera.co.uk/furtherinfo/186	1
NCPPB 187	Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995	Xanthomonas vasculorum (Cobb 1893) Dowson 1939	Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978	Mauritius	Roystonea regia	1946	No	No	Fatty acid Type B(Dookun, Stead & Autrey 2000)		https://ncppb.fera.co.uk/furtherinfo/187	1
NCPPB 195	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	Xanthomonas vesicatoria (Doidge 1920) Dowson 1939	Xanthomonas campestris pv. vesicatoria (Doidge 1920) Dye 1978	Israel		1947	No	No			https://ncppb.fera.co.uk/furtherinfo/195	1
NCPPB 196	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas campestris (Pammel 1895) Dowson 1939		Mauritius	Brassica oleracea var. capitata	1947	No	No			https://ncppb.fera.co.uk/furtherinfo/196	1
NCPPB 200	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.	Xanthomonas malvacearum (Smith 1901) Dowson 1939	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978, Xanthomonas axonopodis pv. malvacearum (Smith 1901) Vauterin et al. 1995 Xanthomonas citri subsp. malvacearum (Smith 1901) Schaad et al. 2007	Sudan	Gossypium sp.	1947	No	No	The group classification of Hayward (1964b) and the race classification of Hunter et al. (1968) is used.	Hayward, A.C. 1964. J. Gen. Microbiol. 35: 287; Hunter, R.E., Brinkerhoff, L.A., Bird, L.S. 1968. P	https://ncppb.fera.co.uk/furtherinfo/200	1
NCPPB 205	Xanthomonas hyacinthi (Wakker 1883) Vauterin et al. 1995	Xanthomonas hyacinthi	Xanthomonas campestris pv. hyacinthi (Wakker 1883) Dye 1978	Netherlands	Hyacinthus orientalis.	1948	No	No			https://ncppb.fera.co.uk/furtherinfo/205	1
NCPPB 206	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	Xanthomonas vasculorum (Cobb 1893) Dowson 1939	Xanthomonas campestris pv. vasculorum (Cobb 1894) Dye 1978, Xanthomonas axonopodis pv. vasculorum (Cobb 1894) Vauterin et al. 1995, Xanthomonas vasicola pv. vasculorum (Cobb 1894) Vauterin et al. 1995 (Invalid name)	South Africa	Zea mays	1948	No	No	Fatty acid Type C (Dookun, Stead & Autrey 2000)		https://ncppb.fera.co.uk/furtherinfo/206	1
NCPPB 208	Xanthomonas albilineans (Ashby 1929) Dowson 1943	X. albilineans var. paspali. See Orian (1962)		Mauritius	Paspalum dilatatum	1948	No	No			https://ncppb.fera.co.uk/furtherinfo/208	1
NCPPB 210	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.	Xanthomonas malvacearum (Smith 1901) Dowson 1939	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978, Xanthomonas axonopodis pv. malvacearum (Smith 1901) Vauterin et al. 1995, Xanthomonas citri subsp. malvacearum (Smith 1901) Schaad et al. 2007	India		1948	No	No	The group classification of Hayward (1964b) and the race classification of Hunter et al. (1968) is used.	Hayward, A.C. 1964. J. Gen. Microbiol. 35: 287; Hunter, R.E., Brinkerhoff, L.A., Bird, L.S. 1968. P	https://ncppb.fera.co.uk/furtherinfo/210	1
NCPPB 211	Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov.	Xanthomonas citri (Hasse 1915) Dowson	Xanthomonas campestris pv. citri (Hasse 1915) Dye 1979, Xanthomonas axonopodis pv. citri (Hasse 1915) Vauterin et al. 1995, Xanthomonas citri subsp. citri (Hasse 1915) Gabriel et al. 1989	India		1948	No	No	Type A(Asiatic Canker)		https://ncppb.fera.co.uk/furtherinfo/211	1
NCPPB 212	Xanthomonas citri pv. mangiferaeindicae (Patel et al. 1948) Constantin et al. 2016 comb. nov.		Xanthomonas campestris pv. mangiferaeindicae (Patel et al. 1948) Robbs, Ribeiro & Kimura 1974, Xanthomonas axonopodis pv. mangiferaeindicae (Patel et al. 1948) Ah-You et al. 2007	India		1948	No	No	Partial gene (gyrB) sequence indicates this is Xanthomonas citri.		https://ncppb.fera.co.uk/furtherinfo/212	1
NCPPB 220	Xanthomonas phaseoli pv. phaseoli (Smith 1897) Constantin et al. 2016 comb. nov.	Xanthomonas phaseoli (Smith 1897) Dowson 1939	Xanthomonas campestris pv. phaseoli (Smith 1897) Dye 1978, Xanthomonas axonopodis pv. phaseoli (Smith 1897) Vauterin et al.1995	USA		1948	No	No	gyrB 100% match with NCPPB 3035		https://ncppb.fera.co.uk/furtherinfo/220	1
NCPPB 225	Pseudomonas syringae pv. dysoxyli (Hutchinson 1949) Young, Dye & Wilkie 1978	Pseudomonas dysoxyli	Pseudomonas dysoxyli	New Zealand (Auckland)	Dysoxylum spectabile (Forst.f.) Hook.f. (Kohekohe	1949	No	Yes	LOPAT Group II. The bacterial disease of the native New Zealand plant Dysoxylum spectabile (Kohekohe) with the symptoms of greasy translucent leaf lesions, 'shotholes' in the leaf tissue, and greasy lesions in the leaf axils is caused by Xanthomonas dyei pv. dysoxyli.	Young, J. M.; Wilkie, J. P.; Park, D.-C.; Watson, D. R. W. (2010)New Zealand strains of plant pathogenic bacteria classified by multi-locus sequence analysis; proposal ofXanthomonas dyeisp. nov.Plant Pathology59(2)270-281. DOI: 10.1111/j.1365-3059.2009.02210.x Young, J.M.; Triggs, C.M. (1994)Evaluation of determinative tests for pathovars of Pseudomonas syringae van Hall 1902.Journal of Applied Bacteriology77(2)195-207. DOI: 10.1111/j.1365-2672.1994.tb03064.x Visnovsky, Sandra B.; Panda, Preeti; Everett, Kerry R.; Lu, Ashley; Butler, Ruth C.; Taylor, Robert K.; Pitman, Andrew R. (2020)A PCR diagnostic assay for rapid detection of plant pathogenic pseudomonads.Plant Pathology69(7)1311-1330. DOI: 10.1111/ppa.13204 Ferreira-Tonin, Mariana; Rodrigues-Neto, Júlio; Harakava, Ricardo; Destéfano, Suzete Aparecida Lanza (2012)Phylogenetic analysis of Xanthomonas based on partial rpoB gene sequences and species differentiation by PCR-RFLP. International Journal of Systematic and Evolutionar	https://ncppb.fera.co.uk/furtherinfo/225	1
NCPPB 226	Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov.	Xanthomonas citri (Hasse 1915) Dowson	Xanthomonas campestris pv. citri (Hasse 1915) Dye 1979, Xanthomonas axonopodis pv. citri (Hasse 1915) Vauterin et al. 1995, Xanthomonas citri subsp. citri (Hasse 1915) Gabriel et al. 1989	New Zealand		1949	No	No	Type A(Asiatic Canker)		https://ncppb.fera.co.uk/furtherinfo/226	1
NCPPB 230	Xanthomonas hortorum pv. carotae (Kendrick 1934) Vauterin et al. 1995	Xanthomonas carotae Kendrick 1934	Xanthomonas campestris pv. carotae (Kendrick 1934) Dye 1978	USA		1949	No	No			https://ncppb.fera.co.uk/furtherinfo/230	1
