ncppb_number	ncppb_current_name	confirmed_biosample_accessions	provisional_biosample_accessions	preferred_resource_type	preferred_biosample_accession	preferred_sequence_accessions	preferred_sequence_scope	preferred_assembly_level	sequence_bioproject_accessions	phylogeny_readiness	download_tool	download_command	qc_required	identity_review_required	taxonomy_review_required	selection_block_reason	selection_reason
NCPPB 45	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	SAMN36346970		assembly	SAMN36346970	GCA_035026565.1	whole_genome_assembly	Contig	PRJNA988133	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCA_035026565.1 --include genome --filename NCPPB_45_GCA_035026565.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 101	Xanthomonas cassavae (ex Wiehe & Dowson 1953) Vauterin et al. 1995	SAMN22555467		assembly	SAMN22555467	GCF_020783895.1	whole_genome_assembly	Contig	PRJNA774146	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_020783895.1 --include genome --filename NCPPB_101_GCF_020783895.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 109	Xanthomonas axonopodis pv. begoniae (Takimoto 1934) Vauterin et al. 1995			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 113	Xanthomonas axonopodis pv. ricini (Yoshi & Takimoto 1928) Vauterin et al. 1995	SAMN42178446		assembly	SAMN42178446	GCF_053571385.1	whole_genome_assembly	Contig	PRJNA1129907	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_053571385.1 --include genome --filename NCPPB_113_GCF_053571385.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 151	Xanthomonas campestris pv. papavericola (Bryan and McWhorter 1930) Dye 1978	SAMN56511362		sra_wgs_reads	SAMN56511362	SRR37629063; SRR37789880	whole_genome_shotgun_reads		PRJNA1437458	raw_wgs_reads_require_assembly_and_qc	NCBI SRA Toolkit	prefetch SRR37629063 && fasterq-dump SRR37629063 --split-files --outdir fastq/NCPPB_151 ; prefetch SRR37789880 && fasterq-dump SRR37789880 --split-files --outdir fastq/NCPPB_151	yes	no	no		No confirmed assembly; selected WGS genomic run(s) from the BioSample with the most reported bases.
NCPPB 174	Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 181	Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 182	Xanthomonas sp. (Cobb 1893) Vauterin et al. 1995			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 184	Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 185	Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 186	Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 187	Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
