ncppb_number	identifier_raw	identifier_normalized	identifier_type	clause_type	clause_order	source_start	source_end	normalization_status	validation_status	identifier_strength	risk_level	search_eligible	review_reason	collision_strain_count	collision_strains
NCPPB 45	NCPPB 45	NCPPB45	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 45
NCPPB 101	NCPPB 101	NCPPB101	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 101
NCPPB 109	NCPPB 109	NCPPB109	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 109
NCPPB 113	NCPPB 113	NCPPB113	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 113
NCPPB 151	NCPPB 151	NCPPB151	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 151
NCPPB 174	NCPPB 174	NCPPB174	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 174
NCPPB 181	NCPPB 181	NCPPB181	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 181
NCPPB 182	NCPPB 182	NCPPB182	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 182
NCPPB 184	NCPPB 184	NCPPB184	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 184
NCPPB 185	NCPPB 185	NCPPB185	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 185
NCPPB 186	NCPPB 186	NCPPB186	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 186
NCPPB 187	NCPPB 187	NCPPB187	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 187
NCPPB 195	NCPPB 195	NCPPB195	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 195
NCPPB 196	NCPPB 196	NCPPB196	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 196
NCPPB 200	NCPPB 200	NCPPB200	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 200
NCPPB 205	NCPPB 205	NCPPB205	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 205
