query_id	ncppb_number	query_track	query_tier	searched_identifier	ncbi_uid	biosample_accession	organism	taxid	title	strain	isolate	culture_collection	bio_material	sample_name	identity_aliases	identifiers	attributes_json	raw_xml_cache_path	source_url	status	error
56785621d2607b3f7f43	ALL_NCPPB	ncppb_number	expected_genus:Pseudomonas	NCPPB	56502587	SAMN56502587	Pseudomonas ficuserectae	53410	Microbe sample from Pseudomonas ficuserectae	NCPPB 3693		NCPPB:3693				BioSample: SAMN56502587; NCPPB_3693; SRA: SRS28398625	"{""collected_by"":[""M. Goto""],""collection_date"":[""Not collected""],""culture_collection"":[""NCPPB:3693""],""geo_loc_name"":[""Japan""],""host"":[""Ficus erecta""],""sample_type"":[""Cell culture""],""strain"":[""NCPPB 3693""]}"	.cache/ncbi/v2_1/efetch_825ecc5bb14f6df0c57e704db5b70c5926b96686ad03393d6efd1aa18548fc76.xml	https://www.ncbi.nlm.nih.gov/biosample/SAMN56502587	ok	
56785621d2607b3f7f43	ALL_NCPPB	ncppb_number	expected_genus:Pseudomonas	NCPPB	47385911	SAMN47385911	Pseudomonas amygdali pv. tabaci	322	Pathotype strain of Pseudomonas amygdali pv. tabaci	NCSU_AHP147		NCPPB:1427				BioSample: SAMN47385911; NCSU_AHP147	"{""collected_by"":[""Z. Klement""],""collection_date"":[""1959""],""culture_collection"":[""NCPPB:1427""],""geo_loc_name"":[""Hungary""],""host"":[""Nicotiana tabacum""],""pathovar"":[""tabaci""],""sample_type"":[""Monoisolate""],""strain"":[""NCSU_AHP147""]}"	.cache/ncbi/v2_1/efetch_fb49fcf5c2f6dce58c10306573e4f6c58da0b6b8f9c990f630c1da495a8a9c2e.xml	https://www.ncbi.nlm.nih.gov/biosample/SAMN47385911	ok	
56785621d2607b3f7f43	ALL_NCPPB	ncppb_number	expected_genus:Pseudomonas	NCPPB	47385909	SAMN47385909	Pseudomonas amygdali pv. photiniae	251724	Pathotype strain of Pseudomonas amygdali pv. photiniae	NCSU_AHP149		NCPPB:3688				BioSample: SAMN47385909; NCSU_AHP149	"{""collected_by"":[""J.M. Young""],""collection_date"":[""1976-07""],""culture_collection"":[""NCPPB:3688""],""geo_loc_name"":[""Japan""],""host"":[""Photinia glabra""],""pathovar"":[""photiniae""],""sample_type"":[""Monoisolate""],""strain"":[""NCSU_AHP149""]}"	.cache/ncbi/v2_1/efetch_fb49fcf5c2f6dce58c10306573e4f6c58da0b6b8f9c990f630c1da495a8a9c2e.xml	https://www.ncbi.nlm.nih.gov/biosample/SAMN47385909	ok	
56785621d2607b3f7f43	ALL_NCPPB	ncppb_number	expected_genus:Pseudomonas	NCPPB	47385905	SAMN47385905	Pseudomonas amygdali pv. lachrymans	53707	Pathotype strain of Pseudomonas amygdali pv. lachrymans	NCSU_AHP141		NCPPB:1436				BioSample: SAMN47385905; NCSU_AHP141	"{""collected_by"":[""Z. Klement""],""collection_date"":[""1957""],""culture_collection"":[""NCPPB:1436""],""geo_loc_name"":[""Hungary""],""host"":[""Cucumis sativus""],""pathovar"":[""lachrymans""],""sample_type"":[""Monoisolate""],""strain"":[""NCSU_AHP141""]}"	.cache/ncbi/v2_1/efetch_fb49fcf5c2f6dce58c10306573e4f6c58da0b6b8f9c990f630c1da495a8a9c2e.xml	https://www.ncbi.nlm.nih.gov/biosample/SAMN47385905	ok	
56785621d2607b3f7f43	ALL_NCPPB	ncppb_number	expected_genus:Pseudomonas	NCPPB	47385904	SAMN47385904	Pseudomonas amygdali pv. hibisci	251723	Pathotype strain of Pseudomonas amygdali pv. hibisci	NCSU_AHP138		NCPPB:3682				BioSample: SAMN47385904; NCSU_AHP138	"{""collected_by"":[""J.B. Jones""],""collection_date"":[""1984-01-01""],""culture_collection"":[""NCPPB:3682""],""geo_loc_name"":[""USA""],""host"":[""Hibiscus rosa-sinensis""],""pathovar"":[""hibisci""],""sample_type"":[""Monoisolate""],""strain"":[""NCSU_AHP138""]}"	.cache/ncbi/v2_1/efetch_fb49fcf5c2f6dce58c10306573e4f6c58da0b6b8f9c990f630c1da495a8a9c2e.xml	https://www.ncbi.nlm.nih.gov/biosample/SAMN47385904	ok	
56785621d2607b3f7f43	ALL_NCPPB	ncppb_number	expected_genus:Pseudomonas	NCPPB	47385900	SAMN47385900	Pseudomonas amygdali pv. aesculi	251722	Pathotype strain of Pseudomonas amygdali pv. aesculi	NCSU_AHP139		NCPPB:3681				BioSample: SAMN47385900; NCSU_AHP139	"{""collected_by"":[""J.C. Durgapal""],""collection_date"":[""1985-07""],""culture_collection"":[""NCPPB:3681""],""geo_loc_name"":[""India""],""host"":[""Aesculus indica""],""pathovar"":[""aesculi""],""sample_type"":[""Monoisolate""],""strain"":[""NCSU_AHP139""]}"	.cache/ncbi/v2_1/efetch_fb49fcf5c2f6dce58c10306573e4f6c58da0b6b8f9c990f630c1da495a8a9c2e.xml	https://www.ncbi.nlm.nih.gov/biosample/SAMN47385900	ok	
56785621d2607b3f7f43	ALL_NCPPB	ncppb_number	expected_genus:Pseudomonas	NCPPB	42911464	SAMN42911464	Pseudomonas savastanoi pv. savastanoi	360920	Pathogen: clinical or host-associated sample from Pseudomonas savastanoi pv. savastanoi	NCPPB 3335	HIM_6 (Hrp Inducing Medium)					BioSample: SAMN42911464; WT_3; SRA: SRS22165654	"{""collected_by"":[""Universidad de Mlaga""],""collection_date"":[""2022""],""geo_loc_name"":[""Spain: Malaga""],""host"":[""Olea europaea""],""host_disease"":[""Olive knot disease""],""isolate"":[""HIM_6 (Hrp Inducing Medium)""],""isolation_source"":[""Olive Knots""],""lat_lon"":[""36.7161 N 4.4728 W""],""pathovar"":[""savastanoi""],""strain"":[""NCPPB 3335""]}"	.cache/ncbi/v2_1/efetch_b8a2dc52465e775fad057a87fb6945e3cc9613c772e40d22a4935fdc66a59fd3.xml	https://www.ncbi.nlm.nih.gov/biosample/SAMN42911464	ok	
56785621d2607b3f7f43	ALL_NCPPB	ncppb_number	expected_genus:Pseudomonas	NCPPB	42911463	SAMN42911463	Pseudomonas savastanoi pv. savastanoi	360920	Pathogen: clinical or host-associated sample from Pseudomonas savastanoi pv. savastanoi	NCPPB 3335	HIM_5 (Hrp Inducing Medium)					BioSample: SAMN42911463; WT_2; SRA: SRS22165653	"{""collected_by"":[""Universidad de Mlaga""],""collection_date"":[""2022""],""geo_loc_name"":[""Spain: Malaga""],""host"":[""Olea europaea""],""host_disease"":[""Olive knot disease""],""isolate"":[""HIM_5 (Hrp Inducing Medium)""],""isolation_source"":[""Olive Knots""],""lat_lon"":[""36.7161 N 4.4728 W""],""pathovar"":[""savastanoi""],""strain"":[""NCPPB 3335""]}"	.cache/ncbi/v2_1/efetch_b8a2dc52465e775fad057a87fb6945e3cc9613c772e40d22a4935fdc66a59fd3.xml	https://www.ncbi.nlm.nih.gov/biosample/SAMN42911463	ok	
56785621d2607b3f7f43	ALL_NCPPB	ncppb_number	expected_genus:Pseudomonas	NCPPB	42911462	SAMN42911462	Pseudomonas savastanoi pv. savastanoi	360920	Pathogen: clinical or host-associated sample from Pseudomonas savastanoi pv. savastanoi	NCPPB 3335	HIM_4 (Hrp Inducing Medium)					BioSample: SAMN42911462; WT_1; SRA: SRS22165655	"{""collected_by"":[""Universidad de Mlaga""],""collection_date"":[""2022""],""geo_loc_name"":[""Spain: Malaga""],""host"":[""Olea europaea""],""host_disease"":[""Olive knot disease""],""isolate"":[""HIM_4 (Hrp Inducing Medium)""],""isolation_source"":[""Olive Knots""],""lat_lon"":[""36.7161 N 4.4728 W""],""pathovar"":[""savastanoi""],""strain"":[""NCPPB 3335""]}"	.cache/ncbi/v2_1/efetch_b8a2dc52465e775fad057a87fb6945e3cc9613c772e40d22a4935fdc66a59fd3.xml	https://www.ncbi.nlm.nih.gov/biosample/SAMN42911462	ok	
56785621d2607b3f7f43	ALL_NCPPB	ncppb_number	expected_genus:Pseudomonas	NCPPB	42911461	SAMN42911461	Pseudomonas savastanoi pv. savastanoi	360920	Pathogen: clinical or host-associated sample from Pseudomonas savastanoi pv. savastanoi	NCPPB 3335	HIM_3 (Hrp Inducing Medium)					BioSample: SAMN42911461; WhpR_3; SRA: SRS22165652	"{""collected_by"":[""Universidad de Mlaga""],""collection_date"":[""2022""],""geo_loc_name"":[""Spain: Malaga""],""host"":[""Olea europaea""],""host_disease"":[""Olive knot disease""],""isolate"":[""HIM_3 (Hrp Inducing Medium)""],""isolation_source"":[""Olive Knots""],""lat_lon"":[""36.7161 N 4.4728 W""],""pathovar"":[""savastanoi""],""strain"":[""NCPPB 3335""]}"	.cache/ncbi/v2_1/efetch_b8a2dc52465e775fad057a87fb6945e3cc9613c772e40d22a4935fdc66a59fd3.xml	https://www.ncbi.nlm.nih.gov/biosample/SAMN42911461	ok	
