ncppb_number	biosample_accession	change_type	v2_decision	v2_evidence_class	v2_review_or_reject_reason	v2_discovery_tracks	v2_matched_identifier	v2_matched_field
NCPPB 406	SAMN13783185	added_in_v2	accept	structured_exact_identifier		ncppb_number	NCPPB 406	strain
NCPPB 646	SAMN03175008	removed_from_v2	review	structured_exact_identifier	conflicting_ncppb_identifier	ncppb_number	NCPPB 646	identifiers
NCPPB 973	SAMEA4358958	removed_from_v2	review	unstructured_exact_identifier	exact_identifier_only_in_title	other_references	DSM 18974	title
NCPPB 1585	SAMN03612252	added_in_v2	accept	structured_exact_identifier		other_references	CFBP 2286	strain
NCPPB 1607	SAMEA104068692	removed_from_v2	review	structured_exact_identifier	conflicting_ncppb_identifier	other_references	B2165	culture_collection
NCPPB 1646	SAMN03175008	removed_from_v2	review	structured_exact_identifier	conflicting_ncppb_identifier	ncppb_number	NCPPB 1646	strain
NCPPB 1683	SAMN02194609	added_in_v2	accept	structured_exact_identifier	same_genus_different_species	other_references	ATCC 19867	strain
NCPPB 1683	SAMN02441648	added_in_v2	accept	structured_exact_identifier		other_references	ATCC 19867	strain
NCPPB 1683	SAMN13507659	added_in_v2	accept	structured_exact_identifier	same_genus_different_species	other_references	ATCC 19867	strain
NCPPB 1683	SAMN37626383	added_in_v2	accept	structured_exact_identifier		other_references	ATCC 19867	strain
NCPPB 1811	SAMN18440089	added_in_v2	accept	structured_exact_identifier		ncppb_number	NCPPB 1811	strain
NCPPB 1934	SAMN36318705	removed_from_v2	review	unstructured_exact_identifier	exact_identifier_only_in_title	ncppb_number	NCPPB 1934	title
NCPPB 1938	SAMN36318706	removed_from_v2	review	unstructured_exact_identifier	exact_identifier_only_in_title	ncppb_number	NCPPB 1938	title
NCPPB 1946	SAMN36315929	removed_from_v2	review	unstructured_exact_identifier	exact_identifier_only_in_title	ncppb_number	NCPPB 1946	title
NCPPB 1974	SAMD00538104	added_in_v2	accept	structured_exact_identifier		ncppb_number; other_references	NCPPB 1974	identity_aliases
NCPPB 1974	SAMN01176238	added_in_v2	accept	structured_exact_identifier		other_references	DSM 50170	strain
NCPPB 1974	SAMN05721779	added_in_v2	accept	structured_exact_identifier		other_references	ATCC 13637	strain
NCPPB 2217	SAMEA5613848	added_in_v2	accept	structured_exact_identifier		other_references	LMG 5856	strain
NCPPB 2217	SAMN56511392	added_in_v2	accept	structured_exact_identifier	different_lineage	ncppb_number	NCPPB 2217	strain
NCPPB 2930	SAMN41764005	added_in_v2	accept	structured_exact_identifier	different_lineage	ncppb_number	NCPPB 2930	strain
NCPPB 2969	SAMEA6139363	removed_from_v2	reject	no_exact_identifier	no_exact_identifier	historical_v1_recheck		
NCPPB 2969	SAMEA6139364	removed_from_v2	reject	no_exact_identifier	no_exact_identifier	historical_v1_recheck		
NCPPB 2969	SAMEA6139365	removed_from_v2	reject	no_exact_identifier	no_exact_identifier	historical_v1_recheck		
NCPPB 2969	SAMEA6139366	removed_from_v2	reject	no_exact_identifier	no_exact_identifier	historical_v1_recheck		
NCPPB 2969	SAMEA6139367	removed_from_v2	reject	no_exact_identifier	no_exact_identifier	historical_v1_recheck		
NCPPB 3059	SAMEA247356	added_in_v2	accept	structured_exact_identifier	different_lineage	ncppb_number	NCPPB 3059	strain
NCPPB 3059	SAMEA4156338	added_in_v2	accept	structured_exact_identifier	different_lineage	ncppb_number	NCPPB 3059	strain
NCPPB 3234	SAMEA114332007	removed_from_v2	review	structured_exact_identifier	medium_identifier_requires_corroboration	other_references	XC62	isolate
NCPPB 3237	SAMEA114332008	removed_from_v2	review	structured_exact_identifier	medium_identifier_requires_corroboration	other_references	XC69	isolate
NCPPB 3237	SAMN23026106	removed_from_v2	review	structured_exact_identifier	medium_identifier_requires_corroboration; pathovar_mismatch	other_references	XC69	strain
NCPPB 3304	SAMN06237132	removed_from_v2	review	structured_exact_identifier	medium_identifier_requires_corroboration	other_references	PXO86	strain
NCPPB 3562	SAMN13783129	added_in_v2	accept	structured_exact_identifier		ncppb_number	NCPPB 3562	strain
NCPPB 3563	SAMN30096794	removed_from_v2	reject	no_exact_identifier	no_exact_identifier	historical_v1_recheck		
NCPPB 3595	SAMN30096794	removed_from_v2	review	structured_exact_identifier	medium_identifier_requires_corroboration; pathovar_mismatch	other_references	XCP1	strain
NCPPB 3612	SAMN13783131	added_in_v2	accept	structured_exact_identifier		ncppb_number	NCPPB 3612	strain
NCPPB 3640	SAMN30096796	removed_from_v2	review	structured_exact_identifier	medium_identifier_requires_corroboration; pathovar_mismatch	other_references	XCP3	strain
NCPPB 3641	SAMN30096797	removed_from_v2	review	structured_exact_identifier	medium_identifier_requires_corroboration; pathovar_mismatch	other_references	XCP4	strain
NCPPB 4322	SAMN23026091	removed_from_v2	review	structured_exact_identifier	medium_identifier_requires_corroboration	other_references	XV1220	strain
NCPPB 4614	SAMN36357978	removed_from_v2	review	structured_exact_identifier	medium_identifier_requires_corroboration	other_references	SAM119	strain
NCPPB 4615	SAMN25050887	removed_from_v2	review	unstructured_exact_identifier	exact_identifier_only_in_title	historical_v1_recheck	B100	title
NCPPB 4681	SAMN17198915	removed_from_v2	review	structured_exact_identifier	medium_identifier_requires_corroboration	other_references	Xc27	identifiers
NCPPB 4681	SAMN17198916	removed_from_v2	review	structured_exact_identifier	medium_identifier_requires_corroboration	other_references	Xc27	identifiers
NCPPB 4681	SAMN17198917	removed_from_v2	review	structured_exact_identifier	medium_identifier_requires_corroboration	other_references	Xc27	identifiers
NCPPB 4705	SAMN07735936	removed_from_v2	review	structured_exact_identifier	medium_identifier_requires_corroboration	historical_v1_recheck	Arg-1A	strain
NCPPB 4705	SAMN36357994	removed_from_v2	review	structured_exact_identifier	medium_identifier_requires_corroboration	historical_v1_recheck	Arg-1A	strain
NCPPB 4707	SAMN36357996	removed_from_v2	review	structured_exact_identifier	medium_identifier_requires_corroboration	historical_v1_recheck	ARG-3A	strain
NCPPB 4710	SAMN08773711	removed_from_v2	review	structured_exact_identifier	medium_identifier_requires_corroboration	historical_v1_recheck	Arg-2B	strain
NCPPB 4710	SAMN36357995	removed_from_v2	review	structured_exact_identifier	medium_identifier_requires_corroboration	historical_v1_recheck	Arg-2B	strain
NCPPB 4710	SAMN36701295	removed_from_v2	review	structured_exact_identifier	medium_identifier_requires_corroboration	historical_v1_recheck	Arg-2B	strain
NCPPB 4712	SAMN08773805	removed_from_v2	review	structured_exact_identifier	medium_identifier_requires_corroboration	historical_v1_recheck	ARG-6B	strain
NCPPB 4712	SAMN36357998	removed_from_v2	review	structured_exact_identifier	medium_identifier_requires_corroboration	historical_v1_recheck	ARG-6B	strain
NCPPB 4712	SAMN36701296	removed_from_v2	review	structured_exact_identifier	medium_identifier_requires_corroboration	historical_v1_recheck	ARG-6B	strain
NCPPB 4714	SAMN36357997	removed_from_v2	review	structured_exact_identifier	medium_identifier_requires_corroboration	historical_v1_recheck	ARG 4B	strain
