ncppb_number	snapshot_status	v1_sequence_category	v2_sequence_category	sequence_category_changed	v1_biosample_accessions	v2_biosample_accessions	biosample_accessions_changed	v1_assembly_accessions	v2_assembly_accessions	assembly_accessions_changed	v1_sra_run_accessions	v2_sra_run_accessions	sra_accessions_changed	v2_ncppb_track_matches	v2_other_references_track_matches
NCPPB 45	present_in_both	draft_assembly_available	draft_assembly_available	no	SAMN36346970	SAMN36346970	no	GCA_035026565.1	GCA_035026565.1	no	SRR25183331	SRR25183331	no	SAMN36346970	
NCPPB 101	present_in_both	draft_assembly_available	draft_assembly_available	no	SAMN22555467	SAMN22555467	no	GCF_020783895.1	GCF_020783895.1	no	SRR22272561	SRR22272561	no	SAMN22555467	
NCPPB 109	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 113	present_in_both	draft_assembly_available	draft_assembly_available	no	SAMN42178446	SAMN42178446	no	GCF_053571385.1	GCF_053571385.1	no	SRR30041332; SRR29654663	SRR29654663; SRR30041332	no	SAMN42178446	
NCPPB 151	present_in_both	raw_reads_only	raw_reads_only	no	SAMN56511362	SAMN56511362	no			no	SRR37789880; SRR37629063	SRR37629063; SRR37789880	no	SAMN56511362	
NCPPB 174	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 181	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 182	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 184	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 185	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 186	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 187	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 195	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 196	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 200	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 205	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 206	present_in_both	draft_assembly_available	draft_assembly_available	no	SAMN36357966; SAMN00991256	SAMN36357966; SAMN00991256	no	GCF_030551425.2; GCF_000278035.1	GCF_030551425.2; GCF_000278035.1	no	SRR25194059; SRR494500	SRR25194059; SRR494500	no	SAMN36357966; SAMN00991256	
NCPPB 208	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 210	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 211	present_in_both	draft_assembly_available	draft_assembly_available	no	SAMN13783128	SAMN13783128	no	GCF_014798375.1	GCF_014798375.1	no	SRR11234665	SRR11234665	no	SAMN13783128	
NCPPB 212	present_in_both	ambiguous_candidate_records_need_review	no_confirmed_public_data	yes			no			no			no		
NCPPB 220	present_in_both	draft_assembly_available	draft_assembly_available	no	SAMN03262509	SAMN03262509	no	GCF_000808715.2	GCF_000808715.2	no	SRR2052885	SRR2052885	no	SAMN03262509	
NCPPB 226	present_in_both	draft_assembly_available	draft_assembly_available	no	SAMN13783184	SAMN13783184	no	GCF_014797395.1	GCF_014797395.1	no	SRR11234664	SRR11234664	no	SAMN13783184	
NCPPB 230	present_in_both	draft_assembly_available	taxonomy_review_required_before_sequence_use	yes	SAMN40354569	SAMN40354569	no	GCF_040202495.1		yes	SRR30293564; SRR28281421		yes	SAMN40354569	
NCPPB 232	present_in_both	complete_genome_available	complete_genome_available	no	SAMEA6962647	SAMEA6962647	no	GCF_903978195.1	GCF_903978195.1	no	ERR4327117; ERR4326259	ERR4326259; ERR4327117	no	SAMEA6962647	
NCPPB 240	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 241	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 243	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 273	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 279	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 290	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 293	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 301	present_in_both	draft_assembly_available	draft_assembly_available	no	SAMN03175018	SAMN03175018	no	GCF_000785945.1	GCF_000785945.1	no	SRR2052879	SRR2052879	no	SAMN03175018	
NCPPB 302	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 305	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 315	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 347	present_in_both	draft_assembly_available	draft_assembly_available	no	SAMN22552829; SAMN17385947	SAMN22552829; SAMN17385947	no	GCF_020731405.1	GCF_020731405.1	no	SRR29823152; SRR14648465	SRR29823152; SRR14648465	no	SAMN22552829; SAMN17385947	SAMN17385947
NCPPB 348	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 362	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 381	present_in_both	complete_genome_available	complete_genome_available	no	SAMN40354536; SAMN03142398; SAMN02903172; SAMN06829306	SAMN03142398; SAMN40354536; SAMN06829306; SAMN02903172	no	GCF_040202995.2; GCF_000788075.1; GCF_001401605.1; GCF_002759215.2	GCF_000788075.1; GCF_040202995.2; GCF_001401605.1	yes	SRR30293625; SRR28281417; SRR2052644; SRR1510073; SRR13997422; SRR13975653	SRR2052644; SRR28281417; SRR30293625; SRR1510073	yes	SAMN03142398; SAMN40354536	SAMN06829306; SAMN02903172
NCPPB 400	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 403	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 404	present_in_both	draft_assembly_available	draft_assembly_available	no	SAMN36346971	SAMN36346971	no	GCA_035026745.1	GCA_035026745.1	no	SRR25183330	SRR25183330	no	SAMN36346971	
NCPPB 405	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 406	present_in_both	no_confirmed_public_sequence_data	draft_assembly_available	yes		SAMN13783185	yes		GCF_014797385.1	yes		SRR11234661	yes	SAMN13783185	
NCPPB 407	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 408	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 409	present_in_both	draft_assembly_available	draft_assembly_available	no	SAMEA114331998; SAMN13783182	SAMEA114331998; SAMN13783182	no	GCF_963669875.1; GCF_014797425.1	GCF_963669875.1; GCF_014797425.1	no	ERR12095337; SRR11234614	ERR12095337; SRR11234614	no	SAMEA114331998	SAMN13783182
NCPPB 410	present_in_both	ambiguous_candidate_records_need_review	no_confirmed_public_data	yes			no			no			no		
NCPPB 411	present_in_both	draft_assembly_available	draft_assembly_available	no	SAMN03352151; SAMN43400626	SAMN43400626; SAMN03352151	no	GCF_001013475.1	GCF_001013475.1	no			no		SAMN43400626; SAMN03352151
NCPPB 412	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 414	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 415	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 416	present_in_both	complete_genome_available	complete_genome_available	no	SAMN41996497; SAMN39942831; SAMN00188641	SAMN41996497; SAMN39942831; SAMN00188641	no	GCF_041464225.1	GCF_041464225.1	no	SRR30016867; SRR29500231; SRR27966376	SRR29500231; SRR30016867; SRR27966376	no	SAMN41996497; SAMN39942831	SAMN00188641
NCPPB 418	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 419	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 420	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 421	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
