run_accession	fastq_ftp	fastq_bytes	fastq_md5	library_layout	instrument_platform
SRR22272560	ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/060/SRR22272560/SRR22272560_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/060/SRR22272560/SRR22272560_2.fastq.gz	124364605;140297291	4cd6fb834b8d8cc28ae311883a45d546;6cf12c859e90691314eb911cf99cec5f	PAIRED	ILLUMINA
SRR22272562	ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/062/SRR22272562/SRR22272562_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/062/SRR22272562/SRR22272562_2.fastq.gz	163461544;184576617	b25b623b497fe9829d642fec5d4f9857;1d4fefaef5c119345fe1953d6485fd75	PAIRED	ILLUMINA
SRR22272569	ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/069/SRR22272569/SRR22272569_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/069/SRR22272569/SRR22272569_2.fastq.gz	167352580;188821175	2fefe0df5fb6557d23a11cd465b10b67;8bde10d9cd73770e56d57855f9bc19e7	PAIRED	ILLUMINA
SRR15305410	ftp.sra.ebi.ac.uk/vol1/fastq/SRR153/010/SRR15305410/SRR15305410_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR153/010/SRR15305410/SRR15305410_2.fastq.gz	125532227;145191721	24c0ead306b40a0c31dc35aecfdde00d;809d4ad180ab88da7633a7ab64c80565	PAIRED	ILLUMINA
SRR15305411	ftp.sra.ebi.ac.uk/vol1/fastq/SRR153/011/SRR15305411/SRR15305411_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR153/011/SRR15305411/SRR15305411_2.fastq.gz	164756999;187228773	6a78b546345c8693194b9271759c4ad3;d222667dfb226f6be5895718cd49816b	PAIRED	ILLUMINA
SRR15305412	ftp.sra.ebi.ac.uk/vol1/fastq/SRR153/012/SRR15305412/SRR15305412_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR153/012/SRR15305412/SRR15305412_2.fastq.gz	116160761;131023116	c334a26f67515f706418237edb096070;ee6fb56dc3c62ad26c075433ae77b7ae	PAIRED	ILLUMINA
SRR15305413	ftp.sra.ebi.ac.uk/vol1/fastq/SRR153/013/SRR15305413/SRR15305413_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR153/013/SRR15305413/SRR15305413_2.fastq.gz	123823834;141242626	36351ecdacef0a82a238e4c4705c230d;c36e587892f42feefca5830321e534b5	PAIRED	ILLUMINA
SRR15305414	ftp.sra.ebi.ac.uk/vol1/fastq/SRR153/014/SRR15305414/SRR15305414_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR153/014/SRR15305414/SRR15305414_2.fastq.gz	75711761;83581708	2cf8f0e044e8264a14f5284cfca763f3;675df4520e54eb4e8e78763757acc89c	PAIRED	ILLUMINA
SRR15305415	ftp.sra.ebi.ac.uk/vol1/fastq/SRR153/015/SRR15305415/SRR15305415_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR153/015/SRR15305415/SRR15305415_2.fastq.gz	185087267;209183596	7020f71312f7074ef0161103ea5fc083;6e25c3d9b1a549e32beccdec7374806a	PAIRED	ILLUMINA
SRR15305416	ftp.sra.ebi.ac.uk/vol1/fastq/SRR153/016/SRR15305416/SRR15305416_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR153/016/SRR15305416/SRR15305416_2.fastq.gz	201766249;226594393	8b7e1b12937d4a4b5da922a46a85e1d7;e6d8f85a17004e78acdfaf8b5df2a478	PAIRED	ILLUMINA
SRR15305417	ftp.sra.ebi.ac.uk/vol1/fastq/SRR153/017/SRR15305417/SRR15305417_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR153/017/SRR15305417/SRR15305417_2.fastq.gz	180037569;202308915	5f0f9a262805bede7dccf1e5f52db8b6;b86617081d5729ee57b12d834daaf596	PAIRED	ILLUMINA
SRR15305418	ftp.sra.ebi.ac.uk/vol1/fastq/SRR153/018/SRR15305418/SRR15305418_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR153/018/SRR15305418/SRR15305418_2.fastq.gz	83022758;94422299	e9684feb81122120302ae0273e7620c1;2be78535086d593f49d32e018a01d3da	PAIRED	ILLUMINA
SRR15305419	ftp.sra.ebi.ac.uk/vol1/fastq/SRR153/019/SRR15305419/SRR15305419_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR153/019/SRR15305419/SRR15305419_2.fastq.gz	92033830;101074696	eab0b3f53248325653ab67a0ea7a8b0e;697b9e695495a986d9d45a89c7f3ea1e	PAIRED	ILLUMINA
SRR15305420	ftp.sra.ebi.ac.uk/vol1/fastq/SRR153/020/SRR15305420/SRR15305420_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR153/020/SRR15305420/SRR15305420_2.fastq.gz	241908014;270788593	778f950a1a4e623494f840aca92cf842;dbfc4be76352431cf812b38642353853	PAIRED	ILLUMINA
SRR15305421	ftp.sra.ebi.ac.uk/vol1/fastq/SRR153/021/SRR15305421/SRR15305421_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR153/021/SRR15305421/SRR15305421_2.fastq.gz	201789083;232980420	1f89992313568dabd619c8f514f3071d;a1c0363351bb6c0e12611abe44deaef2	PAIRED	ILLUMINA
SRR15305422	ftp.sra.ebi.ac.uk/vol1/fastq/SRR153/022/SRR15305422/SRR15305422_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR153/022/SRR15305422/SRR15305422_2.fastq.gz	73563118;79852176	3027f04a4531bd04235312591d6972cf;8afda9f626e30b48a331fdb81702e220	PAIRED	ILLUMINA
SRR15305423	ftp.sra.ebi.ac.uk/vol1/fastq/SRR153/023/SRR15305423/SRR15305423_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR153/023/SRR15305423/SRR15305423_2.fastq.gz	72671620;81640429	6506d468c794099c03b3f921bc5ac4a3;f06cbf37aa08dcaf362cb04145f47e30	PAIRED	ILLUMINA
SRR15305424	ftp.sra.ebi.ac.uk/vol1/fastq/SRR153/024/SRR15305424/SRR15305424_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR153/024/SRR15305424/SRR15305424_2.fastq.gz	250241593;282837674	257506670b78b515f0b73df66fe605ad;3adbc10b3fe323299d2b38e6f7912701	PAIRED	ILLUMINA
SRR15305425	ftp.sra.ebi.ac.uk/vol1/fastq/SRR153/025/SRR15305425/SRR15305425_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR153/025/SRR15305425/SRR15305425_2.fastq.gz	128173014;145472473	7c6986a76311231f34e19eb09ea9ed5c;f4e9772573757edbc53e857077000e9c	PAIRED	ILLUMINA
SRR15305426	ftp.sra.ebi.ac.uk/vol1/fastq/SRR153/026/SRR15305426/SRR15305426_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR153/026/SRR15305426/SRR15305426_2.fastq.gz	182490535;206432225	068310c9d39e60500807575c63a23ac2;8a7f34f75c8d9ec6ce070de1a5b6d6a6	PAIRED	ILLUMINA
SRR15305427	ftp.sra.ebi.ac.uk/vol1/fastq/SRR153/027/SRR15305427/SRR15305427_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR153/027/SRR15305427/SRR15305427_2.fastq.gz	294499145;332890179	9289d1e29378de25ce9c732606469e3e;1b1c534baf4a3ba3c429c7272ba261ab	PAIRED	ILLUMINA
SRR15305428	ftp.sra.ebi.ac.uk/vol1/fastq/SRR153/028/SRR15305428/SRR15305428_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR153/028/SRR15305428/SRR15305428_2.fastq.gz	137345989;156890940	42b66dce395791a2eef40ec114d2b662;245ed2ccfe318b4e9d78c944d5f7e3d0	PAIRED	ILLUMINA
SRR15305429	ftp.sra.ebi.ac.uk/vol1/fastq/SRR153/029/SRR15305429/SRR15305429_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR153/029/SRR15305429/SRR15305429_2.fastq.gz	238495983;266269432	98cfab98f62b34abe195faebe622206c;69d5be6de9df7c7a319c48938e3237ea	PAIRED	ILLUMINA
SRR15305430	ftp.sra.ebi.ac.uk/vol1/fastq/SRR153/030/SRR15305430/SRR15305430_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR153/030/SRR15305430/SRR15305430_2.fastq.gz	172522826;195972907	e285048150eccefb345a5eb7128cee42;5a103f47a1484b35a9f8ffbe6ef15087	PAIRED	ILLUMINA
SRR15305431	ftp.sra.ebi.ac.uk/vol1/fastq/SRR153/031/SRR15305431/SRR15305431_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR153/031/SRR15305431/SRR15305431_2.fastq.gz	205753846;233104546	265d1abab08f8732f7ba8a6ac81baef7;eb469b6bb8e78345bdaa801d99a6607b	PAIRED	ILLUMINA
SRR15305432	ftp.sra.ebi.ac.uk/vol1/fastq/SRR153/032/SRR15305432/SRR15305432_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR153/032/SRR15305432/SRR15305432_2.fastq.gz	90453972;103775353	a75f8d664513791eb4584a118f41dd13;372578460827186ca6a8a4d9ae1953a2	PAIRED	ILLUMINA
SRR15305433	ftp.sra.ebi.ac.uk/vol1/fastq/SRR153/033/SRR15305433/SRR15305433_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR153/033/SRR15305433/SRR15305433_2.fastq.gz	115277056;132529229	184cdfd19d4ce7189ba147e6e8c3be02;898d25f1cab79276b5a2af32e86f3b57	PAIRED	ILLUMINA
SRR11234662	ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/062/SRR11234662/SRR11234662.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/062/SRR11234662/SRR11234662_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/062/SRR11234662/SRR11234662_2.fastq.gz	181566658;1055329398;1073010468	f13915d71dbce05fc5f6b0acb4f0656a;329a65616cfa0078328fe0547c8f3ac8;68ce63ea52c87d298e0d7c9bee9b3715	PAIRED	ILLUMINA
SRR11234661	ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/061/SRR11234661/SRR11234661.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/061/SRR11234661/SRR11234661_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/061/SRR11234661/SRR11234661_2.fastq.gz	66013059;108964557;117760743	cbc6b2ec32175bfbcf897cfcded8d410;dfaedf19f64df0d20481304555f895c2;de7cfc4f176e3179d007a5704d37e3db	PAIRED	ILLUMINA
SRR11234664	ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/064/SRR11234664/SRR11234664.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/064/SRR11234664/SRR11234664_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/064/SRR11234664/SRR11234664_2.fastq.gz	62235805;103739249;114166404	6c4ab72eed1e249507e71ad7594cc620;6dd6aa8dc66629ba0db1b84ff650fc95;4a89d37f2f24f3cdfa3e4e891604994b	PAIRED	ILLUMINA
SRR11234665	ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/065/SRR11234665/SRR11234665.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/065/SRR11234665/SRR11234665_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/065/SRR11234665/SRR11234665_2.fastq.gz	53376385;91086669;100312716	72f2d1dc0e28ad3bf536b2c9d34eea82;4fd489507ef6a7ae6dbca2ac8fd728d3;57175f143baec6f471bf934e55933db8	PAIRED	ILLUMINA
SRR7628814	ftp.sra.ebi.ac.uk/vol1/fastq/SRR762/004/SRR7628814/SRR7628814_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR762/004/SRR7628814/SRR7628814_2.fastq.gz	1682555474;1938001934	1165f76020c1a55d577ba69c42bc7ff7;79350ef03dd70e8f995bdb71b4b854b0	PAIRED	ILLUMINA
