species	strain_key	ncppb	run_accession	pathovar	before_read_pairs	passed_read_pairs	passed_read_percent	after_total_bases	after_gc_percent	after_q30_percent	duplication_percent	insert_size_peak	fastp_json
Xanthomonas campestris	NCPPB_1043	WHRI 3876 (NCPPB 1043)	SRR25205308	campestris	2932829	2930150	99.91	883398755	65.21	100.00	8.22	271	local_data/phylogeny/2026-07-10_three-species-snp-smoke/fastp_reports/NCPPB_1043__Xanthomonas_campestris.fastp.json
Xanthomonas campestris	NCPPB_1059	NCPPB 1059	SRR37629095		7678643	7678643	100.00	2095055986	65.21	97.19	7.62	150	local_data/phylogeny/2026-07-10_three-species-snp-smoke/fastp_reports/NCPPB_1059__Xanthomonas_campestris.fastp.json
Xanthomonas campestris	NCPPB_1061	NCPPB 1061	SRR37629094		11179158	11140012	99.65	2951935126	64.82	97.24	6.64	150	local_data/phylogeny/2026-07-10_three-species-snp-smoke/fastp_reports/NCPPB_1061__Xanthomonas_campestris.fastp.json
Xanthomonas campestris	NCPPB_1144	NCPPB 1144	SRR30327311	campestris	1094517	1071120	97.86	473711131	64.87	87.24	0.56	209	local_data/phylogeny/2026-07-10_three-species-snp-smoke/fastp_reports/NCPPB_1144__Xanthomonas_campestris.fastp.json
Xanthomonas campestris	NCPPB_1455	NCPPB 1455	SRR29334729	lantanae	967299	967299	100.00	282392121	66.05	94.28	4.62	202	local_data/phylogeny/2026-07-10_three-species-snp-smoke/fastp_reports/NCPPB_1455__Xanthomonas_campestris.fastp.json
Xanthomonas campestris	NCPPB_151	NCPPB 151	SRR37629063		9873690	9845637	99.72	2624600101	64.70	97.44	6.98	150	local_data/phylogeny/2026-07-10_three-species-snp-smoke/fastp_reports/NCPPB_151__Xanthomonas_campestris.fastp.json
Xanthomonas campestris	NCPPB_1645	WHRI 3877 (NCPPB 1645)	SRR25205307	campestris	2530726	2528213	99.90	761693403	65.19	100.00	8.52	270	local_data/phylogeny/2026-07-10_three-species-snp-smoke/fastp_reports/NCPPB_1645__Xanthomonas_campestris.fastp.json
Xanthomonas campestris	NCPPB_1711	WHRI 6382 (NCPPB 1711)	SRR25183328	campestris	3694057	3622050	98.05	986113956	65.22	100.00	5.44	149	local_data/phylogeny/2026-07-10_three-species-snp-smoke/fastp_reports/NCPPB_1711__Xanthomonas_campestris.fastp.json
Xanthomonas campestris	NCPPB_1946	WHRI 3883 (NCPPB 1946)	SRR25205305	campestris	3147369	3144831	99.92	948634708	64.89	100.00	7.20	270	local_data/phylogeny/2026-07-10_three-species-snp-smoke/fastp_reports/NCPPB_1946__Xanthomonas_campestris.fastp.json
Xanthomonas campestris	NCPPB_2190	NCPPB 2190	SRR37629091		11498116	11498116	100.00	3080375549	65.49	97.38	7.15	150	local_data/phylogeny/2026-07-10_three-species-snp-smoke/fastp_reports/NCPPB_2190__Xanthomonas_campestris.fastp.json
Xanthomonas campestris	NCPPB_2345	NCPPB 2345	SRR29823157		2739649	2656413	96.96	801397062	65.03	89.83	3.99	268	local_data/phylogeny/2026-07-10_three-species-snp-smoke/fastp_reports/NCPPB_2345__Xanthomonas_campestris.fastp.json
Xanthomonas campestris	NCPPB_2439	NCPPB 2439	SRR37629089		7825711	7825709	100.00	2152429262	65.13	97.23	7.42	150	local_data/phylogeny/2026-07-10_three-species-snp-smoke/fastp_reports/NCPPB_2439__Xanthomonas_campestris.fastp.json
Xanthomonas campestris	NCPPB_2517	WHRI 5219 (NCPPB 2517)	SRR25205298		2178910	2144444	98.42	646066059	65.05	91.85	4.96	271	local_data/phylogeny/2026-07-10_three-species-snp-smoke/fastp_reports/NCPPB_2517__Xanthomonas_campestris.fastp.json
Xanthomonas campestris	NCPPB_2586	NCPPB 2586	SRR29823156		773407	743828	96.18	224287236	64.94	88.78	2.99	271	local_data/phylogeny/2026-07-10_three-species-snp-smoke/fastp_reports/NCPPB_2586__Xanthomonas_campestris.fastp.json
Xanthomonas campestris	NCPPB_2918	NCPPB 2918	SRR38178864		3966995	3890385	98.07	1120918490	64.90	93.87	10.02	177	local_data/phylogeny/2026-07-10_three-species-snp-smoke/fastp_reports/NCPPB_2918__Xanthomonas_campestris.fastp.json
Xanthomonas campestris	NCPPB_2970	NCPPB 2970	SRR29823154	papavericola	2950930	2872270	97.33	866432000	64.85	89.58	3.10	271	local_data/phylogeny/2026-07-10_three-species-snp-smoke/fastp_reports/NCPPB_2970__Xanthomonas_campestris.fastp.json
Xanthomonas campestris	NCPPB_2986	NCPPB 2986	SRR29823153	aberrans	2327673	2275042	97.74	686142054	64.94	90.12	3.21	270	local_data/phylogeny/2026-07-10_three-species-snp-smoke/fastp_reports/NCPPB_2986__Xanthomonas_campestris.fastp.json
Xanthomonas campestris	NCPPB_347	NCPPB 347	SRR29823152	armoraciae	1891940	1844766	97.51	556432316	65.03	89.96	3.44	269	local_data/phylogeny/2026-07-10_three-species-snp-smoke/fastp_reports/NCPPB_347__Xanthomonas_campestris.fastp.json
Xanthomonas campestris	NCPPB_3566	WHRI 8804 (NCPPB 3566)	SRR25181712	campestris	3715900	3578226	96.30	1073625745	65.38	93.25	6.10	270	local_data/phylogeny/2026-07-10_three-species-snp-smoke/fastp_reports/NCPPB_3566__Xanthomonas_campestris.fastp.json
Xanthomonas campestris	NCPPB_3883	NCPPB 3883	SRR38178865		9978309	9219187	92.39	2323521212	64.69	94.40	11.63	84	local_data/phylogeny/2026-07-10_three-species-snp-smoke/fastp_reports/NCPPB_3883__Xanthomonas_campestris.fastp.json
Xanthomonas campestris	NCPPB_3884	NCPPB 3884	SRR38178866		3639969	3552279	97.59	1004906222	64.91	93.91	10.19	167	local_data/phylogeny/2026-07-10_three-species-snp-smoke/fastp_reports/NCPPB_3884__Xanthomonas_campestris.fastp.json
Xanthomonas campestris	NCPPB_3927	NCPPB 3927	SRR30327315	campestris	708751	688277	97.11	350294818	64.71	83.54	0.19	250	local_data/phylogeny/2026-07-10_three-species-snp-smoke/fastp_reports/NCPPB_3927__Xanthomonas_campestris.fastp.json
Xanthomonas campestris	NCPPB_4013	NCPPB 4013	SRR37629088		9184235	9160004	99.74	2474619629	65.07	97.27	7.20	150	local_data/phylogeny/2026-07-10_three-species-snp-smoke/fastp_reports/NCPPB_4013__Xanthomonas_campestris.fastp.json
Xanthomonas campestris	NCPPB_4037	NCPPB 4037	SRR29823163		2554797	2437203	95.40	735192734	65.22	87.93	2.80	270	local_data/phylogeny/2026-07-10_three-species-snp-smoke/fastp_reports/NCPPB_4037__Xanthomonas_campestris.fastp.json
Xanthomonas campestris	NCPPB_404	WHRI 6380 (NCPPB 404)	SRR25183330	campestris	3606326	3457078	95.86	919991992	65.08	95.16	4.75	140	local_data/phylogeny/2026-07-10_three-species-snp-smoke/fastp_reports/NCPPB_404__Xanthomonas_campestris.fastp.json
Xanthomonas campestris	NCPPB_4231	NCPPB 4231	SRR29823162		3220612	3124565	97.02	942613918	65.40	89.66	3.42	271	local_data/phylogeny/2026-07-10_three-species-snp-smoke/fastp_reports/NCPPB_4231__Xanthomonas_campestris.fastp.json
Xanthomonas campestris	NCPPB_4232	NCPPB 4232	SRR29823161		1817032	1763444	97.05	531918776	65.19	89.68	3.35	270	local_data/phylogeny/2026-07-10_three-species-snp-smoke/fastp_reports/NCPPB_4232__Xanthomonas_campestris.fastp.json
Xanthomonas campestris	NCPPB_4347	NCPPB 4347	SRR29823102	malloti	678776	602530	88.77	180783843	64.91	82.91	1.23	239	local_data/phylogeny/2026-07-10_three-species-snp-smoke/fastp_reports/NCPPB_4347__Xanthomonas_campestris.fastp.json
Xanthomonas campestris	NCPPB_45	WHRI 6379 (NCPPB 45)	SRR25183331	campestris	3137303	2989331	95.28	744405152	64.65	95.43	4.80	122	local_data/phylogeny/2026-07-10_three-species-snp-smoke/fastp_reports/NCPPB_45__Xanthomonas_campestris.fastp.json
Xanthomonas campestris	NCPPB_464	NCPPB 464	SRR29501486	olitorii	2208113	2187618	99.07	1035288875	64.12	94.01	7.87	272	local_data/phylogeny/2026-07-10_three-species-snp-smoke/fastp_reports/NCPPB_464__Xanthomonas_campestris.fastp.json
Xanthomonas campestris	NCPPB_465	NCPPB 465	SRR29501485	olitorii	2222795	2199183	98.94	1021518861	64.08	94.00	7.37	254	local_data/phylogeny/2026-07-10_three-species-snp-smoke/fastp_reports/NCPPB_465__Xanthomonas_campestris.fastp.json
Xanthomonas campestris	NCPPB_4678	NCPPB 4678 (Xc6)	SRR37629075		8569640	8569639	100.00	2319625647	64.79	97.38	6.64	150	local_data/phylogeny/2026-07-10_three-species-snp-smoke/fastp_reports/NCPPB_4678__Xanthomonas_campestris.fastp.json
Xanthomonas campestris	NCPPB_4679	NCPPB 4679 (Xc9)	SRR37629074		9228867	9228866	100.00	2485025476	64.84	97.28	6.45	150	local_data/phylogeny/2026-07-10_three-species-snp-smoke/fastp_reports/NCPPB_4679__Xanthomonas_campestris.fastp.json
Xanthomonas campestris	NCPPB_4680	NCPPB 4680 (Xc23)	SRR37629073		9655812	9629102	99.72	2583264550	64.86	97.24	6.68	150	local_data/phylogeny/2026-07-10_three-species-snp-smoke/fastp_reports/NCPPB_4680__Xanthomonas_campestris.fastp.json
Xanthomonas campestris	NCPPB_4681	NCPPB 4681 (Xc27)	SRR37629071		10452021	10428190	99.77	2751167601	64.81	97.37	6.81	150	local_data/phylogeny/2026-07-10_three-species-snp-smoke/fastp_reports/NCPPB_4681__Xanthomonas_campestris.fastp.json
Xanthomonas campestris	NCPPB_4682	NCPPB 4682 (Xc318)	SRR37629070		14004252	13971331	99.76	3718933046	64.79	97.30	6.90	150	local_data/phylogeny/2026-07-10_three-species-snp-smoke/fastp_reports/NCPPB_4682__Xanthomonas_campestris.fastp.json
Xanthomonas campestris	NCPPB_528	WHRI 5212 (NCPPB 528)	SRR25205299	campestris	2631109	2601074	98.86	784808468	64.73	92.65	5.55	271	local_data/phylogeny/2026-07-10_three-species-snp-smoke/fastp_reports/NCPPB_528__Xanthomonas_campestris.fastp.json
Xanthomonas campestris	NCPPB_529	WHRI 6381 (NCPPB 529)	SRR25183329	campestris	4879191	4782903	98.03	1331724891	65.27	94.63	5.32	152	local_data/phylogeny/2026-07-10_three-species-snp-smoke/fastp_reports/NCPPB_529__Xanthomonas_campestris.fastp.json
Xanthomonas campestris	NCPPB_570	NCPPB 570	SRR29823100	amaranthicola	2794020	2723039	97.46	821046614	64.87	90.30	3.49	271	local_data/phylogeny/2026-07-10_three-species-snp-smoke/fastp_reports/NCPPB_570__Xanthomonas_campestris.fastp.json
Xanthomonas campestris	NCPPB_937	NCPPB 937	SRR29823159	incanae	2073432	1984036	95.69	596217287	65.34	90.71	4.06	245	local_data/phylogeny/2026-07-10_three-species-snp-smoke/fastp_reports/NCPPB_937__Xanthomonas_campestris.fastp.json
Xanthomonas campestris	NCPPB_942	NCPPB 942	SRR38178868		6487682	6110854	94.19	1607527373	64.66	94.24	9.47	105	local_data/phylogeny/2026-07-10_three-species-snp-smoke/fastp_reports/NCPPB_942__Xanthomonas_campestris.fastp.json
Xanthomonas campestris	NCPPB_983	NCPPB 983	SRR29823158	barbareae	1434003	1401050	97.70	422667326	65.07	90.50	3.36	271	local_data/phylogeny/2026-07-10_three-species-snp-smoke/fastp_reports/NCPPB_983__Xanthomonas_campestris.fastp.json
Xanthomonas citri	NCPPB-1471	NCPPB-1471	SRR21684635	citri	4210063	4074225	96.77	1220348736	64.30	100.00	0.91	266	local_data/phylogeny/2026-07-10_three-species-snp-smoke/fastp_reports/NCPPB-1471__Xanthomonas_citri.fastp.json
Xanthomonas citri	NCPPB_1056	NCPPB 1056	SRR2052425		594342	555601	93.48	249104920	64.43	78.61	0.53	35	local_data/phylogeny/2026-07-10_three-species-snp-smoke/fastp_reports/NCPPB_1056__Xanthomonas_citri.fastp.json
Xanthomonas citri	NCPPB_1058	NCPPB 1058	SRR2052426		2224748	2083660	93.66	905184199	64.00	79.68	1.25	35	local_data/phylogeny/2026-07-10_three-species-snp-smoke/fastp_reports/NCPPB_1058__Xanthomonas_citri.fastp.json
Xanthomonas citri	NCPPB_1158	NCPPB 1158	SRR2052443	fuscans	509477	465522	91.37	222324374	64.19	77.31	0.31	197	local_data/phylogeny/2026-07-10_three-species-snp-smoke/fastp_reports/NCPPB_1158__Xanthomonas_citri.fastp.json
Xanthomonas citri	NCPPB_1335	NCPPB 1335	SRR29695113	bauhiniae	2218294	2194725	98.94	1003195761	63.94	93.74	6.61	237	local_data/phylogeny/2026-07-10_three-species-snp-smoke/fastp_reports/NCPPB_1335__Xanthomonas_citri.fastp.json
Xanthomonas citri	NCPPB_1402	NCPPB 1402	SRR2052442		246806	225329	91.30	105602638	64.01	70.46	0.11	196	local_data/phylogeny/2026-07-10_three-species-snp-smoke/fastp_reports/NCPPB_1402__Xanthomonas_citri.fastp.json
Xanthomonas citri	NCPPB_1433	NCPPB 1433	SRR2052427		627084	583580	93.06	285738490	64.33	76.79	0.27	192	local_data/phylogeny/2026-07-10_three-species-snp-smoke/fastp_reports/NCPPB_1433__Xanthomonas_citri.fastp.json
Xanthomonas citri	NCPPB_1495	NCPPB 1495	SRR2052458	fuscans	438523	403909	92.11	197244032	63.74	76.55	0.66	213	local_data/phylogeny/2026-07-10_three-species-snp-smoke/fastp_reports/NCPPB_1495__Xanthomonas_citri.fastp.json
Xanthomonas citri	NCPPB_1654	NCPPB 1654	SRR2052433		1299288	1215432	93.55	547696386	64.14	78.68	0.69	163	local_data/phylogeny/2026-07-10_three-species-snp-smoke/fastp_reports/NCPPB_1654__Xanthomonas_citri.fastp.json
Xanthomonas citri	NCPPB_1713	NCPPB 1713	SRR37629061		9658481	9628646	99.69	2593822958	64.44	97.41	6.83	150	local_data/phylogeny/2026-07-10_three-species-snp-smoke/fastp_reports/NCPPB_1713__Xanthomonas_citri.fastp.json
Xanthomonas citri	NCPPB_1827	NCPPB 1827	SRR29655371	rhynchosiae	2162995	2133723	98.65	932617766	63.33	93.85	6.68	220	local_data/phylogeny/2026-07-10_three-species-snp-smoke/fastp_reports/NCPPB_1827__Xanthomonas_citri.fastp.json
Xanthomonas citri	NCPPB_1838	WHRI 10263 (NCPPB 1838)	SRR28281415	fuscans	3179059	3153463	99.19	944170923	64.88	92.79	3.44	269	local_data/phylogeny/2026-07-10_three-species-snp-smoke/fastp_reports/NCPPB_1838__Xanthomonas_citri.fastp.json
Xanthomonas citri	NCPPB_2058	NCPPB 2058	SRR29692762	vignaeradiatae	2254266	2225981	98.75	1003634266	64.14	93.56	5.50	243	local_data/phylogeny/2026-07-10_three-species-snp-smoke/fastp_reports/NCPPB_2058__Xanthomonas_citri.fastp.json
Xanthomonas citri	NCPPB_2060	NCPPB 2060	SRR29655370	rhynchosiae	2242323	2211179	98.61	993532554	63.63	93.70	5.59	248	local_data/phylogeny/2026-07-10_three-species-snp-smoke/fastp_reports/NCPPB_2060__Xanthomonas_citri.fastp.json
Xanthomonas citri	NCPPB_2063	NCPPB 2063	SRR29694808	cajani	2226807	2191936	98.43	1001796798	63.88	93.65	6.76	300	local_data/phylogeny/2026-07-10_three-species-snp-smoke/fastp_reports/NCPPB_2063__Xanthomonas_citri.fastp.json
Xanthomonas citri	NCPPB_2064	NCPPB 2064	SRR37629092		9822260	9797806	99.75	2636310519	64.28	97.28	6.99	150	local_data/phylogeny/2026-07-10_three-species-snp-smoke/fastp_reports/NCPPB_2064__Xanthomonas_citri.fastp.json
Xanthomonas citri	NCPPB_211	NCPPB_211	SRR11234665	citri	1168794	1168054	99.94	346142816	63.94	96.69	2.33	150	local_data/phylogeny/2026-07-10_three-species-snp-smoke/fastp_reports/NCPPB_211__Xanthomonas_citri.fastp.json
Xanthomonas citri	NCPPB_226	NCPPB_226	SRR11234664	citri	1329443	1328587	99.94	393617773	64.17	96.63	2.67	150	local_data/phylogeny/2026-07-10_three-species-snp-smoke/fastp_reports/NCPPB_226__Xanthomonas_citri.fastp.json
Xanthomonas citri	NCPPB_2665	NCPPB 2665	SRR2052428		1006776	928503	92.23	403517901	64.19	78.04	0.86	35	local_data/phylogeny/2026-07-10_three-species-snp-smoke/fastp_reports/NCPPB_2665__Xanthomonas_citri.fastp.json
Xanthomonas citri	NCPPB_2832	NCPPB 2832	SRR29692760	aracearum	2225188	2201518	98.94	1030939116	63.68	93.62	7.42	278	local_data/phylogeny/2026-07-10_three-species-snp-smoke/fastp_reports/NCPPB_2832__Xanthomonas_citri.fastp.json
Xanthomonas citri	NCPPB_2914	NCPPB 2914	SRR29655369	rhynchosiae	2216511	2188406	98.73	959564081	63.76	94.03	6.03	235	local_data/phylogeny/2026-07-10_three-species-snp-smoke/fastp_reports/NCPPB_2914__Xanthomonas_citri.fastp.json
