species	strain_key	ncppb	pathovar	country	source_details	sample_accession	study_accession	experiment_accession	run_accession	tree_label	library_layout	instrument_platform	total_bytes	fastq_bytes_1	fastq_bytes_2	fastq_md5_1	fastq_md5_2	fastq_url_1	fastq_url_2
Xanthomonas campestris	NCPPB_1043	WHRI 3876 (NCPPB 1043)	campestris	Papua New Guinea	Brassica oleracea	SAMN36368321	PRJNA988133	SRX20952048	SRR25205308	NCPPB_1043__Xanthomonas_campestris	PAIRED	ILLUMINA	326751792	163348783	163403009	6a598f02a47d4e66b141fe70fe2b5473	c8dbad41b034ef11792490dac09d88fb	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR252/008/SRR25205308/SRR25205308_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR252/008/SRR25205308/SRR25205308_2.fastq.gz
Xanthomonas campestris	NCPPB_1059	NCPPB 1059		Ethiopia	Papaver somniferum	SAMN56511356	PRJNA1437458	SRX32509460	SRR37629095	NCPPB_1059__Xanthomonas_campestris	PAIRED	ILLUMINA	885400379	440013799	445386580	a0a4261dd7d618e6b5ba161db9ebae90	8aa883b4e46c09d9646569d7f2e91369	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR376/095/SRR37629095/SRR37629095_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR376/095/SRR37629095/SRR37629095_2.fastq.gz
Xanthomonas campestris	NCPPB_1061	NCPPB 1061		Ethiopia	Plantago lanceolata	SAMN56511357	PRJNA1437458	SRX32509461	SRR37629094	NCPPB_1061__Xanthomonas_campestris	PAIRED	ILLUMINA	1271900858	634281900	637618958	8652102af67ec7e3ae1bf0cccefa239e	f0ae3f26c5e2884c37ad92a9278ba178	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR376/094/SRR37629094/SRR37629094_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR376/094/SRR37629094/SRR37629094_2.fastq.gz
Xanthomonas campestris	NCPPB_1144	NCPPB 1144	campestris	United Kingdom	Brassica oleracea var. capitata	SAMN43286083	PRJNA774128	SRX25787566	SRR30327311	NCPPB_1144__Xanthomonas_campestris	PAIRED	ILLUMINA	339903639	156493345	183410294	759cf079cd7eeb076a4a3192d2bf2865	43a96fc2ce8676b6cae3d1343a788ffd	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR303/011/SRR30327311/SRR30327311_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR303/011/SRR30327311/SRR30327311_2.fastq.gz
Xanthomonas campestris	NCPPB_1455	NCPPB 1455	lantanae	India	Lantana camara var. aculeata	SAMN41763920	PRJNA774146	SRX24850877	SRR29334729	NCPPB_1455__Xanthomonas_campestris	PAIRED	ILLUMINA	134450839	65576413	68874426	7a02c313833893f03fa7b111fae52d44	ca5aacde9100d25dba7852892c734b3c	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/029/SRR29334729/SRR29334729_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/029/SRR29334729/SRR29334729_2.fastq.gz
Xanthomonas campestris	NCPPB_151	NCPPB 151		Mauritius	Argemone sp.	SAMN56511362	PRJNA1437458	SRX32509492	SRR37629063	NCPPB_151__Xanthomonas_campestris	PAIRED	ILLUMINA	1119788008	558558084	561229924	e30a1512edffc3a354e2f118dbc98a04	3e6bca44755d1c660d78485cc04ce9d7	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR376/063/SRR37629063/SRR37629063_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR376/063/SRR37629063/SRR37629063_2.fastq.gz
Xanthomonas campestris	NCPPB_1645	WHRI 3877 (NCPPB 1645)	campestris	Kenya	Brassica oleracea	SAMN36368322	PRJNA988133	SRX20952049	SRR25205307	NCPPB_1645__Xanthomonas_campestris	PAIRED	ILLUMINA	281945110	140985363	140959747	b3520787c2441731c0643f5993e6e43e	2aa897048b06d7aed45625ff1455353e	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR252/007/SRR25205307/SRR25205307_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR252/007/SRR25205307/SRR25205307_2.fastq.gz
Xanthomonas campestris	NCPPB_1711	WHRI 6382 (NCPPB 1711)	campestris	Canada	Brassica rapa	SAMN36346973	PRJNA988133	SRX20931014	SRR25183328	NCPPB_1711__Xanthomonas_campestris	PAIRED	ILLUMINA	392560377	196285990	196274387	7a5b34bf5f2cbca4ae004b82ac5493ad	8cf30257019811317c9f69a705a2acc9	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/028/SRR25183328/SRR25183328_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/028/SRR25183328/SRR25183328_2.fastq.gz
Xanthomonas campestris	NCPPB_1946	WHRI 3883 (NCPPB 1946)	campestris	United States	Raphanus sativus	SAMN36368324	PRJNA988133	SRX20952051	SRR25205305	NCPPB_1946__Xanthomonas_campestris	PAIRED	ILLUMINA	352113406	175959492	176153914	d5c16915bfb1a91ed6d46fd514aeb6f9	273fd2175a20a1674552c2c493357ac8	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR252/005/SRR25205305/SRR25205305_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR252/005/SRR25205305/SRR25205305_2.fastq.gz
Xanthomonas campestris	NCPPB_2190	NCPPB 2190		Brazil	Abelmoschus esculentus	SAMN56511368	PRJNA1437458	SRX32509464	SRR37629091	NCPPB_2190__Xanthomonas_campestris	PAIRED	ILLUMINA	1307517616	653416137	654101479	c408f7bef02ea6b7bf3be4a6f122008b	755d1023bbea8b8bdc5b5b22980f5669	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR376/091/SRR37629091/SRR37629091_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR376/091/SRR37629091/SRR37629091_2.fastq.gz
