ncppb_number	ncppb_current_name	biosample_accession	evidence_status	match_decision	identity_match_status	matched_identifier	identifier_strength	taxonomy_status	resource_type	resource_accession	resource_role	assembly_level	assembly_source	assembly_total_length	assembly_contig_count	assembly_contig_n50	sra_library_strategy	sra_library_source	sra_library_layout	sra_instrument	sra_total_bases	sequence_bioproject_accessions	selected_for_phylogeny	download_tool	download_command	source_url
NCPPB 45	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	SAMN36346970	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 45	primary	same_name	assembly	GCA_035026565.1	assembled_genome_sequence	Contig	GenBank	5045054	85	124714						PRJNA988133	yes	NCBI Datasets CLI	datasets download genome accession GCA_035026565.1 --include genome --filename NCPPB_45_GCA_035026565.1.zip	https://www.ncbi.nlm.nih.gov/assembly/GCA_035026565.1
NCPPB 45	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	SAMN36346970	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 45	primary	same_name	bioproject	PRJNA988133	sequence_source_project												no	NCBI BioProject metadata		https://www.ncbi.nlm.nih.gov/bioproject/PRJNA988133
NCPPB 45	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	SAMN36346970	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 45	primary	same_name	biosample	SAMN36346970	identity_anchor												no	NCBI BioSample metadata		https://www.ncbi.nlm.nih.gov/biosample/SAMN36346970
NCPPB 45	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	SAMN36346970	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 45	primary	same_name	sra_run	SRR25183331	raw_sequence_reads						WGS	GENOMIC	paired	Illumina NovaSeq 6000	947465506	PRJNA988133	no	NCBI SRA Toolkit	prefetch SRR25183331 && fasterq-dump SRR25183331 --split-files --outdir fastq/NCPPB_45	https://www.ncbi.nlm.nih.gov/sra/SRR25183331
NCPPB 101	Xanthomonas cassavae (ex Wiehe & Dowson 1953) Vauterin et al. 1995	SAMN22555467	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 101	primary	same_name	assembly	GCF_020783895.1	assembled_genome_sequence	Contig	RefSeq	5109008	187	69365						PRJNA774146	yes	NCBI Datasets CLI	datasets download genome accession GCF_020783895.1 --include genome --filename NCPPB_101_GCF_020783895.1.zip	https://www.ncbi.nlm.nih.gov/assembly/GCF_020783895.1
NCPPB 101	Xanthomonas cassavae (ex Wiehe & Dowson 1953) Vauterin et al. 1995	SAMN22555467	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 101	primary	same_name	bioproject	PRJNA224116	annotation_project												no	NCBI BioProject metadata		https://www.ncbi.nlm.nih.gov/bioproject/PRJNA224116
NCPPB 101	Xanthomonas cassavae (ex Wiehe & Dowson 1953) Vauterin et al. 1995	SAMN22555467	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 101	primary	same_name	bioproject	PRJNA608517	biosample_elink_only												no	NCBI BioProject metadata		https://www.ncbi.nlm.nih.gov/bioproject/PRJNA608517
NCPPB 101	Xanthomonas cassavae (ex Wiehe & Dowson 1953) Vauterin et al. 1995	SAMN22555467	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 101	primary	same_name	bioproject	PRJNA774146	sequence_source_project												no	NCBI BioProject metadata		https://www.ncbi.nlm.nih.gov/bioproject/PRJNA774146
NCPPB 101	Xanthomonas cassavae (ex Wiehe & Dowson 1953) Vauterin et al. 1995	SAMN22555467	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 101	primary	same_name	biosample	SAMN22555467	identity_anchor												no	NCBI BioSample metadata		https://www.ncbi.nlm.nih.gov/biosample/SAMN22555467
NCPPB 101	Xanthomonas cassavae (ex Wiehe & Dowson 1953) Vauterin et al. 1995	SAMN22555467	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 101	primary	same_name	sra_run	SRR22272561	raw_sequence_reads						WGS	GENOMIC	paired	Illumina NovaSeq 6000	726540426	PRJNA774146	no	NCBI SRA Toolkit	prefetch SRR22272561 && fasterq-dump SRR22272561 --split-files --outdir fastq/NCPPB_101	https://www.ncbi.nlm.nih.gov/sra/SRR22272561
