sample	NCPPB-1471__Xanthomonas_citri	NCPPB_1056__Xanthomonas_citri	NCPPB_1058__Xanthomonas_citri	NCPPB_1158__Xanthomonas_citri	NCPPB_1335__Xanthomonas_citri	NCPPB_1402__Xanthomonas_citri	NCPPB_1433__Xanthomonas_citri	NCPPB_1495__Xanthomonas_citri	NCPPB_1654__Xanthomonas_citri	NCPPB_1713__Xanthomonas_citri	NCPPB_1827__Xanthomonas_citri	NCPPB_1838__Xanthomonas_citri	NCPPB_2058__Xanthomonas_citri	NCPPB_2060__Xanthomonas_citri	NCPPB_2063__Xanthomonas_citri	NCPPB_2064__Xanthomonas_citri	NCPPB_211__Xanthomonas_citri	NCPPB_226__Xanthomonas_citri	NCPPB_2665__Xanthomonas_citri	NCPPB_2832__Xanthomonas_citri	NCPPB_2914__Xanthomonas_citri	NCPPB_3086__Xanthomonas_citri	NCPPB_3114__Xanthomonas_citri	NCPPB_3162__Xanthomonas_citri	NCPPB_3562__Xanthomonas_citri	NCPPB_381__Xanthomonas_citri	NCPPB_406__Xanthomonas_citri	NCPPB_4590__Xanthomonas_citri	NCPPB_536__Xanthomonas_citri	NCPPB_556__Xanthomonas_citri	NCPPB_557__Xanthomonas_citri	NCPPB_573__Xanthomonas_citri	NCPPB_585__Xanthomonas_citri	NCPPB_633__Xanthomonas_citri	NCPPB_646__Xanthomonas_citri	NCPPB_670__Xanthomonas_citri	NCPPB_976__Xanthomonas_citri
NCPPB-1471__Xanthomonas_citri	0	108873	109186	108853	29079	108521	108932	108789	109031	28185	112778	110242	109237	112815	111296	28122	366	184	108945	120409	110940	37444	110068	33560	1777	109044	181	106	37917	28122	28125	19445	107143	33587	37916	108800	33626
NCPPB_1056__Xanthomonas_citri	108873	0	1598	1021	110821	822	1001	546	955	109871	43949	34367	31300	43915	39714	109841	108881	108881	1009	49376	41106	116219	34508	114096	108854	1438	108878	108888	107839	109842	109849	108061	30782	114110	107828	536	114126
NCPPB_1058__Xanthomonas_citri	109186	1598	0	1618	111105	2116	1523	1739	1389	110200	43960	34402	31322	43952	39725	110119	109194	109194	1478	49223	41109	116503	34637	114381	109161	1975	109191	109201	108087	110122	110127	108318	30967	114397	108075	1753	114411
NCPPB_1158__Xanthomonas_citri	108853	1021	1618	0	110811	1353	467	1081	424	109869	43933	34322	31274	43909	39701	109839	108857	108861	420	49363	41104	116212	34449	114083	108830	1414	108858	108868	107833	109840	109847	108048	30733	114097	107832	1116	114113
NCPPB_1335__Xanthomonas_citri	29079	110821	111105	110811	0	110534	110871	110741	110956	31803	114723	112238	111245	114761	113330	31723	29100	29086	110883	122486	112910	39852	112083	35095	29146	110955	29083	29091	39475	31713	31708	31632	109198	35115	39478	110781	35121
NCPPB_1402__Xanthomonas_citri	108521	822	2116	1353	110534	0	1383	727	1481	109570	44241	34525	31669	44239	40033	109541	108527	108529	1433	49685	41444	115936	34532	113778	108508	1688	108526	108537	107577	109537	109544	107763	30801	113800	107576	794	113834
NCPPB_1433__Xanthomonas_citri	108932	1001	1523	467	110871	1383	0	1072	322	109903	43887	34302	31202	43859	39654	109881	108939	108940	367	49299	41058	116267	34467	114130	108911	1340	108937	108947	107870	109878	109883	108099	30741	114146	107861	1107	114166
NCPPB_1495__Xanthomonas_citri	108789	546	1739	1081	110741	727	1072	0	1089	109804	44044	34382	31408	44021	39810	109780	108795	108797	1110	49477	41208	116160	34493	114024	108768	1471	108794	108804	107800	109775	109782	107985	30774	114040	107799	587	114064
NCPPB_1654__Xanthomonas_citri	109031	955	1389	424	110956	1481	322	1089	0	110001	43804	34279	31133	43783	39557	109971	109039	109039	291	49223	40947	116339	34487	114218	109006	1333	109036	109046	107949	109972	109979	108181	30774	114234	107948	1101	114250
NCPPB_1713__Xanthomonas_citri	28185	109871	110200	109869	31803	109570	109903	109804	110001	0	113876	111088	109941	113906	112451	2222	28208	28189	109932	121524	112000	39927	110910	36044	28083	109997	28186	28199	40170	2211	2210	30378	108377	36076	40169	109826	36093
NCPPB_1827__Xanthomonas_citri	112778	43949	43960	43933	114723	44241	43887	44044	43804	113876	0	44896	42498	181	12747	113803	112794	112784	43848	61089	15092	118769	45074	117553	112747	43958	112781	112794	111928	113803	113808	111449	41665	117565	111914	44079	117576
NCPPB_1838__Xanthomonas_citri	110242	34367	34402	34322	112238	34525	34302	34382	34279	111088	44896	0	31362	44860	40910	110990	110257	110251	34314	53019	42371	117416	542	115433	110204	34209	110248	110257	108515	110983	110989	109300	32271	115451	108513	34407	115468
NCPPB_2058__Xanthomonas_citri	109237	31300	31322	31274	111245	31669	31202	31408	31133	109941	42498	31362	0	42492	38379	109848	109254	109246	31183	50887	39687	116590	31603	114540	109192	31312	109243	109252	108175	109847	109850	108262	29551	114563	108163	31389	114573
NCPPB_2060__Xanthomonas_citri	112815	43915	43952	43909	114761	44239	43859	44021	43783	113906	181	44860	42492	0	12726	113835	112831	112821	43823	61082	15082	118799	45053	117579	112784	43932	112818	112831	111957	113835	113840	111479	41643	117591	111943	44056	117602
